B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.D1.A16D.01A.11R.A12I.07	0.236451971554222	0	0.095825005452715	0.0931074672924642	0	0.105464216856404	0	0	0.0706240854430007	0	0	0.110263047418932	0	0.097843851901628	0	0.0568205856750265	0.0280504799995676	0.00660403406767952	0.0467968446253988	0	0	0.0521484097129615	0	0.419501696827864	0.909076841674813
TCGA.AJ.A3EM.01A.11R.A213.07	0	0.0543688960020511	0	0.128512600204763	0	0.11704179340552	0	0.0234035571206295	0.0481942736419627	0	0	0	0	0.317248630240427	0.0436058128966946	0.0852647090369082	0	0	0.182359727451044	0	0	0	0.7	-0.0154784071624903	1.10183229328213
TCGA.BG.A0VX.01A.11R.A118.07	0.0971638638545657	0	0.00869684062324069	0.184088305840191	0	0.0951933689565959	0.0547710977351145	0.0772218546405111	0.04940200930759	0	0	0.0638446503449773	0.0689372268676631	0.087925619007944	0.0647255734381951	0.0445364436364678	0.075984653721038	0	0.0275084920259061	0	0	0	0	0.279099707799866	0.970708353819779
TCGA.EO.A1Y8.01A.11R.A157.07	0.0196332791357341	0.0121260630314503	0	0	0	0.35437659060519	0	0.038735881150076	0	0	0	0.240718669666623	0	0.186023935118158	0.0363777125490678	0.0388020140466462	0	0.0521643292175544	0.0210415254794998	0	0	0	0.02	0.115590436047234	1.0790892962372
TCGA.A5.A0GB.01A.11R.A040.07	0.0096235789206246	0	0.00736862453337195	0.346160707565379	0	0.00919321647277111	0.180126001475199	0.10119440569411	0.0209151312388851	0	0	0.0780016567839657	0	0.0698210272950908	0.0214286758903358	0.0852700377946353	0.0218824309647109	0.0183358529380264	0.0255132161244471	0	0	0.00516543630844781	0.02	0.155694991600441	1.04616241643962
TCGA.D1.A16Y.01A.31R.A12I.07	0	0	0	0.25122628991817	0	0.107947402563927	0.121602680785853	0.0555247202151612	0.0973968463802977	0	0.0169262502567067	0.0655188917470812	0.0212069875716242	0.126210280292257	0.0604302350120741	0	0.00501689170584665	0	0.0709925235510009	0	0	0	0.34	0.0255741856147997	1.10607573239458
TCGA.EY.A210.01A.11R.A157.07	0.0731206377310005	0	0.0757078367579562	0.179096473628854	0	0	0.0543191020559719	0.112646712385584	0.0178320796201598	0.00583754298535377	0	0.0158818583635845	0	0.156236779401787	0.0704982338733304	0.200937921382047	0.0242675006167374	0	0.013617321197634	0	0	0	0	0.292837612894604	0.964000773295951
TCGA.AJ.A3EL.01A.11R.A213.07	0.0408163334296531	0	0.0410317870142287	0.190851397554018	0	0.079595101098227	0.126104938380692	0.145989102738194	0	0.0901241117737091	0	0.0133971508814247	0	0.0276700011762114	0.138716553523054	0.0560969811645848	0	0	0.0496065412660026	0	0	0	0.02	0.122360641734464	1.057129607273
TCGA.B5.A11F.01A.11R.A10J.07	0.0350203611468698	0	0.000622355964315041	0.0239780197017556	0	0.0401549944168974	0.0103934108293805	0.00133217670181329	0.145066329773955	0.00396890592516853	0	0.0697070894145317	0	0.31307803580087	0.021265387691567	0.120909725652863	0.132383199211449	0.0249883424464095	0.0571316653221556	0	0	0	0.08	0.0973619208606717	1.05818876808925
TCGA.EY.A2OO.01A.11R.A19W.07	0	0.114011827584088	0	0	0	0.243433504697903	0	0.0717888853466171	0.0158449449241527	0.00640674342489682	0.0649358894955165	0	0.0640785393727621	0.058607261892341	0	0.102610846856419	0	0.172248195911066	0.0696044186501519	0	0	0.0164289418440857	0.2	0.0553829712017514	1.05386859514202
TCGA.BK.A4ZD.01A.11R.A27V.07	0.0194915294809347	0.00888623848399236	0	0.0478050190156551	0	0.212737594462492	0	0.0307547490327162	0.0427734771271705	0	0	0.0506614729235682	0	0.125323254399758	0.0339944084960666	0.240705050618277	0.01611142335793	0.0968633991711596	0.0677324215048627	0	0.0061599619254175	0	0.68	-0.0149829180139471	1.08876399509576
TCGA.B5.A11E.01A.11R.A10J.07	0.0529031656715067	0	0.0190024608119857	0.3474856102099	0	0.0794844939499305	0.0798065973024706	0.034304794043112	0.044663755657403	0	0	0.0415688691606157	0.00978289512082609	0.205932918577613	0.0648088171998465	0.0059209691369104	0	0	0	0.00530410643902096	0.00903054671885799	0	0.02	0.159752865258637	1.04321187171781
TCGA.BS.A0TD.01A.11R.A104.07	0.0952734321000401	0	0.0311400845773208	0.0495342376607467	0	0.196447035674681	0	0.0114812314035965	0.00694651047027806	0	0.0111761631288202	0.053657520743389	0	0.378342628347677	0.031826503653098	0.0441809975178179	0.00928841262465761	0.0194543711910477	0	0.0470675743249506	0	0.0141832965818784	0	0.241798289118803	0.998880264736625
TCGA.AX.A2HD.01A.21R.A17B.07	0.120795035648449	0	0.0213048471485956	0.164474663478777	0	0.12909278838954	0.0139332902020892	0.113926677028824	0.00883795255887408	0	0	0.0317964598210559	0	0.216324375428362	0.084056618298154	0.0634138287905109	0.00430242752728691	0	0.0258276682769654	0	0	0.00191336740251693	0.02	0.168431402463218	1.02508546501941
TCGA.B5.A3FA.01A.11R.A19W.07	0.0913092330516835	0	0.116453526471562	0.10229881772771	0	0.137456635108406	0.0619218200377873	0.0997412286309544	0.000530920900315853	0.00989537484706712	0.011551399207871	0.00945285999553817	0.0210724886109279	0.0597773807636522	0.0761916553183121	0.0731133480339703	0	0.0836444489085359	0.0455888623857058	0	0	0	0	0.35205827046131	0.938431681327035
TCGA.QS.A8F1.01A.21R.A37O.07	0.13199590697616	0	0.337893763074274	0.0508495472787087	0	0.0445216486967656	0	0.0224782787892128	0.00151088299163256	0	0	0.0833081570341098	0.00149448190487682	0.112903402554035	0.0382165662120094	0.0940859937364904	0	0	0.0807413707517245	0	0	0	0	0.469700394699135	0.894579885263782
TCGA.D1.A3DG.01A.11R.A19W.07	0.0700414098620199	0	0.0155956166579868	0.213083052691234	0	0.079489682862919	0	0.0487073109255991	0	0	0	0.0582208579654914	0.0222134606412417	0	0.024058936064406	0.341995318489091	0	0.0447515644280901	0.0818427894119205	0	0	0	0.96	-0.0445077577887928	1.09892652648605
TCGA.EY.A1GO.01A.11R.A14D.07	0.211858457373173	0	0.00773342071539081	0.0752790581310608	0	0.157002839822952	0.00170251728001507	0	0.000490258054461864	0	0	0.0869330025328255	0.00728957449546837	0.263294167271775	0.00556386532968111	0.0456722615472132	0	0.0313073646012916	0.105873212844692	0	0	0	0.36	0.0213339210409358	1.08509876859083
TCGA.B5.A11S.01A.11R.A118.07	0.0318262508401926	0	0.00317256324176265	0.042046040797383	0	0.226209338843911	0	0.0210467070882269	0.0378544236994979	0	0	0.076541790527477	0.00611674785143125	0.296939557318717	0.0372312672004905	0.146328321507414	0.0433088462632377	0	0.0313781448202588	0	0	0	0.0600000000000001	0.103219328213385	1.05723071365803
TCGA.D1.A0ZO.01A.11R.A118.07	0.122460647680358	0	0.0215287113207176	0.0850422630798478	0	0.183391028923604	0.0398460084120658	0.0761354169224352	0.0946561975854885	0	0	0.0401997497583965	0	0.0938566025133673	0.105258481835044	0.0480222866866332	0.00900085945413375	0	0.0806017458279082	0	0	0	0	0.29397719470824	0.966955287829285
TCGA.EY.A212.01A.11R.A14M.07	0.235655035770732	0	0.00432371397752633	0.0162371063628167	0	0.149846371581706	0	0.0584723370936968	0.03514857206558	0	0	0.0676145623266269	0	0.0646969411356122	0.0190018884690236	0.212768186610624	0	0.119902131163187	0.0163331534428678	0	0	0	0.24	0.0407076197645355	1.07290917437018
TCGA.PG.A915.01A.11R.A37O.07	0.119836840227848	0	0.00275687654416799	0.118178156341329	0	0.116578626752743	0	0.0369065135526653	0.0132237068813401	0	0	0.190528475719666	0	0.123581233771732	0.0399703731992577	0.0842482425514944	0	0.0781242105070134	0.0760667439507432	0	0	0	0.24	0.038522308214029	1.08882829263927
