B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.2F.A9KO.01A.11R.A38B.07	0.0874529261483757	0	0.029600363677643	0.193984609012467	0	0.178299371885481	0.0911128218186798	0.0442294869840422	0.0129946660076065	0	0	0.0500759860938358	0	0.0405501115568455	0.0841540966625232	0.0826936464532952	0.0275343364194655	0.0126774486477413	0.0646401286319983	0	0	0	0	0.219208612994409	1.00028905510011
TCGA.2F.A9KP.01A.11R.A38B.07	0.131576366085603	0.0691867220766547	0.0324176936780152	0.0267406231556891	0	0.110082337094257	0.0586706882979354	0.0167213852069543	0.0186314718441272	0	0.0294071013249195	0	0.0284857412585902	0	0	0.114806497054925	0	0.256601097927927	0.052867549704182	0.00444615737805049	0	0.0493585679121698	0.44	0.0133990721315096	1.0787631885015
TCGA.2F.A9KQ.01A.11R.A38B.07	0.00775433284744153	0	0	0.0837370202837517	0	0.174815544590291	0	0.0240227287833484	0	0	0	0.0554947477935022	0.0838839710373266	0.00847933622300737	0	0.118940905884293	0.0551107332475124	0.175397424199023	0.176750060166593	0	0	0.0356131949439096	0.88	-0.02606535147941	1.08470608848837
TCGA.2F.A9KR.01A.11R.A38B.07	0.0789785411479324	0	0.0490320941491754	0.125195831890351	0	0.0759887027011094	0.034561231169363	0.136998901918844	0	0	0.0153309372793329	0.0686206965485055	0.0174819608838665	0.0538463330677369	0	0.0495122781050247	0.0299648768487664	0.14613561038302	0.0791927777789483	0	0.0201189721861618	0.0190402539418618	0.28	0.0407589130240473	1.06365268612471
TCGA.2F.A9KT.01A.11R.A38B.07	0	0.00263600820191283	0.0119732167695756	0.0861442713042734	0	0.147633911880618	0	0.0533723009894271	0	0	0.00535017161774639	0.0348339410365788	0	0.190587065947242	0.0730251556215284	0.226663473982516	0.0038193111449609	0	0.0120001059257334	0	0.00870193858115651	0.143259126996731	0.24	0.0533076339673412	1.07883035107008
TCGA.2F.A9KW.01A.11R.A38B.07	0.118339542965108	0	0.0149590818374075	0.0103342384573147	0	0.0227145830664835	0.0207715911552144	0.000186943731627612	0.036388889188985	0	0	0.00188323116040852	0	0.314927186982754	0.0221675088763594	0.171076915191615	0	0.125782850370647	0.0176999292375659	0	0.06817266986593	0.0545948379125794	0.04	0.13872467303384	1.04777541919784
TCGA.4Z.AA7M.01A.11R.A39I.07	0.0813474857458496	0	0.0202463787633851	0.132872793909989	0.0906115269167112	0	0	0	0.028898926344487	0	0.0727508341260121	0	0.00641556100002241	0.340013954145687	0.0667757371614483	0.127131290432723	0.0149196287393497	0.0165333636118724	0	0.00148251910246355	0	0	0.02	0.151772202814293	1.03901114716636
TCGA.4Z.AA7N.01A.11R.A39I.07	0.301039548218335	0.10311214202567	0.0141339598901764	0.0610240154794929	0	0.119280192636421	0.0302611151047179	0.0789733979364979	0.0892347059149938	0	0	0	0	0.110965037716288	0.021631467908145	0.0359365289886858	0.0100380659382241	0.0103017704141192	0.0140680518282341	0	0	0	0	0.498090472097458	0.86683393765927
TCGA.4Z.AA7O.01A.31R.A39I.07	0.0575400390332128	0	0.0506639381861181	0.301839779417768	0	0.0813916695777135	0	0.0768475270727968	0	0	0	0.0929771725181234	0.0174648507455831	0	0.0424057627214776	0.0593499554259858	0.0310869937971125	0.0963871926388789	0.0797430521763888	0	0	0.0123020666888407	0.02	0.186698443715468	1.0222777590419
TCGA.4Z.AA7Q.01A.11R.A39I.07	0.0081573485030499	0	0.0161638999412472	0.275297356391628	0	0.0524621093477521	0.114419173660853	0.0558037527403989	0.055507290583787	0	0	0.00545535071749026	0.00576661841426712	0.0534116138307917	0.178435661027036	0.0985740348777937	0	0.0320007436344214	0.0485450463294833	0	0	0	0.04	0.120039327120405	1.05954311122127
TCGA.4Z.AA7R.01A.11R.A39I.07	0.085702762904058	0	0.0619245527842229	0.0671040919302906	0	0.0509839961668574	0	0.0506404714836866	0.0352253810840424	0	0.0266853726923835	0	0	0.167820356361878	0.0108945348962882	0.340554753427906	0	0.0239475797235212	0	0.0694700608714498	0	0.0090460856734151	0.02	0.188921010937192	1.01344596104345
TCGA.4Z.AA7S.01A.11R.A39I.07	0.0344815471749691	0.0949243238165312	0.0128714618581146	0.0301942473334644	0.0142742406476369	0.110534778372231	0	0.123519479558709	0	0	0	0.00430902650778968	0	0	0.00667710338781421	0.157692599175791	0.0549592686793564	0.168194340259978	0.171207492076519	0	0	0.0161600911510954	0.44	0.0132543374023131	1.06665808520772
TCGA.4Z.AA7W.01A.11R.A39I.07	0.00651677400586976	0	0.0666586740590036	0.373793757018408	0	0	0.144118853720372	0.0714997190078671	0.00488151194118118	0.0305521398466792	0.0276196877672326	0.039936831352872	0	0.00422089973516403	0.0693366568720508	0.0966715797571603	0.0151055035038892	0.0300021591344226	0.019085252277828	0	0	0	0	0.286561809954558	0.98152368087452
TCGA.4Z.AA7Y.01A.11R.A39I.07	0	0	0.000236487617660705	0.120060697320588	0	0.160282361098103	0	0	0	0	0	0.0867222095886252	0.0422529229696135	0.0900237224141982	0	0.147569647138567	0.0964766711705542	0.225633950586116	0.0232067369397042	0	0	0.00753459315627108	0.6	-0.00251236983529883	1.09545472448844
TCGA.4Z.AA80.01A.11R.A39I.07	0.164407519815152	0	0.090258493528077	0.153448465187898	0	0	0.0693515994916065	0.0745073453478991	0.0500266795352254	0	0.0490538940440999	0.0031540121962007	0	0.0344102087846891	0.099494243857413	0.0872728835526811	0.0211441291839311	0.0706825600239694	0.0274931516618997	0	0	0.00529481378925828	0	0.234284412755767	0.994488176813454
TCGA.4Z.AA81.01A.11R.A39I.07	0.0695652235359452	0	0.0106886648992634	0.333975035326908	0	0	0.180961566984736	0.0752117556803337	0	0	0.00706241541876387	0.0430003999337248	0.00421695276759475	0	0.00220848422579968	0.0779384563682091	0	0.151453944560659	0.043717100298063	0	0	0	0.02	0.196706753941559	1.01718100556687
TCGA.4Z.AA82.01A.11R.A39I.07	0	0.0470292716924031	0.00464432095666741	0	0	0.166406559545309	0	0.0459738239607901	0.00224735821617216	0	0	0.079612371831902	0.0303663319111043	0.0292213714009488	0	0.0283295679933749	0.250624763668791	0.234190802980948	0.0813534558415893	0	0	0	0	0.237163300451263	0.988856605645696
TCGA.4Z.AA83.01A.11R.A39I.07	0	0.00136995093517912	0.00467427276504806	0.0610420559171154	0	0.0203877420338004	0.00773714418651402	0.0611749623843317	0.0533349839543241	0	0	0.096635558968706	0	0.217907017176187	0.067647529639742	0.0970885857394795	0.0819969946446911	0.166310417569288	0.0366217386225628	0	0	0.0260710454630302	0.08	0.0891294708969589	1.06321444641725
TCGA.4Z.AA84.01A.11R.A39I.07	0.1782563288587	0	0.138064364729711	0.0554353663536802	0	0.0541293774918393	0	0.0604138402579589	0.0123460763790363	0	0	0.00708795442970186	0	0.334043398871887	0.0400287078809345	0.0832970915085058	0	0.0160144416288255	0	0.0200064769482367	0	0.000876574660983564	0	0.321259134079257	0.965072549411882
TCGA.4Z.AA86.01A.11R.A39I.07	0.0129745983376952	0	0.00284751180966387	0.100942647013872	0	0.173366611082295	0.135482727317813	0.0373021151827353	0	0	0.0913629162266673	0	0	0.205993406036542	0.0812918648447959	0.124750686331149	0.00588423041757707	0	0	0.0278006853991955	0	0	0.02	0.158971549260854	1.02712742488362
TCGA.4Z.AA87.01A.11R.A39I.07	0	0.0348914052442319	0.0257195250460045	0.227366804454701	0	0	0.0865545461356583	0.0374492189439131	0.048333135760654	0	0.0272611804032088	0	0.0179750589565863	0.117290033421241	0.0932511835578436	0.0956991177598905	0.187107234374183	0	0	0	0.00110155594188346	0	0.04	0.128147287635761	1.03075891423896
TCGA.4Z.AA89.01A.11R.A39I.07	0	0.037409851662477	0.00368548824564741	0.18241843194246	0	0.0563359661432148	0	0.19373644002877	0	0	0	0.0139816510428282	0.00254532108222063	0	0.192883772635792	0.169822044023144	0.0345471330900854	0.0836478977869207	0.0289860023164403	0	0	0	0.46	0.0109582902435046	1.1152856856193
TCGA.5N.A9KI.01A.31R.A42T.07	0.0111981937526307	0.0787467359767939	0.0161310563838393	0.0382651457045594	0	0.105317626606303	0	0.0502992839139299	0.0270892819313915	0	0	0.0348204250590569	0	0.10784091746867	0.0640316480360004	0.254770640632989	0.0114521083978337	0.0836665255583544	0.047726688678002	0	0	0.0686437218996457	0.24	0.052735264182671	1.05884672404609
TCGA.5N.A9KM.01A.11R.A42T.07	0.030309890329531	0	0.0445786504285462	0.301622878785389	0	0.131684694890936	0.0701126678328034	0	0	0	0	0.0302747560266798	0.0804628055990074	0	0.0466163020971481	0.185327471962379	0.0112347197118887	0.00632622984954765	0.0614489324861437	0	0	0	0	0.20891318779131	1.0015398049914
TCGA.BL.A0C8.01B.04R.A277.07	0	0	0.00451937384963792	0	0	0.164749099564376	0	0.0189638084626957	0	0	0.0255626340026362	0	0	0	0	0.303366740643243	0	0.156308862076365	0.0246986917177813	0	0.301830789683265	0	0.98	-0.0399056730593478	1.1082715288231
TCGA.BL.A0C8.01A.11R.A10U.07	0	0	0	0.0445839150996322	0.0156830471262394	0.113274062169181	0	0	0.0213397090104937	0	0	0.00264450698794991	0.0756697933027019	0.0136603820308375	0	0.488807888654052	0	0.159571052083746	0.0592470930862933	0	0	0.00551855044887371	0.58	-0.00189934728564517	1.1010195280076
TCGA.BL.A0C8.01A.11R.A277.07	0	0	0.00200136551488605	0	0.0127287791913998	0.0241582143744472	0	0	0	0	0.0119881575350384	0	0.07974444572265	0.235771563628967	0	0.315003514609421	0	0.157789882820105	0.0510480226361406	0	0.0811522579236802	0.0286137960432654	0.4	0.0187621799291055	1.11130808697275
TCGA.BL.A13I.01B.04R.A277.07	0.0100809592874323	0	0.00215707945679901	0.0031221793501213	0	0.176456862040346	0	0.00786510798510572	0	0	0	0.00668539152439148	0.0277613382902157	0	0.0475422418605325	0.669308109654244	0	0	0	0.0401413970566042	0.00887933349420816	0	0	0.438735978404662	0.90220547935272
TCGA.BL.A13I.01A.11R.A13Y.07	0.00103832941654358	0	0	0.037479713096381	0	0.193707859758143	0.00834274148356836	0.0192035307624959	0.0395858687514855	0	0.00026554483858444	0	0.0087734175170535	0.0203353320572689	0.0221415607109513	0.562918494726114	0.00104661222765065	0	0.0804514057559008	0.00443197160314608	0	0.000277617294713425	0	0.61050425556054	0.803896966006793
TCGA.BL.A13I.01A.11R.A277.07	0.0107437690344199	0	0.00296040428743847	0.043953050204439	0	0.128997282118052	0.0130163355750598	0	0.0322916909560338	0	0.0223501763662625	0	0.0277243916224121	0.0928053862540169	0.0238888229642416	0.521884123765406	0.00529240213037293	0	0.067942077406429	0.00615008731541616	0	0	0	0.519959337845384	0.855354295843404
TCGA.BL.A13J.01B.04R.A277.07	0.0398134450030185	0	0.00620224156310522	0.015283444323715	0.0385549413681278	0.132178934782357	0.0456975321939019	0.0250520609971665	0	0	0.0391274475692705	0	0	0.0187541700809821	0.0458769571628772	0.339785228220773	0	0.120027244949025	0.0472723555877398	0	0.0863739961979416	0	0.38	0.020972759036414	1.06823437264569
TCGA.BL.A13J.01A.11R.A10U.07	0.0409073689864904	0	0.0120276230392733	0.117332807525707	0	0	0.0895923259587642	0.0182125038354531	0.0283752587797707	0	0.0324178334035627	0	0	0.235578069738553	0.110815473537402	0.161514773983652	0	0.0797691720039037	0.0734567892074682	0	0	0	0.64	-0.00519629748887418	1.09404129117635
TCGA.BL.A13J.01A.11R.A277.07	0.0696512951718649	0	0.0136430181179999	0.0496291434782932	0.0185471750748918	0.06779204127015	0.0381908908889427	0	0	0.00106370807864926	0.0184815123999473	0	0	0.25536851064268	0.075571677803559	0.197012976251922	0.00367182142553057	0.0952161004522734	0.0515553329370234	0	0.0446047960062727	0	0.6	-0.00200527389413448	1.094936180994
TCGA.BL.A3JM.01A.12R.A21D.07	0.016496459983455	0	0.0111054609553325	0.020250814849001	0	0	0.0223005127744946	0.0831798543091827	0	0.0788202805090765	0	0.0356425899115871	0	0.461071305439941	0.122941778894388	0.0875786508601256	0.00593085850519526	0	0.05468143300822	0	0	0	0	0.661665114299982	0.758946272171693
TCGA.BL.A5ZZ.01A.31R.A30C.07	0.0179821405677724	0	0.00239633820920065	0.0105271055374963	0	0.0829865798619476	0.0425074259279565	0.000220208944959201	0.00906683463966983	0.0063871563812332	0.0301547899609033	0.0147585834831789	0	0.462817180343318	0.00181146011021768	0.231771117709096	0	0.018450871535922	0	0.0625800999641331	0	0.00558210682299541	0	0.441473371176093	0.906974107518811
TCGA.BT.A0S7.01A.11R.A10U.07	0.109579877231863	0	0	0.0726214019800649	0	0.137156635504757	0.0182979866065298	0.0558021581016195	0.00128738418662933	0	0.0181376152332634	0	0	0.174000087382262	0.0337595403565047	0.262199171238121	0.0691232531339942	0.00126562717902314	0.026998123693006	0	0	0.0197711381723614	0.18	0.0708747589679836	1.05650065710306
