B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.ZH.A8Y2.01A.11R.A41I.07	0.00954313239764918	0.0358896361753531	0	0.0538845798432832	0	0.180555058878185	0	0	0.0263839815717922	0	0	0.0465453360194546	0.137179042633565	0.0781932773546178	0.0292465528142911	0.180231911814049	0.184476696098936	0.0116788550922967	0.0189919040379598	0	0	0.00720003526856716	0.16	0.0846693834284359	1.04468114768586
TCGA.W5.AA2X.01A.11R.A41I.07	0.0493764682530355	0	0.036126980916053	0.0195710221688572	0	0.0814371803255988	0	0.000667068197788928	0.0119549589332321	0	0	0	0	0.556468129656619	0	0.0669646532899106	0	0.0489018848938763	0	0	0	0.128531653365028	0.08	0.14054901775926	1.09755289915373
TCGA.W5.AA2Q.01A.11R.A41I.07	0.0208984457992911	0.0158828237325382	0.00807003340763673	0.0910591784289803	0	0.222755033952449	0	0.0301668089655585	0.0272577352378969	0	0	0.119037079802357	0.0134684514174627	0.210691118568798	0.0894195275172898	0.0970135616978653	0	0	0.0524311450073127	0	0.00184905646456364	0	0.16	0.0818446077990606	1.06582935682316
TCGA.W5.AA2U.01A.11R.A41I.07	0.13381686734912	0	0.00422735434762712	0.0508545694086449	0	0.41457326747705	0.01122613234192	0.0206339222406445	0	0	0	0.021182683098712	0	0.0759046263739742	0.135963632515481	0.0715474151528333	0.0173348187397234	0.0283180737105106	0.0144166372437588	0	0	0	0.02	0.185368501833841	1.02593839644833
TCGA.ZH.A8Y4.01A.11R.A41I.07	0.111074851395315	0	0	0.0137045933623452	0	0.090243027593935	0	0	0.0236733273967907	0.00147116110957249	0	0.0384758775515683	0	0.460063813053507	0.0445343578649288	0.132726155459709	0	0	0.044531851977419	0	0	0.0395009832349099	0	0.383041567341518	0.935459324760285
TCGA.W5.AA2R.01A.11R.A41I.07	0.0471266441017575	0	0.00827986853173878	0.135489737236202	0	0.239201234565364	0	0	0.0868376773770015	0.0115299495297478	0	0.0801926169307664	0.00369825477306975	0.163712856008108	0.0902692091972864	0.0476500411084593	0.0213193431129862	0	0.0646925675275134	0	0	0	0.1	0.100291441257716	1.0590194835644
TCGA.W5.AA34.01A.11R.A41I.07	0.00985559192294666	0.000654414955114746	0	0.0556483593906746	0	0.28240029720367	0	0.00755033726575832	0.0484944905258346	0	0	0.074284665189247	0.0627814154098175	0.0567461806011091	0.0866045596745627	0.0811705121166148	0.152674592328778	0	0.0305927881476867	0	0.0032834269185005	0.0472583683496853	0	0.199179025924961	1.00443265903491
TCGA.W5.AA2W.01A.11R.A41I.07	0.0876447405092907	0	0.0161719401271747	0.247827997367377	0	0.152357928067673	0.0439586188599672	0.00914937200572185	0.0344870371944006	0	0	0.055746838396072	0.0550318870428737	0.0601715729023194	0.0913924679770678	0.0919010686141881	0.00490749277645275	0	0.0492510381594207	0	0	0	0.1	0.111356373954078	1.04955543933412
TCGA.YR.A95A.01A.12R.A41I.07	0.0420663726763638	0	0.00515472309012765	0.191906720359909	0	0.257859574877761	0.0304016873805277	0.00258183302928738	0.00915237447477856	0	0	0.0346981664972131	0.00489376160382598	0.0297143604273815	0.205420830377942	0.141353624969248	0.00691595876292254	0	0.037880011472712	0	0	0	0.34	0.0397741188305554	1.10459785476485
TCGA.ZH.A8Y6.01A.11R.A41I.07	0.0750524075059074	0	0.0036131965662536	0.0333581796618815	0	0.136344827335982	0	0.0171727952862529	0.00547338796827943	0	0	0.0730797095121672	0.0811265137980126	0	0.0261596889600516	0.346081554885046	0.0478951037047153	0	0.15464263481545	0	0	0	0.66	0.00421726942412952	1.07360107157369
