B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.FA.A4XK.01A.11R.A31O.07	0.0705557467053985	0.335895026554862	0	0.0278952015937071	0	0	0.0508326685094236	0.0118522254273212	0.0246596048603191	0.0124274801715565	0.00160889628218122	0.00881208606657026	0	0.364341463238985	0.0197592719756435	0.032771352751697	0	0.0249307193666865	0.0136582564956481	0	0	0	0	0.605360405055062	0.799291526668434
TCGA.GS.A9TY.01A.11R.A39D.07	0.0540886629242319	0.310106829843104	0	0.0298442772791006	0	0	0.085711845220379	0.0444137538525702	0.0340376472690458	0.0170892369733239	0.00975756317734212	0	0	0.276503827336897	0.0405840785417828	0.0689199093327556	0	0	0.0289423682494672	0	0	0	0	0.34111273301309	0.949028439974334
TCGA.GS.A9TZ.01A.11R.A39D.07	0.0249906600182939	0.108478531176457	0	0.0849492680447705	0	0	0.0494201416114839	0	0.120781338508932	0.023938334630874	0	0.042503102436223	0	0.303540514547305	0.0789977616079989	0.0473151792920225	0	0.0408489081276778	0.0677853258768218	0	0	0.00645093412113901	0	0.31893918365395	0.954731170704966
TCGA.G8.6914.01A.11R.2213.07	0.12656012672832	0	0.115623507398928	0.141772899190874	0	0	0.0335881903944973	0.0691562259777766	0.0336643361900946	0.0615144415787036	0	0.049879872283785	0	0.179387189073545	0.0414345071774075	0.0925061672431354	0.00888612710251151	0	0.0452737096925083	0	0	0.000752699967913917	0	0.447623936561064	0.893374157693808
TCGA.GS.A9TV.01A.11R.A38C.07	0.0220503976391221	0.0445488202969007	0.0023010174370312	0.230787092510782	0	0	0.107464976440083	0.028107227118542	0.0564218279120435	0.0369178407147672	0	0.0209467660043095	0	0.233972583053323	0.145920511451052	0.0358574565084643	0	0	0.0347034829135788	0	0	0	0	0.563463066179304	0.830654349494021
TCGA.FA.A7Q1.01A.11R.A38C.07	0.625894647850157	0.031232564273469	0	0.0794781318629087	0	0.0216074232649917	0.00890788044914799	0.0132472453135102	0.0242181979852687	0	0	0.0162098654268713	0	0.0993354740443966	0.0187288944925429	0.0483420135987906	0	0	0.0127976614379451	0	0	0	0	0.487632497463646	0.897669377286
TCGA.GS.A9TT.01A.11R.A38C.07	0.199135046598496	0.359985672921367	0	0.0073902819052695	0	0.0399875672859124	0.0842796118273118	0.0062015696184082	0	0	0.00258437140376604	0.00273651992656695	0	0.213962912264882	0.0427529395010911	0.019762483217188	0	0	0.0197555794213758	0	0	0.00146544410836535	0	0.457903673103469	0.89660285267165
TCGA.GR.A4D4.01A.11R.A31O.07	0.429871456116001	0.176816057675261	0.0497433478970904	0.00419459993164622	0	0.0333249284823363	0.0160043209972927	0.024257046958722	0	0.036911800984193	0	0	0.00233039998695661	0.183426899528256	0.015740213123486	0.0105180709757586	0	0	0.016860857343	0	0	0	0	0.629424849629646	0.777321370583713
TCGA.FM.8000.01A.11R.2213.07	0.0371796519902174	0.333769400938563	0	0.0650775091846868	0	0.0512097467014953	0.0151229924842862	0.0325980901720328	0.0382955400996379	0.0119393040090571	0	0	0.0246995704523632	0.226557544751221	0.0496137814779356	0.0905398021458302	0	0	0.0233970655926725	0	0	0	0	0.542694790996439	0.841989135870087
TCGA.FA.A7DS.01A.11R.A38C.07	0.205702741728849	0	0	0.1898128706596	0	0	0.287105829409907	0	0	0	0.117288922320424	0	0.0117698519169372	0.0246140478605252	0.0825984446531064	0.0194054471577863	0.0173781870732077	0	0.0411400568614499	0	0	0.00318360035820727	0	0.312557884868431	0.960710682078076
TCGA.G8.6326.01A.11R.2213.07	0.0138641082291676	0	0.00982264154998018	0.246091853015201	0	0	0.126261260747729	0.0726522209093508	0.0328251076123601	0.113113699599883	0	0	0	0.18664518624679	0.109549481547768	0.073237882692339	0	0	0.0130822029510856	0	0	0.00285435489834537	0	0.581570573400337	0.819387449360726
TCGA.FF.8046.01A.11R.2213.07	0.0855306116429867	0.0992548768601296	0.0314442268033176	0.168275840649357	0	0	0.0451907571875566	0.0479314467161648	0.0912665335124813	0	0	0.045285463170544	0	0.193269382915326	0.0632657380610075	0.0701310059449724	0.0127294191391416	0	0.0464246973970155	0	0	0	0	0.401943241944753	0.91529316012117
TCGA.FA.A4BB.01A.11R.A31O.07	0	0.30929513423447	0	0.108246935570808	0	0.00578629013967296	0.0680168011216531	0.0539677002881896	0.0754207319399987	0.0248199677706661	0	0	0	0.225289716510242	0.0871419796702955	0.0290723506911915	0	0	0.0129423920628124	0	0	0	0	0.341282458334024	0.946923063984015
TCGA.FA.A82F.01A.11R.A38C.07	0.334640074004915	0	0	0.146133599387225	0	0	0.0861530717822719	0.0645732300959588	0	0	0.0552463960528297	0	0	0.162681405651654	0.0662630839502258	0.0772868591245216	0	0	0.00702227995039689	0	0	0	0	0.472851690858525	0.880318562118885
TCGA.FF.8042.01A.11R.2213.07	0.215949851948088	0	0	0.129956617699658	0	0	0.0641018362009258	0.0375710802023259	0.0363617506099982	0	0.00303977878293491	0.0218543686945188	0	0.36896474446182	0.0444038811921896	0.0290417703455689	0	0	0.0487543198619719	0	0	0	0	0.535254329146539	0.846437736036648
TCGA.GR.A4D9.01B.11R.A31O.07	0.129404055631579	0.043917380946345	0	0.131584219763187	0	0.0516865134239861	0.282306155701799	0	0	0.00493419367105949	0.103078916180887	0	0.00832387271557608	0.0248182001645449	0.0969690171641491	0.0647945293280498	0.0090253022347453	0	0.0429864120185438	0	0	0.00617123105554923	0	0.199571796855678	1.00684482261752
TCGA.VB.A8QN.01A.11R.A38C.07	0	0.530355867925177	0	0.0315319952895476	0	0	0.046473957940431	0.045140866597902	0.00336373106960832	0	0	0.0311876389252678	0	0.186429055769366	0.102854904650153	0	0	0.00255786970701267	0.0201041121255353	0	0	0	0	0.605598591642252	0.796106822047385
TCGA.GS.A9TX.01A.11R.A38C.07	0.366827283889316	0	0	0.10378541166283	0	0.14692064520983	0.032341852595888	0.0860381910802726	0.089063244960797	0.00305851262740767	0	0.0337865105998274	0	0.0511573735398646	0.0153449606272264	0.0378634239488736	0	0	0.0311045962386452	0	0	0.00270799301922153	0	0.516666922295956	0.855699057343715
TCGA.GR.A4D6.01A.11R.A31O.07	0.197411655122286	0.161282933864823	0.0973851858289419	0.233100163815684	0	0	0.0500195911742988	0.0557655599881503	0.0665342531381621	0.0109601720985366	0	0	0	0.0445914053199442	0.0227538275050036	0.0489176251966833	0	0	0.0112776269474868	0	0	0	0	0.545302918288942	0.837526117468966
TCGA.FF.8047.01A.11R.2213.07	0.487390546125787	0	0	0.100711205249659	0	0	0.0721993470713868	0.0161829682528951	0.0399177747462365	0	0	0.00651957872247072	0	0.0961129164147399	0.0534619533433204	0.0769995983556239	0	0.0115583430676289	0.038206805835434	0	0	0.00073896281481826	0	0.400539283501325	0.929296168002932
TCGA.FF.A7CX.01A.12R.A38C.07	0.274028237018356	0.285419499390228	0.105727224135052	0.0407512237318902	0	0	0.0518758952142994	0.0395397796780297	0	0.00957841717923546	0.0362253120336259	0	0	0.107226067322292	0.0162823541398177	0.0253175490985779	0	0.00517546761236538	0	0.00285297344622989	0	0	0	0.540761000712685	0.84880410590956
TCGA.GS.A9U3.01A.11R.A39D.07	0.172827820723582	0	0.0916948138334733	0.161667806221735	0	0.0489407160609754	0.0458545105838862	0.0481448996495747	0.0356311358019294	0.0182386196028043	0	0.0181581171214606	0	0.212110422410681	0.0796335662752317	0.0268649820226484	0	0	0.0338935616721268	0	0	0.0063390280198903	0	0.492000116778276	0.870458784029953
TCGA.GS.A9TQ.01A.11R.A38C.07	0.415877602549062	0.018299879246958	0.10067898741986	0.102555274737345	0	0	0.0312420730163546	0.0280851324087422	0.0140126812811447	0.0159562773076064	0	0	0	0.201129603695434	0.0306502686264068	0.0361581582060078	0	0	0.00535406150507795	0	0	0	0	0.677735075202686	0.739029611495279
TCGA.G8.6325.01A.11R.2213.07	0	0.114480129556824	0	0.219996863715782	0	0	0.0849353082772282	0.0193791272721269	0.0375850035113996	0	0.00102938302823202	0	0	0.372948439998096	0.0930664329017815	0.0381374908477022	0	0	0.0182344745644503	0	0	0.000207346326377382	0	0.686693903798021	0.755588750226701
TCGA.FA.A6HN.01A.11R.A31O.07	0.113596050022492	0.294890188192295	0.0227048529626617	0.144097666138346	0	0	0.0494549584759101	0.0593373173970977	0.0673064509431859	0.0137095218130517	0.0235853494601295	0	0	0.0506085472179516	0.0922942648248003	0.0684148325520791	0	0	0	0	0	0	0	0.597187769178512	0.804891761980397
TCGA.GS.A9U4.01A.11R.A39D.07	0.0190689884923218	0.0737875361074495	0	0.148945927030143	0	0	0.193563238107386	0.029297216896844	0.0183845219294081	0	0.0309608950747358	0.00600980231354453	0	0.1265750061574	0.167877911557193	0.0474588860139439	0	0.0894864979140383	0.0210200041183141	0	0.00668522042816645	0.020878347859112	0	0.534035463597196	0.847593906610756
TCGA.GR.7353.01A.11R.2213.07	0.10416170948535	0.428647777411734	0.093902837774498	0.125470064440646	0	0	0.0463447064982943	0.0328596569054911	0.0810029221826128	0.0115243520950405	0	0	0	0.0260319497269298	0.0174205842212747	0.030594586634648	0	0	0.00203885262348116	0	0	0	0	0.45361208008044	0.910459683639264
TCGA.RQ.AAAT.01A.11R.A39D.07	0.265478297903084	0.275984408931084	0	0.0573809786983793	0	0	0.0580009798289999	0.047964421904711	0.00829805789406719	0	0.00883013623807793	0.000893109791949935	0	0.153414319290513	0.000709360115714675	0.0587328825930376	0	0.0390243091958126	0.0179577631387828	0	0	0.00733097447578568	0	0.459554746153599	0.893882098910208
TCGA.GR.7351.01A.11R.2213.07	0.0221255763185408	0.228894986244294	0	0.147450954360293	0	0	0.0913160076000814	0.00810452436034476	0.0274082420785481	0.041454565736628	0	0	0	0.313757270759258	0.0365519857890025	0.0626715894984906	0	0	0.0202642972545191	0	0	0	0	0.644520810155209	0.786942686281579
TCGA.FA.A86F.01A.11R.A38C.07	0.149008753276719	0.0649026686346296	0.0159623688694326	0.216737197832776	0	0.0132318254747258	0.0341963421009879	0.135487658902392	0.0735587852848613	0.0434914762665828	0	0.00591756719367537	0	0.138729421754287	0.0682040577673365	0.0301886175563895	0	0	0.0103832590852052	0	0	0	0	0.39614270285044	0.921421244343591
TCGA.G8.6324.01A.11R.2213.07	0.303756763151861	0.0157684053339058	0.15920750894957	0.117281101382348	0	0.00706550890362625	0.0136724755102815	0.0323872751416333	0.180819111548577	0	0	0.0073131406937761	0.00479668624356715	0.0186740044859414	0.0424183449747402	0.0968396736801728	0	0	0	0	0	0	0	0.506528865482387	0.865068871299844
TCGA.FF.8043.01A.11R.2213.07	0.189151974655423	0.296465418529936	0.135365846959049	0.0673218719226133	0	0	0.0139409410064077	0.0432495503212581	0.0196083287788814	0	0.0150347801267257	0	0	0.161777668807863	0.0109980787209605	0.0439781161094825	0	0.00110707943564535	0.00200034462575498	0	0	0	0	0.513640847579941	0.865728948531498
TCGA.FF.8062.01A.11R.2213.07	0.0448981695095635	0.26102203764647	0.014028385528166	0.198284501969072	0	0	0.0250282908344341	0.0586647269863545	0.0600145463273208	0	0	0.0081825843254289	0	0.19333368110108	0.0508058652785837	0.0526675040648653	0.0130482102523434	0	0.0200214961763179	0	0	0	0	0.511006521334923	0.859957275247474
TCGA.G8.6906.01A.11R.2213.07	0.298994857552639	0.0896831568948444	0	0.111782502386208	0	0.00637546441614946	0.0436161942370549	0.0453224443486323	0.0332215118447698	0.00617176949838009	0	0.0511806662161884	0	0.171916642953854	0.0467441053268676	0.0501202886395639	0	0	0.0403777915964668	0	0	0.00449260408838168	0	0.396802133556076	0.922398272308726
TCGA.FF.A7CR.01A.11R.A38C.07	0.117919984107111	0.0645291713583543	0	0.175002914629683	0	0	0.238770547397724	0.0126149356638869	0	0.0301838820869931	0.0607604276139359	0	0	0.0257209210492143	0.153892460066416	0.0667580087069233	0.0141600833952656	0	0.0259104668770524	0	0	0.0137761970474407	0	0.423717293192113	0.90560898008492
TCGA.GS.A9TW.01A.11R.A38C.07	0.0343792198708446	0.108559336643246	0	0.124231995807481	0	0	0.180213296999618	0.0170333452700022	0.00479917939435609	0.0202085128563597	0	0.0363246239669001	0	0.170620680207463	0.158743974786497	0.0276549671352008	0	0.0942119110827857	0.023018955979246	0	0	0	0	0.591404487918563	0.814956923214564
TCGA.FF.8061.01A.11R.2213.07	0.0708214760581831	0.384134088665582	0	0.0833648088399644	0	0	0.0232379338216506	0.0215949432781941	0.028042681194908	0.0147840778661426	0	0.00166981798076761	0	0.245781625373177	0.0203126120279405	0.0872910213723282	0	0	0.0189649135211627	0	0	0	0	0.523637465649326	0.851381739283742
TCGA.FF.A7CW.01A.11R.A38C.07	0.0916323319295796	0.149911070059791	0	0.269591933335345	0	0	0.0848915721432461	0.0479970044541896	0.110683965865092	0	0	0.0139072207412397	0	0.137849529085648	0.0429356269192507	0.029700183291565	0	0.00204703623397216	0.0188525259410807	0	0	0	0	0.503293876943218	0.863760946633482
TCGA.GS.A9TU.01A.11R.A38C.07	0.161535974066155	0	0	0.207468445054853	0	0.0296262872241454	0.142818679278111	0.0576139045318473	0.0389272240181449	0.00999159069068591	0	0	0	0.207645295865072	0.0817587283641027	0.0260091098083456	0.00823113594797518	0	0.028373625150562	0	0	0	0	0.249179280763249	0.985835878808148
TCGA.FA.A6HO.01A.11R.A31O.07	0.263268333550787	0.00382274858108121	0.0729696124457234	0.142994208751945	0	0	0.0511170144498702	0.0239598455996415	0.0676840442828625	0.043421900265005	0	0	0	0.214600178018742	0.0842814697713587	0.0106320052556757	0	0	0.0212486390273072	0	0	0	0	0.591562480324248	0.812196424744277
TCGA.GR.A4D5.01A.11R.A31O.07	0.106996482363404	0.194815762769726	0	0.101475581205511	0	0.0413860827911424	0.0774303812519413	0.000162672229377788	0.0385103478165305	0	0.00989838298290195	0	0	0.260161030109584	0.105740690321067	0.0417704802944844	0.00065533555795339	0	0.0209967703063769	0	0	0	0	0.540370739388286	0.843976505783969
TCGA.FA.8693.01A.11R.2404.07	0	0.122258625375811	0	0.176248603684142	0	0.00359650394424109	0.117710559471238	0.0324296228608042	0.0347273856681312	0.0335847268776939	0	0	0	0.274374522087986	0.0875159112564457	0.0850243792414817	0.00272586133543194	0	0.0298032981965926	0	0	0	0	0.391762316798831	0.920436172547286
TCGA.G8.6907.01A.11R.2213.07	0.0238530375016971	0.529973572688017	0	0.107927144148409	0	0.000130862797913855	0	0.0378525602791696	0.0630433751066122	0	0	0.0685837475372319	0	0.0708159630574598	0.0206128024301683	0.034690750959201	0.00231067106876545	0	0.0366838152758419	0	0	0.00352169714951296	0	0.374352754776379	0.950038526984601
TCGA.RQ.A6JB.01A.11R.A31O.07	0.0617440600678629	0.313437664689407	0.0572814519326305	0.0991583877004812	0	0	0.0375148929990926	0.0290854499841398	0.0389816079088517	0.0272063917693189	0.0115169015651861	0	0	0.195218494421541	0.0726364765309853	0.0500643610660833	0	0	0.00615385936441947	0	0	0	0	0.647902437844907	0.77406372029278
TCGA.G8.6909.01A.11R.2213.07	0.0238907791265954	0.161958281865894	0	0.226605490556187	0	0	0.204776221047419	0.0014709538849551	0.0297485316494332	0	0	0.00795588556799898	0	0.107515989155395	0.0887801276363092	0.0649803401979574	0	0	0.0756396659880291	0	0	0.00667773332382562	0.08	0.0916997957709308	1.04500493801949
TCGA.RQ.A68N.01A.11R.A31O.07	0.171453283536593	0.11203586012293	0	0.208551054279662	0	0	0.11647294433393	0.038245169393653	0	0	0.0284282080881052	0	0	0.162583549666389	0.0504044604938539	0.0718561732853965	0	0	0.0339910209971857	0	0	0.00597827580230283	0	0.528130451502076	0.852805649091982
TCGA.FF.8041.01A.11R.2213.07	0.0102948798270425	0.299348888845939	0	0.161476082973713	0	0	0.0444032745471838	0.0322571213143242	0.0286829490083617	0.0371388946638303	0	0.0230016778275073	0	0.212181051956414	0.06121100395353	0.0447234083217065	0	0	0.0398351683189421	0	0	0.00544559844150656	0	0.543082293060991	0.843474346692731
