B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.L5.A8NL.01A.12R.A37I.31	0.0386136863745112	0	0	0.0222541284271958	0	0.214207695604169	0.0154553459470286	0.00186110024075769	0.0263957744508449	0	0.0203637629721594	0	0.00162426787981918	0.292825255402827	0.00308717936131524	0.193308141513103	0	0.0622788737540692	0.0858615642863147	0	0.0182410912515242	0.00362213253436173	0	0.222110819717327	1.00061917768348
TCGA.L5.A8NR.01A.11R.A37I.31	0.156659730907803	0	0.0165911428776093	0.0534422242440957	0	0.209177931496336	0	0	0.078228453859084	0	0	0.00737545121774506	0	0.138203319707542	0.00965911889068799	0.205100735983394	0	0.0350702267137186	0	0.060150283103842	0	0.0303413809981428	0.02	0.21336118864838	0.998809944165488
TCGA.JY.A93D.01A.11R.A38D.31	0.0651606135945181	0.0275818974873774	0	0.0657084824137957	0	0.269000148218477	0.0584274375292182	0	0.0221309136989574	0	0	0	0	0.0421583892388329	0.121408404374381	0.17809107763873	0.0126819414329276	0	0.137650694372784	0	0	0	0.0600000000000001	0.14169315212004	1.02524840016464
TCGA.IG.A5B8.01A.11R.A28J.31	0.00247364286570372	0.00177327010865416	0	0.0896940425345903	0	0	0.134343744827179	0.00650172462079449	0	0	0	0.040164268180048	0	0.466576077516099	0.0765130040939476	0.153861867385103	0	0.0208662165569939	0.00723214131088721	0	0	0	0.36	0.0393080891812175	1.12284098911828
TCGA.IG.A3YA.01A.11R.A24K.31	0.126333131738588	0	0.0104724111634542	0.0170135749652929	0	0.17609154032514	0.057874176740613	0	0.0701401359103386	0	0.0145714131113568	0	0.0131168664564596	0.232864988226431	0.0597344600907508	0.0461493978962998	0.0208627765965334	0.105850782656197	0.0489243441225448	0	0	0	0	0.253065816052165	0.980665355784081
TCGA.KH.A6WC.01A.11R.A336.31	0	0	0.0400118906281387	0.0428665252406434	0	0.207466890652881	0.00657475055369707	0.0591631903337616	0.036342829369938	0	0	0.0242723180235352	0	0.04810915870891	0.13464210559199	0.112980335450736	0.145533748190623	0.00228571322515543	0.13975054402999	0	0	0	0.44	0.0213085720888764	1.07074927055559
TCGA.LN.A4A4.01A.11R.A260.31	0.0282002828432784	0	0.00634918605822093	0.0303965346141419	0	0.223503350203618	0.0892344686182049	0	0	0	0.0217868371548679	0	0.00141813911225508	0.238388350501797	0.0691562946982816	0.0654930665416246	0.145336751236471	0.0216537167788235	0.0590830216384145	0	0	0	0.0600000000000001	0.123357078238023	1.03316375572816
TCGA.2H.A9GJ.01A.11R.A37I.31	0.217938883426857	0	0.186924380502695	0.079287903868709	0	0.242386159829142	0.0354380383599635	0	0.0119360797815144	0	0	0.0233213043044111	0.0127269795457061	0.0156409868610197	0	0.043144245376893	0	0.0805769218209077	0.0506781163221823	0	0	0	0	0.309609008777027	0.97551756908334
TCGA.LN.A49O.01A.11R.A24K.31	0.00186076279811332	0	0.0137394922735475	0.119102334709089	0	0.211283593798785	0.00602816087411406	0	0	0	0.0206594165923377	0.00861463157866755	0	0.218812075806852	0.170713607465252	0.128248415029904	0.00140332238655147	0.0292201126151764	0	0.0703140740716099	0	0	0	0.259280553480438	0.993465007461208
TCGA.2H.A9GQ.01A.11R.A37I.31	0.015708544064978	0.018787247902311	0	0	0	0.264143509144607	0	0	0.0434163922273438	0	0.0262073437299957	0	0	0.299005997615992	0.0149243226302296	0.0936875613530256	0	0.0913891830329409	0.103398765607427	0.0293311326911502	0	0	0.36	0.0386139034433725	1.07932223307786
