B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.06.2565.01A.01R.1849.01	0.00507217482751181	0	0	0	0	0.19378767286857	0	0.0117691676354043	0.00527440890641344	0	0	0.0563813932843158	0.00845087383041761	0.0431088433025138	0.0715543289273971	0.558773255285962	0	0	0.0421068488662586	0	0.00372103226523534	0	0.14	0.0793759712043166	1.07562240229447
TCGA.28.5208.01A.01R.1850.01	0.00343281196950561	0.000509366919239238	0.000499326523416692	0	0	0.0595411470081259	0	0.0432174107650043	0.00381071542314732	0.0197806071018151	0	0.0520116455159111	0.17536441379137	0.0574188758841786	0.0115085716435251	0.441381124257678	0	0	0.121423297273821	0	0	0.010100685923262	0.02	0.135642073138437	1.04200360742434
TCGA.27.1834.01A.01R.1850.01	0	0.00533712513301784	0	0.0317777186812321	0	0.122235069503481	0	0.0210002079412254	0	0	0	0.0272810171109824	0.281719770570216	0	0.114913372616606	0.265902554916013	0	0.00118700784716251	0.0646097420527887	0	0.064036413627276	0	0	0.182857129211483	1.01576952610487
TCGA.14.0817.01A.01R.1849.01	0.00140565309862663	0.000815501590024853	0	0	0	0.0586283444437635	0	0.0109385135675825	0.00125572048768944	0.0359093614326784	0	0.0245263054481455	0.189537430577002	0.059736747782412	0.0296868172790512	0.485128776349117	0	0	0	0.0892818049715869	0.0054094408375062	0.00773958213481355	0.02	0.149413177716451	1.04991571607127
TCGA.02.2486.01A.01R.1849.01	0.0331177451898783	0	0.00159614805256325	0.0847485344611458	0	0.128943100066905	0.0131983334115219	0	0.00390537447560795	0	0.00343289027544977	0	0.320519515518841	0.0259278931513726	0.0618112524543661	0.234436967247429	0	0.0143803523267089	0.0212438285554803	0	0.0107002258222607	0.0420378389904692	0.2	0.0556249922362872	1.07118097633589
TCGA.19.0957.02A.11R.2005.01	0.00162679749119197	0.00118315596822882	0	0.0778209417507619	0	0.103449069675307	0.0127397265025297	0	0.00632495851420035	0	0.0594885163629137	0.00883387410767788	0.135905731326646	0	0.00150396131888921	0.544519429045824	0	0	0.0370770721316521	0	0.00142166231698236	0.00810510348719532	0.2	0.0497298161661097	1.0850487837206
TCGA.06.5859.01A.01R.1849.01	0.0339395824509519	0	0.00106105933528152	0.0222588012015045	0	0.154822023795538	0	0.000991711498740635	0	0.0204859822292686	0	0.0107857999261531	0.191394877066302	0	0.0320255717771582	0.515064561708853	0	0	0	0.0139211703930807	0	0.0032488586171686	0.02	0.134531323102964	1.04854237597259
TCGA.76.4925.01A.01R.1850.01	0.00668673165144953	0	0	0.0524901373527465	0	0.0182729331158502	0	0.00260663576260399	0	0	0.0293865744948954	0	0.107962903368934	0.362636277849758	0.0306636692042658	0.343715696821101	0	0	0	0	0.0220878324279331	0.0234906079504613	0.04	0.12493652654348	1.0859781817854
TCGA.14.2554.01A.01R.1850.01	0.00326299865716819	0.000116962680694124	0.00010846937036762	0	0	0.278839409529978	0.00515591995215435	0.000593379500165812	0	0	0.0817503234348042	0.00613943380441096	0.188030468492196	0	0.00793725984262913	0.385845830913992	0	0.00359837709862939	0	0.0116503739040805	0.0170401510405486	0.0099306417781816	0.26	0.0347839347890976	1.078709424529
TCGA.06.2558.01A.01R.1849.01	0.00417269392209854	0.00108202352280543	0	0.0173408041166592	0	0.0729080755741135	0	0.0038231574775949	0	0	0.0199970697780876	0.00717816625752497	0.122144706626771	0.198285165747768	0.011617567399688	0.439008549573206	0	0	0.0255318506028898	0	0.0426146051662072	0.0342955642345857	0	0.24539895626661	1.00633177139152
TCGA.06.0211.01B.01R.1849.01	0.024028241977067	0	0	0	0	0.069138086097991	0	0.00709567271487766	0	0	0.0401337382224778	0	0.0286856249546866	0.284250600115927	0.0225840180825031	0.489979814486625	0	0	0.0241192019998816	0	0	0.00998500134796261	0	0.213029308650781	1.03731617716906
