B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.CV.7247.01A.11R.2016.07	0.0249600315353762	0	0.00033803660391418	0	0	0.18091460289734	0.0165075371366937	0.00770726209075101	0	0	0.00147282519594624	0.026199908809955	0	0.573596294269569	0.0542388879537549	0.0599409415232826	0	0.0248042028485978	0.0293194691348191	0	0	0	0.02	0.248848573873268	1.0274065057091
TCGA.CV.5442.01A.01R.1514.07	0	0.00518523372562618	0.0225479686670496	0.139191462463256	0	0	0.0822901700236787	0.132323399468062	0	0	0.00314679962718371	0.0279954543501333	0	0.293691447047254	0.0062136591005857	0.0517361626697011	0.126393654421913	0.0559918309615789	0.0181581094119676	0	0	0.0351346480620091	0.28	0.052988161505988	1.07068814017291
TCGA.UF.A7JV.01A.11R.A34R.07	0	0	0.000772221720277884	0.0449095714194881	0	0.116885950023292	0.0060451996355717	0.00177207875994946	0	0	0.0038114446161774	0.0116766806336993	0	0.441095691292665	0.0580999001672467	0.144433488067047	0.000280973012287129	0.0180895637426691	0	0.149502093353358	0.00262514355627171	0	0.02	0.320400052573329	0.978690974513354
TCGA.CV.7097.01A.11R.2016.07	0.0164050950366234	0	0.00502447323478028	0.0061495548480865	0	0.257328791170162	0	0	0.0114587205000329	0	0.0480707263646464	0.00373996924698304	0	0.368117440674442	0.0219242231473114	0.197023112519713	0	0.0514982953596131	0.00762166623673293	0	0.00106149625684857	0.00457643540402442	0	0.53511467751692	0.845169627731746
TCGA.CN.A6V3.01A.12R.A34R.07	0.112169834611629	0	0.11571269049388	0.0276476365725215	0	0.0736152884225864	0.0800410507658995	0.0245791455849169	0.0126053374029476	0.0011134035723664	0.0193323490708361	0	0	0.194706840581505	0.156967151054056	0.086193096133886	0.0277901652741198	0.0546865856916522	0	0.00953975447556206	0	0.00329967029163611	0.02	0.391665555739002	0.922808471480128
TCGA.CR.7369.01A.11R.2132.07	0.0148590473663674	0	0.0360641947565592	0.100196237708768	0	0.161271170571925	0.116308165326577	0	0	0	0.0443424088871257	0	0	0.216653407071471	0.0281540929353173	0.119693452824827	0.0291247946254398	0.0471813077400784	0.0300972762839081	0.0466452524575386	0	0.00940919144409681	0.1	0.144103118649053	1.02410389674774
TCGA.CV.7438.01A.21R.2132.07	0	0	0.0531613735797324	0.0196593785020913	0	0.20516239065169	0.0238935746131805	0.0398789393534981	0.0240705059761287	0	0.0111375489624212	0.0156853813107474	0	0.273206579553382	0.192533118031258	0.0705186031861431	0.0428171275930091	0.0233728523045155	0	0.00490262638220215	0	0	0.04	0.231926311856064	1.00847082906031
TCGA.CX.A4AQ.01A.11R.A24Z.07	0.230484249994618	0	0.0331224514654001	0.102329659209201	0	0.141612520924437	0.0398740423438589	0.0342984415074743	0.12176239805418	0	0	0.0213155046462837	0.00631948232795416	0.0686147774940918	0.0558452671352212	0.0324475840799628	0.0593813123632485	0.0140920770089746	0.0381563778362934	0	0	0.000343853608801005	0.02	0.341292237159748	0.946031956173279
TCGA.MT.A51W.01A.21R.A266.07	0	0.0286593865112025	0	0.0575926024101982	0	0.132078921571374	0.147340908713027	0	0	0	0.0081488179340201	0.0400063135718296	0	0.227400132477162	0.192220736478629	0.0195144049503732	0.02651851004064	0.0550025468745706	0.0636737582498344	0	0	0.00184296021713994	0.02	0.373578586921254	0.933563482658811
TCGA.D6.6823.01A.11R.1915.07	0.0239786298917948	0	0.0840397071164419	0.0209050626293682	0	0.0343489944977274	0.0603268826095742	0.0282528946832639	0.0113352151625489	0	0	0.029653578598759	0	0.340521009098389	0.105762907039194	0.106468363254473	0	0.0249044158086694	0	0.0446582179733091	0	0.0848441216364867	0.04	0.234901440902071	1.00517845619091
TCGA.CQ.A4CB.01A.11R.A24Z.07	0.036419290231531	0	0.0154797034919514	0.0140199642543995	0	0.156586099187681	0.0270177649634207	0	0	0	0.0245822391413412	0	0.00369237343078261	0.225649974904036	0.113300744331781	0.101320207624769	0.00914557523727151	0.161744204649791	0	0.102419009517161	0	0.0086228490340837	0.02	0.290209512840436	0.975981626452279
TCGA.D6.A6EQ.01A.11R.A31N.07	0.0317678315279913	0	0.0789585972132313	0.0905289105389767	0	0.0795011040267388	0.0321073668274317	0.0585692131232132	0.0337101522992284	0	0	0.0529506002155728	0.00402922736301622	0.121634375755885	0.115271344188511	0.083331045391565	0.167776471395796	0	0.0426621521200426	0	0	0.00720160801279967	0.02	0.313778176630416	0.95301235755936
TCGA.BA.A4IG.01A.11R.A266.07	0.107511737305135	0	0.0381067902241915	0.122610044670645	0	0.130963361018906	0.087229980777982	0.0540068547832502	0.00240240253402106	0.0361624596651438	0.0126210327417239	0	0	0.0838744520822276	0.110630390445039	0.0996346878387312	0.0325204847955415	0.0225374931927649	0.0591878279246975	0	0	0	0.04	0.236962344120968	0.986218262677145
TCGA.CV.7432.01A.11R.2132.07	0	0	0.000846587031929713	0.0608437781069596	0	0.143579532889159	0.153240020796121	0	0	0	0.0508547366937075	0.00222535862262534	0.00431603108051731	0.18184049082545	0.102279155115903	0.123284781231171	0.0109048341948671	0.0909625969469917	0.0722265561501271	0	0.00259554031447029	0	0.0600000000000001	0.203960799807021	1.00312924731088
TCGA.CQ.A4CD.01A.21R.A24Z.07	0.000103039176735254	0	0	0.0609705265045468	0	0.122863614746319	0.0980260862376474	0	0	0	0.0434764374752723	0	0	0.189968373176808	0.235460564582801	0.0702758899466514	0	0.108902432801681	0	0.0651560677573855	0	0.00479696759415219	0	0.41449444870803	0.920399564701375
TCGA.CQ.7068.01A.11R.2081.07	0	0.0403525332955628	0.00473353443588333	0.247908557847934	0	0.0461386842095508	0.152904630555801	0.0783943084646365	0	0	0.0658905548828929	0.00728733344272596	0.0130093722462567	0.0725207538989652	0.130727116649121	0.0593793084949089	0.0208155032066301	0.00671693074234962	0.0475607479461399	0	0	0.00566012968064177	0.04	0.23325171243864	0.997551801596438
TCGA.CR.7398.01A.11R.2016.07	0.0223018509817049	0	0.00484833988619311	0.044890196363297	0	0.202407954790105	0.0250849277722434	0	0	0	0.0367565434031071	0	0	0.218938968968801	0.0112928202000439	0.14230985994552	0.00811190345279239	0.077190515084708	0.176809500879356	0	0	0.0290566182721293	0.04	0.230976242714275	0.989312570458073
TCGA.CV.6962.01A.11R.1915.07	0.00617074319236066	0	0.00242410762468298	0.0377294229268109	0	0.00979969721105755	0	0.0199163714632092	0.0172788078532041	0	0.0301196068412957	0.0106918324181672	0	0.635292113720192	0.0181621681736735	0.155682951480409	0	0.0213267495768481	0.0315946066947095	0.00283169361597111	0.000979127207408596	0	0.02	0.342751994585031	0.992991715995853
TCGA.CN.6018.01A.11R.1686.07	0.000911404333243899	0	0.00786341173042149	0.0685733987092924	0	0.221642515526446	0.0366259841840659	0	0	0	0.0326466407211461	0.00497207526533044	0	0.261344750215851	0.126119880018236	0.0796925687398213	0	0.0932924359395193	0	0.050376244444731	0	0.0159386901718958	0.24	0.0567302348354069	1.08538640697485
TCGA.CN.A6V6.01A.12R.A34R.07	0.0589682264411818	0	0.0359025637463277	0.287831727037723	0	0.10552436684795	0.13944642197444	0.0699140093739569	0.0259177580780235	0	0.0132916918959895	0	0.0148036144306058	0.0459074598629998	0.0838856344672649	0.063748138458431	0.00917574519386747	0.0279224340531395	0.0177602081380993	0	0	0	0.1	0.145137007972139	1.040591297128
TCGA.F7.7848.01A.11R.2132.07	0.144316217650779	0	0.0692173425910354	0.133405147994109	0	0.203750044584698	0.0350293262100917	0	0.0164169646512988	0.00631317842134195	0.00308484591685789	0	0	0.166748104313999	0.0354040474183003	0.123875240311425	0.00746548368461774	0	0	0.0340613578214473	0	0.020912698429999	0.02	0.28362774466821	0.970044522045071
