B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.KO.8407.01A.11R.2315.07	0.0611842186821398	0	0.00506495424853817	0.162218852920445	0	0.0841267393276199	0.0279026192488014	0.00177278117700516	0.00702786222939653	0	0.0255713007185212	0.00642120158899167	0.0535445950365083	0.0568833012166733	0.0642563179018082	0.254092647157757	0.0406483521901801	0	0.149284256355614	0	0	0	0.08	0.108731505359411	1.03099840584894
TCGA.KM.8439.01A.11R.2315.07	0	0.0146568027970665	0.000880596869309163	0.0114606637132842	0	0.229268702754078	0	0	0.0118846241636213	0.0342968306255156	0.0258737360998755	0	0.248731403090149	0.0301482850180736	0.0635813028356774	0.155835849077632	0.0123218887965762	0	0.138481273417854	0	0.00211641310476244	0.0204616276365247	0.3	0.0357946229717854	1.06406536816605
TCGA.KN.8437.01A.11R.2315.07	0.0227816598131031	0.035749292179394	0	0.0422348315669722	0	0.111591012456255	0	0	0	0	0.0357415193205684	0	0.270293726295768	0	0.00766797554022058	0.279829806483826	0	0.0984172606546537	0.0576690673310775	0	0	0.0380238483581627	0.7	-0.00438989234377389	1.08599354660661
TCGA.KN.8421.01A.11R.2315.07	0	0.0119954300341331	0.00372502474094025	0	0	0.191648925614027	0	0	0.0365367016883778	0.112502748105659	0.104949908073111	0.1869853937131	0	0	0.0174115482291921	0.14827500398159	0	0.0498023036821231	0.136167012137746	0	0	0	0.8	-0.0170572574705952	1.15306855390724
TCGA.KL.8338.01A.11R.2315.07	0.0986046734848394	0	0.00846148541217748	0.0770031094553106	0	0.138319856306247	0	0.0103437226342502	0.0107607355032726	0.00399960895375805	0	0.109560491941646	0	0.135290308178124	0.066630064674753	0.24835068557996	0.0142634956360623	0	0.0784117622395988	0	0	0	0.26	0.0450219776297833	1.06785096922757
TCGA.KM.8441.01A.11R.2315.07	0.00945232395989395	0	0.00217037169112412	0.0658976012005052	0	0.181308044855403	0	0.00528620428890238	0	0.0145466429779515	0	0.0489579888634408	0.170726871418094	0	0.089308048893615	0.176922898372304	0	0.0118898036788456	0	0.178568935564518	0.0444336704535409	0.000530593781861485	0.14	0.0740160369999597	1.06352342381563
TCGA.KL.8331.01A.11R.2315.07	0.123069972398819	0	0	0.0152512245405944	0	0.145849613070955	0	0.0413812940006955	0.0396384288553727	0	0.0600590609333205	0.0362866824259292	0	0.188966764589501	0.0540305916323272	0.159588625387556	0.00574940267093663	0	0.130128339493993	0	0	0	0.2	0.0562890862795875	1.05702773854598
TCGA.KN.8429.01A.11R.2315.07	0.0688942894180021	0	0.0141373648061326	0.0219892284791065	0	0.130502793860216	0	0.00146378914208477	0.00786944806943904	0.053342259818379	0.0654833219100652	0.0350886471230367	0	0.209095002715716	0.0548684600339367	0.225407494366048	0	0.0580432833463482	0.05381461691149	0	0	0	0.38	0.0299468507538316	1.0772145039693
TCGA.KO.8404.01A.11R.2315.07	0	0.0138893583603885	0.000382415915862049	0.00829125120936797	0	0.0312822665783488	0.0158925987498457	0	0.00174066395302697	0	0	0.0116069511924901	0.00617022858714264	0.393818391355234	0.0422774860426095	0.463743773221141	0	0	0.0109046148345434	0	0	0	0	0.551321966493884	0.837825672339797
TCGA.KL.8341.01A.11R.2315.07	0.00906290105208743	0	0.00143215076615433	0	0	0.109560898121437	0	0.0187322882121234	0.0179390103220524	0.0272832054379211	0	0.0299272361039371	0	0.0681024139545359	0.00127111101422918	0.135233757511151	0.130923529313416	0.231415567261457	0.112489524745819	0	0.0428351353961865	0.0637912707874933	0.6	0.00150970548293495	1.08251835360209
TCGA.KL.8328.01A.11R.2315.07	0.0113011638953441	0	0	0	0	0.231920939050985	0	0.0622409017940866	0.00969839433726519	0	0.0291884068792489	0.113555483452312	0	0.111929374233571	0.0344693176750957	0.245251876805263	0	0.0606470312438874	0.0867784395514274	0	0	0.0030186710815139	0.72	-0.00689083986017589	1.09151489063804
TCGA.KN.8431.01A.11R.2315.07	0.00719710344142288	0.0245298307266285	0.0118178545667052	0.141950804143887	0	0.124060349892928	0	0.0205899455284145	0.0254726997774669	0	0.171053015954469	0.0257740660691447	0.0700686070905898	0.00764758196263757	0.0487568106911119	0.287580837176193	0	0	0.0238162282890692	0	0	0.00968426468933121	0.42	0.020792705967655	1.08898300919797
TCGA.KL.8333.01A.11R.2315.07	0.195494408597013	0	0.0256364955895314	0.0964811695741403	0	0.191806739829338	0.01777321166321	0	0	0.0554794881972509	0	0.0305225560385862	0.0274385816237254	0.0582945845220558	0.0572182573190689	0.166942093241487	0	0	0	0.0354697265384094	0.0258929383471667	0.015549748919017	0	0.303502636770058	0.960225114855927
TCGA.KO.8416.01A.11R.2315.07	0.0113266109565931	0	0.00335578521049016	0	0	0.11562136503676	0	0.0098740812301896	0.0309110512523122	0.0309085840106066	0	0.0413975090937721	0	0.361633632361945	0.0182176142652615	0.217862427215102	0.00248599722265945	0	0.15502859883712	0	0.00137674330718754	0	0.14	0.0701889258552038	1.08324058493679
TCGA.KL.8344.01A.11R.2315.07	0.0754000768577573	0	0.0040405075733217	0.0101486439612679	0	0.154981446538591	0	0	0.0462599975825477	0	0.0507777773679905	0.021756785413801	0.1088731054697	0.0653464611934694	0	0.248033610028644	0	0	0.214381588012909	0	0	0	0.5	0.013210524716457	1.06977612162351
TCGA.KO.8414.01A.11R.2315.07	0.0494109541387304	0	0.0146932436442333	0.0475695419232796	0	0.178649434901053	0	0	0.00933590984149484	0.149910434112591	0.0802354760902157	0.111892770315641	0.0115285079266922	0	0.0545142851101091	0.134227610633945	0	0.0534252420829664	0.104606589279048	0	0	0	0.02	0.196351383776788	1.02745443997585
TCGA.KN.8423.01A.11R.2315.07	0.123962362005577	0	0.00445402350615075	0.0500627250993572	0	0.296186672540499	0	0	0.0102917460614692	0.0064886120671481	0	0.0449993786814082	0.118926710163283	0	0.055711726424241	0.220819861202238	0.018154476366868	0	0.045934001828417	0	0	0.00400770405334332	0.28	0.0421419582584484	1.06326776465941
TCGA.KO.8413.01A.11R.2315.07	0.0382551627690462	0	0.0253443108907849	0.101636110282928	0	0.197911171029661	0	0	0.0216151000891176	0	0	0.0427920669322647	0.121504155937697	0.0216104705775305	0.0655661381462267	0.22908701683325	0.00599579240897952	0	0.112341939160503	0	0	0.0163405649420089	0.1	0.102488672429777	1.03495004923935
TCGA.KN.8426.01A.11R.2315.07	0.0477661459800468	0	0	0.0453180147149038	0	0.259202281145857	0	0.0173347486094549	0.000494640696167453	0	0.0967154509312017	0.0108108549918144	0.0297861318247476	0.0206259006980985	0.0572446554642811	0.279267832094513	0.0421722482860078	0.0146546601609971	0.0512526289198037	0	0.0192084610049643	0.00814534447714109	0.2	0.0564969983910673	1.05678687290477
TCGA.KN.8424.01A.11R.2315.07	0.00693079772578392	0	0.00379545664567889	0.0285495337593724	0	0.215957176554511	0.00389904209501796	0	0.0267986948926119	0	0	0.044103459875551	0.0379555289698353	0.0981291125506579	0.0547827547382277	0.25029658665421	0.0108648045090745	0	0.193281384910961	0	0.0105663087432014	0.0140893573753062	0.08	0.111458641167781	1.0355116039822
TCGA.KL.8335.01A.11R.2315.07	0.0331411114947024	0	0	0.0906342592094434	0	0.355839515558721	0	0.0145464263622136	0	0.027769410779109	0.0244249317183201	0.0664532729175193	0.0475176233800346	0	0	0.167164427395532	0	0.112321986264229	0.0594094979299572	0	0	0.000777536990218027	0.72	-0.00604682197957202	1.10102095816721
TCGA.KL.8336.01A.11R.2315.07	0.0535528966086807	0	0	0.0566035703715119	0	0.19911934627697	0	0.00726090523729598	0.0424663231901365	0.0207082065134412	0	0.0436070710090932	0.0732711609080648	0	0.0866288984512875	0.261624801572107	0.0307656848598637	0.0664856435825531	0.0571656616914931	0	0	0.000739829727502031	0.3	0.035560151478158	1.06581274061482
TCGA.KL.8324.01A.11R.2315.07	0.00944560395682826	0	0.00365312138413856	0	0	0.21405197793508	0.0028682897397106	0	0.0169793612881563	0.00213188261343347	0.0953852876910957	0	0.0701172933518839	0.07663587276179	0.0559789205857068	0.135769614543943	0	0	0.307622603993263	0	0.0093601701549709	0	0.26	0.0496589903949754	1.06509772598315
TCGA.KL.8343.01A.11R.2315.07	3.32793128631239e-05	0	0.00459961173927635	0	0	0.147652512707259	0	0.00459344983312247	0.0121755889455734	0	0.0374088296696121	0.0110439519880607	0.0972053718483903	0.221627294041078	0.0407819882519518	0.121731703154625	0.00125591411114667	0	0.294003650680953	0	0.00588685371608856	0	0.6	-0.000750310080347624	1.09284948941185
TCGA.KO.8405.01A.11R.2315.07	0.03701568069752	0	0	0.0865952980413706	0	0.0815768417585905	0.026245518644031	0	0.0367575361169387	0	0	0.0216381602353281	0.054562016834613	0.0589683848411787	0.0291930155640335	0.534022942597768	0.00532371068672081	0.00432950334325377	0.00844823482273416	0	0	0.0153231558159189	0	0.426125556029692	0.905476883039863
TCGA.KL.8345.01A.11R.2315.07	0.0418991345246136	0	0	0	0	0.133288279512315	0	0	0.00106889408095337	0.00529321061081058	0	0.0642715114155472	0.0553241080283779	0.0771176979928428	0.0288725357151905	0.377892883806445	0	0.0241977234633685	0.176686224473661	0	0.0110291345427579	0.00305866183311744	0.64	-0.00309281125539177	1.08613624808895
TCGA.KN.8428.01A.11R.2315.07	0.134563901992666	0	0.0706669240104357	0.0882366496099521	0	0.242079382812752	0.00712188252647554	0.0277981317771316	0.0482536101485362	0	0	0.0385906014577541	0.00962968954307145	0.0832042254300967	0.116045130502902	0.0647072140391465	0.00450028416856098	0	0.0646023719805187	0	0	0	0	0.256922821718352	0.984648710396312
TCGA.KL.8342.01A.11R.2315.07	0.0250987009647482	0	0.00130656324241774	0.0573387735165616	0	0.160303674926164	0	0.0105229893204639	0.00850667412949512	0.0518309459394274	0.050020006518169	0.0527758917498973	0.00499947645760481	0.0385266665320385	0.117815519944406	0.296333387935021	0.0204141226492338	0	0.104206606174353	0	0	0	0.02	0.151406411319611	1.02741875890841
TCGA.KL.8329.01A.11R.2315.07	0.00374939441747684	0	0.0011392584047458	0.112428749181998	0	0.121130975687176	0	0	0.0199849959256689	0	0	0.058497386603224	0.0223400936514667	0.121993503382883	0.0658197786426684	0.251070810806733	0.0469053250732813	0	0.17487704787417	0	6.26803485090955e-05	0	0.14	0.0787450118712811	1.05125884427625
TCGA.KO.8417.01A.11R.2315.07	0.0826245812306886	0	0	0.0571432364187974	0	0.160442122758199	0	0	0.0158569758800233	0.0049573555872818	0.10216017881205	0.0296190663897417	0.033381456912197	0	0.0793217780425404	0.275500839761187	0	0	0.138982709211991	0	0.0183365704481636	0.00167312854713801	0.62	-0.00109350711022857	1.07803649227532
TCGA.KM.8438.01A.11R.2315.07	0	0	0.00098346589216607	0	0	0.23846713393301	0	0.00957304845319376	0.00231657310482539	0.0575273133934672	0.0369770191539279	0	0.055113082524022	0.0251054016639961	0.0662846474059725	0.224457238013889	0	0.0333348874728818	0.213533595434133	0	0.00766638238277164	0.0286602111717438	0.5	0.0137167905502644	1.0719851924163
