B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.BP.4994.01A.01R.1334.07	0.037280246239155	0	0.0111557274140726	0.208778132926838	0	0.196760457800174	0	0.021875333074461	0	0.00637986846433319	0	0.0963995805932904	0.0766658423296157	0.029472162366897	0.0742318463366958	0.184221018119653	0	0	0	0.0412022481172089	0	0.0155775362176052	0.22	0.0966511919701427	1.05987263636707
TCGA.AK.3455.01A.01R.0864.07	0.0533935288232208	0	0.075892528518362	0.568100037477717	0	0	0	0.0345625204506438	0	0.126605422137702	0	0.0574468483578724	0	0.00307431469643445	0.0560057531361569	0.0220289621683391	0.00289008423355125	0	0	0	0	0	0	0.469999608503402	0.900879952268622
TCGA.CZ.5464.01A.01R.1503.07	0.00497187568391335	0	0.013149888265237	0.204104335777717	0	0.139625324265837	0	0.0398721849660627	0.0431983209187791	0.0689210521806291	0	0.0674733811493138	0.0529850503514684	0.0468137629358434	0.0807567007737577	0.179342115245868	0.00362110412421003	0	0.0551649033613632	0	0	0	0	0.298386631432069	0.967870485621268
TCGA.B0.5088.01A.01R.1334.07	0.0787874884032879	0	0.00612418628789567	0.16578033586637	0	0.199702727065048	0	0.0149217080936243	0.0247646133834504	0	0	0.060891302235237	0	0.0954116635447033	0.0537942954902017	0.27106921048512	0.00850644324813248	0	0.0202460258969295	0	0	0	0	0.356284648197937	0.937578529989697
TCGA.A3.A6NJ.01A.12R.A33J.07	0.0222960708574375	0	0.00557280624835977	0.492106992536381	0	0.086538944915004	0.0106393181687731	0.0136991645864972	0.0405940870115846	0.00371651475901963	0	0.0406523061051542	0.0377493390824782	0	0.098297407426283	0.10992268505898	0.0101985276900783	0	0.027502007492288	0	0	0.000513828061680702	0	0.372077350700211	0.945136022030288
TCGA.B0.4847.01A.01R.1277.07	0.0793232355003415	0	0.0272939655214229	0.42166251322591	0	0.10747328190892	0.0142209615073804	0.0346221946865186	0.0625327864772821	0.00966498632424627	0	0.0495105620505343	0.0362090604330868	0	0.0668872452180214	0.0655308188015618	0.014348648788659	0	0	0	0.00771328961338807	0.00300644994272647	0	0.435609653456227	0.906684531802294
TCGA.B0.5695.01A.11R.1541.07	0.114699439420881	0	0.0129855375237806	0.269715947409088	0	0.0806592014100308	0.00733546506914789	0	0.0157569563084889	0.0130432239165774	0	0.0879645241658088	0.0656408118091068	0.0372615474746932	0.0416162466630517	0.128012861917816	0	0	0.12530823691153	0	0	0	0.36	0.0573964320012865	1.06821919047757
TCGA.A3.3346.01A.01R.1766.07	0.00934500561562239	0	0.00538724734632258	0.0573524570453926	0	0.275341329881698	0.0254808623344837	0	0.015828660839067	0	0	0.0279234896789271	0.0411064125035013	0.115248528745141	0.0565611169033723	0.283488367813774	0.000998174562683834	0	0.0194275498311673	0	0	0.0665107968988466	0	0.341759712262447	0.943619210352216
TCGA.BP.4325.01A.02R.1289.07	0.0240758916909352	0	0.00517811411555624	0.503498773069614	0	0.0221385764869148	0.00672022624989375	0.0259186235111782	0.00794456025963804	0.0079037102291744	0	0.0754039156041522	0.021634953796826	0	0.0844124153895731	0.172653428926586	0.0156572022964342	0	0.0140340566467808	0	0.00375613739493904	0.00906941433180322	0	0.327652142511894	0.968424214332181
TCGA.CZ.4863.01A.01R.1503.07	0.0090214105599524	0	0.007245350298309	0.56257833720262	0	0.00676483737826995	0.0150988397277091	0.0252184917117528	0.0110336387006337	0.0906919276399023	0	0.0407834028055384	0	0	0.067262427550699	0.0841148895465808	0.0173759034325981	0	0.0619598255774193	0	0.000850717868015638	0	0	0.411220753847459	0.930112702836185
