B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.Q2.A5QZ.01A.11R.A28H.07	0.00612089700299657	0.0171423082390218	0.00407836461228446	0.0683118287193624	0	0.103867283386061	0	0	0.0043058898886025	0.00540386978190239	0	0.0368272262398164	0.0095237472379053	0	0.0203666935981578	0.516033505075165	0	0.0278672319297689	0.180151154288956	0	0	0	0.02	0.265696804529856	0.980488901335482
TCGA.IA.A83W.01A.11R.A355.07	0	0.0254677826641896	0.0282937863020232	0.17186894602696	0	0.144330295044982	0	0	0.0229702262411792	0	0	0.0368904934957308	0.0102182578933425	0.105162935195309	0.0047670307327788	0.324791894989565	0	7.88120130166846e-05	0.123307542244163	0	0	0.00185199715676059	0.1	0.171967563009431	1.01567481168749
TCGA.A4.7915.01A.11R.2204.07	0.0749905696571613	0	0.00449618715529915	0.303316261732782	0	0.0800636918192491	0.142857611113728	0	0.0271533629180102	0	0.0124577014060781	0	0.010621943802936	0.0375007840162425	0.0855105509962548	0.106052108974765	0	0	0.114979226407494	0	0	0	0.12	0.148347500278611	1.02898276104466
TCGA.A4.8311.01A.11R.2404.07	0.0194772174234436	0	0.0199505521459191	0.0610199021480578	0	0.369955537168428	0	0	0	0	0.0139541393542786	0.0336614252611113	0.0162566480430726	0.033543924552072	0.000760540493939773	0.307124703115287	0	0.00887365043560338	0.103379853285131	0	0	0.0120419065736558	0.34	0.0516884308908056	1.066854713361
TCGA.2Z.A9JG.01A.11R.A42S.07	0.0500117093366757	0	0.0100273487675376	0.117166061800029	0	0.305491998606129	0.00787943915207951	0.0148791876526563	0	0.0103855164661036	0	0.0184546615597917	0.00212460564830089	0.0400620670820557	0.0564899213790284	0.323751810885835	0	0	0.0401413589856968	0	0	0.00313431267808186	0.12	0.167351771051234	1.0218418263033
TCGA.5P.A9JZ.01A.11R.A42S.07	0	0.0110243668796874	0.00227648245818794	0.0671750073940356	0	0.100887430208832	0	0	0.0241877643265235	0	0	0.0360675410560536	0.0163890322628955	0.197856816603805	0.00553926310725251	0.510804206326067	0	0	0.0277920893766601	0	0	0	0.04	0.224054948993283	1.01788789181182
TCGA.A4.A5XZ.01A.11R.A31O.07	0.00142779076372753	0.0131395143784499	0	0.0576446633087277	0	0.124167121227202	0	0	0	0.00630588293284736	0	0.00360234391450484	0.00225741955748827	0.026513916785611	0.00812968028699019	0.702118606033116	0	0	0.0533613007970639	0	0	0.00133176001427161	0	0.354350458488348	0.952257506378667
TCGA.KV.A6GE.01A.11R.A31O.07	0.0169590462576175	0.0255887502132521	0.0222134402914415	0.0869914470013024	0	0.251603997096307	0.0125493012894261	0	0.0146885580509264	0	0	0.0695899557581985	0.0126525061214951	0	7.75297435071291e-05	0.249173157891794	0	0.0139770644526652	0.217835206225307	0	0	0.00610003960676056	0.02	0.320791253101801	0.951447715488543
TCGA.UZ.A9PP.01A.11R.A42S.07	0.0136613489875947	0.00492253196504149	0	0.0805923152516725	0	0.255951082282281	0	0	0.0164416867603848	0	0	0.0543680327887335	0.00908976720711688	0.075084828944787	0.00703408436259177	0.293291953008523	0	0.00731005155959135	0.163968552422942	0	0.0182837644587401	0	0.22	0.0828387758393522	1.05132036380366
TCGA.2Z.A9JI.01A.11R.A42S.07	0.0522699612381919	0	0.146838185221155	0.125281144053886	0	0.16346308085803	0	0.0111334726503337	0.024179232100535	0	0	0.0460219114946015	0.0755443219717112	0.00699092498767677	0.0339786866275744	0.228639495204593	0.00287068288374134	0	0.0482359281962797	0	0	0.0345529725116908	0	0.325268708638643	0.949720887618519
TCGA.B1.A47N.01A.11R.A24Z.07	0.0151668293338601	0	0.0109557706305764	0.124193017072338	0	0.459944327817506	0	0.00427710194017075	0.0809375646715074	0	0	0.0581256462869577	0.0252247713738796	0.00346393417855935	0.00408204558021163	0.186521734151382	0	0	0.0180219524644974	0.00908530449855264	0	0	0.12	0.160438248426347	1.05377513285986
TCGA.DW.7839.01A.11R.2139.07	0.0408298893248769	0	0.0129019745299659	0.149490439073357	0	0.353152599103893	0	0.0036297740161249	0.0475069328479	0	0	0.0276167106214455	0	0.093754779860183	0.0232826723673298	0.025943891810153	0	0.00278042661559445	0.219109909829176	0	0	0	0.3	0.0587284760694367	1.08274372496487
TCGA.2Z.A9J9.01A.11R.A42S.07	0	0.00589437790875717	0.00662574192240088	0.095362362148284	0	0.319948476141773	0	0	0.00824930935237655	0	0.056130020038123	0.0682540388101794	0.0428812666459608	0	7.18991895398329e-05	0.211906159266667	0	0.0407475599238755	0.142221093047343	0	0	0.00170769560472025	0.3	0.0606431403355858	1.06796582911931
