B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.AB.2867.03A.01T.0734.13	0.139559590986866	0	0.00799653728115233	0.136693875432148	0	0.236009861574648	0.0261771840522534	0	0.00257923225047289	0	0.0746429666683655	0	0.208933280337995	0.0109082599765239	0	0.000311212669181439	0	0.00201299085204608	0.0768949420448309	0	0.0547514144203026	0.0225286514532143	0	0.417342490797997	0.908182509400575
TCGA.AB.2952.03B.01T.0760.13	0.142797492377753	0	0.035586201326042	0.080247597008497	0	0.117710566053153	0.00785454095684773	0	0.0135444411109954	0	0.0699853748188518	0	0.407839933735187	0	0	0.0210951357087737	0	0	0.0104770144238803	0.00788447717698918	0.0849772253030297	0	0	0.431384821729102	0.901915934335767
TCGA.AB.2936.03A.01T.0740.13	0.283426487577349	0	0.0931098290011005	0.0995957293287041	0	0.27836369476341	0.0144755551665116	0	0.00363425458259056	0	0.085713873042051	0	0.0927014125187044	0.00146539636594766	0	0.00952306678496047	0	0.00173796492084974	0.0277056215660288	0	0.00830849647739708	0.000238617904394626	0	0.448592050228794	0.896715254565808
TCGA.AB.2914.03A.01T.0734.13	0.0616839578000162	0.0172704582233679	0.0142446545923152	0.0230305516626561	0	0.101512646961798	0.0153391384830833	0	0	0.008263578309885	0.0321872671125638	0	0.489101392545848	0	0	0.0200277131546186	0	0	0.200982701007009	0	0.0163559401468386	0	0	0.365931134542918	0.937145997861436
TCGA.AB.2811.03B.01T.0760.13	0.0530601650832273	0.0702861452806292	0.00856634320573756	0.0270931475860959	0.0106473518168373	0.0394211742418709	0.0210686105815269	0	0	0	0.105058420833025	0	0.411728007791637	0	0	0.0509375981610658	0	0	0.0844887093409837	0	0.117644326077363	0	0	0.185250028308327	1.01617994748976
TCGA.AB.2998.03A.01T.0735.13	0.0579278112892422	0	0	0.0119486667585959	0	0.101753369440804	0	0.00324281955074714	0	0	0.0766369760036514	0	0.281006335734624	0	0	0.121954811522626	0	0	0.190378128562188	0	0.155151081137521	0	0	0.179742855105755	1.01147488768808
TCGA.AB.2870.03A.01T.0735.13	0.0410463118420701	0.00818301506274121	0.0234084578905724	0.0199073096103935	0	0.0699913123380603	0	0	0	0	0.0478184343219361	0	0.428868834237284	0	5.2752262804993e-06	0.0652659918717477	0.0131316049658541	0	0.241690484273942	0	0.0406829683591175	0	0	0.362922589195302	0.937278927628419
TCGA.AB.2900.03A.01T.0735.13	0.0293133598104567	0	0	0.0364175771299763	0	0.0223728862008633	0	0	0	0	0.0325580585386627	0	0.305958576878448	0	0	0.100022135380277	0	0	0.192104258894231	0	0.281253147167085	0	0	0.328085668090695	0.954876327620434
TCGA.AB.2943.03A.01T.0740.13	0.183483490624361	0	0.0819696263217545	0.0530639240324388	0	0.364098852105474	0.0100888028072143	0	4.88298980660176e-05	0	0.130321100869347	0	0.0741184442524511	0	0	0	0	0.00129058561420014	0.04308876426046	0	0.0584275792142324	0	0	0.519217819715567	0.854222283857307
TCGA.AB.2882.03A.01T.0740.13	0	0.00595547100937716	0.012012573141422	0.0652912665878457	0	0.186618718385641	0.0344265993469004	0	0.0242549364409547	0	0.277259137054885	0	0.168611134533184	0.00247802590707249	0.000587927601919254	0	0	0.000632395826062463	0.0849041401830372	0	0.136967673981698	0	0	0.260523853790511	0.991539972545349
TCGA.AB.2814.03A.01T.0734.13	0.140308358549882	0.0422419260347757	0.0187634047394739	0.146660300608905	0	0.140451061150518	0	0	0.000804004661719055	0	0	0.0522052991096937	0.122540303673227	0.0817964301420049	0.00205816291386993	0.022942484434472	0	0	0.0515512243195093	0	0.128392202952489	0.0492848367094605	0	0.202948717409493	1.00234379430253
TCGA.AB.2990.03B.01T.0748.13	0.127889810676868	0	0.175163386165447	0.0982403999623128	0	0.118506178144549	0.0180782994549281	0	0	0	0.0579618555173299	0	0.148596745237351	0	0	0.00554627913362091	0	0	0.132240826699658	0.000190585883480101	0.117585633124456	0	0	0.389127775424322	0.92324246280004
TCGA.AB.2982.03B.01T.0748.13	0.213346673148048	0	0.127848109291382	0.14662984528977	0	0.112113913362814	0.0380800478649355	0.00546254186611747	0	0.0052860226073396	0.0317452289404777	0	0.0707106356914135	0	0	0	0	0.0183472875366761	0.137307199772061	0.0164637667283838	0.076658727900582	0	0	0.160985977478652	1.03491735050118
TCGA.AB.2892.03A.01T.0734.13	0.0316757900630241	0.00371418878432087	0	0	0	0.0724335628944763	0.0180313603548984	0	0.0169388598053859	0	0.0350966388428192	0	0.538195838342499	0	0	0.0687088481286005	0.00736211828948652	0	0.149880855420401	0	0.0579619390740889	0	0	0.33461812377477	0.957300804222424
