B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.DU.6392.01A.11R.1708.07	0.0067138270234589	0	0.00652018929740531	0	0	0.120424595607636	0	0.0149569504811563	0.0139138208816799	0	0.0117772393622318	0.0716588099395447	0	0.321807616898843	0.0132923779144792	0.316821597330813	0	0	0	0.0745772000930629	0	0.0275357751696894	0.04	0.173838420462625	1.04597455965842
TCGA.QH.A6X5.01A.12R.A32Q.07	0	0.0348632606884008	0.0062480074211525	0	0.0721551520142214	0	0.0177534982543373	0	0.0144603623344476	0	0.0947185811453215	0	0.278624464260524	0	0	0.206004465355031	0	0.0227481547882958	0.189779988155636	0	0.0495687038284838	0.0130753617541483	0.28	0.0511718480826479	1.06082439022508
TCGA.HT.7874.01A.11R.2403.07	0	0.00212968414433128	0	0.0431608027548383	0	0.0726008792590138	0	0.0175357706496605	0	0	0	0	0.321453414971797	0.0696930104243523	0.0178480809432359	0.0805593640622195	0	0	0.24145871201422	0	0	0.133560280776332	0.26	0.0570343319757506	1.08748219461031
TCGA.TM.A84M.01A.11R.A36H.07	0	0	0	0.00258142127044581	0	0.0287693231989418	0	0.0731060370066448	0	0	0	0.0465827010023242	0	0	0	0.445770352184215	0	0	0	0.267138619793585	0.136051545543843	0	0.42	0.0289921177281122	1.11998691346748
TCGA.QH.A6X9.01A.12R.A32Q.07	0.0208065895836644	0	0	0	0	0.0739013306266651	0	0	0	0	0.00355420663618123	0.0465010401984252	0.499179882503156	0	0	0.239531741697669	0	0	0	0.108762367433965	0.00776284132027493	0	0.24	0.0726547743035803	1.09635534229305
TCGA.DB.5280.01A.01R.1470.07	0	0.035049757673177	0	0	0	0.0762550361588339	0	0	0	0	0.0390600076803076	0.0051926225939527	0.400931373595692	0	0.0404709664186919	0.328695415077134	0	0	0.0715030859658383	0	0	0.00284173483637295	0.1	0.132344686623281	1.05144803286752
TCGA.S9.A7IS.01A.11R.A34F.07	0.00216566883691027	0.00252296616743335	0	0.0298030022758516	0	0.355343412501626	0	0.0741659448422874	0	0	0	0.0533379279996665	0.129211977605179	0.0697902395432024	0	0.200538742678025	0	0	0.0716962676386807	0	0.00367085849427057	0.00775299141686633	0.4	0.0340187159310606	1.07708634331451
TCGA.P5.A5F4.01A.11R.A28M.07	0.00926278023382232	0.00648863467553493	0	0.115723934226065	0	0.0261319294653962	0	0.0192984719028164	0	0	0	0.0919106583607531	0.259857763848552	0	0.0408379679688513	0.191666460978765	0	0	0	0.235576271011011	0.00324512732843298	0	0.56	0.0156486982268873	1.10873928007489
TCGA.TM.A7C5.01A.11R.A32Q.07	0	0.00450246705101437	0	0.0694705697327975	0	0.00383155851167528	0	0.0571336378556756	0	0	0.00302318022817083	0.0445545519015637	0.0649308800576872	0.0361080505784262	0.0319296410712815	0.451688176417158	0	0	0	0.12360007032035	0.108309918311273	0.000917297962927246	0.24	0.0682735217649142	1.07531222450887
TCGA.HT.7616.01A.11R.2256.07	0.0245128508055948	0	0.0624754403465155	0.0412344605674282	0	0.173602158825491	0.0917120801077108	0	0	0.00124002064297655	0.0140055816848527	0	0.14648756956455	0	0.0900513016662786	0.316982405128014	0	0	0.0376961306605868	0	0	0	0.04	0.169808046629253	1.01036196328925
TCGA.DU.7294.01A.11R.2027.07	0	0.00299752163963263	0	0	0.082272655770101	0.0276633109120978	0	0	0	0	0.0195440165768514	0.0413494138319463	0.315915727756273	0	0.0113560194301402	0.329860011938401	0	0	0.118203963637424	0	0	0.0508373585071327	0.3	0.0474811935841078	1.0825682539955
TCGA.TM.A84L.01A.11R.A36H.07	0.00101965102219264	0.00133859971990957	0.0034793279842449	0	0	0.137256549270862	0	0	0.0150117059474751	0	0	0.0710450424293312	0.460191239595229	0	0.00340180353106178	0.132499390735157	0	0	0	0.1623611631779	0.0123955265866366	0	0.02	0.252765169174526	0.999593061056821
