B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.99.8033.01A.11R.2241.07	0.0180552727525661	0	0.0295969569383278	0.225241049369984	0	0	0.164495305662287	0.0671631866236639	0	0	0	0.0892035386247218	0.00849162273483469	0.115643966720515	0.0795721750153903	0.0675274990853329	0.00230040191089211	0.0892721402025491	0.0308671869241221	0	0	0.0125696974348121	0	0.200245419348923	1.01020225547316
TCGA.49.6745.01A.11R.1858.07	0	0.00178175777476193	0.00201188867086901	0.145766127627743	0	0.130550702208366	0.0655423674264096	0.0305132770917268	0.0138158486945734	0	0.00998766095914207	0	0.0894180914136634	0.087455815686807	0.11712532846469	0.116778919722556	0.0677150404933206	0.0546827660367489	0.0663372308252695	0	0	0.00051717690335199	0	0.253796179262554	0.979152082628248
TCGA.49.6767.01A.11R.1858.07	0.00503108141699778	0	0.00312585635120166	0.156094998917379	0	0.0952917822939285	0.0971976790999418	0.0156936294905428	0.0253603669790755	0	0.0255926707300618	0	0	0.355336779471376	0.0855084871297681	0.106443618828141	0.00964927634429297	0	0.0196737729472923	0	0	0	0	0.385147255954937	0.927440850508784
TCGA.05.4382.01A.01R.1206.07	0.0249372946236289	0	0.0788638704606026	0.0500278517303585	0	0.159916871079048	0.0561581312047003	0	0.0110972211867576	0	0.00148506217114298	0.00305929251964659	0	0.193895722075929	0.0569266731936114	0.309726911537788	0.00505595209138322	0	0.0230489744733278	0	0	0.0258001716520754	0.02	0.17977958518631	1.01602621986858
TCGA.05.5429.01A.01R.1628.07	0.188280989686996	0	0.197738130200587	0.0246483399715616	0	0.209737950554264	0	0.00682709284567089	0.0131658634517362	0.00802814175277952	0	0.0245392705213444	0.00278402152611617	0.0605607890174627	0.0275787622772969	0.130562494049374	0.0361971962920398	0.00369940691755524	0.0493311068948911	0	0	0.0163204440403241	0	0.494964429872652	0.868144938216045
TCGA.38.A44F.01A.11R.A24H.07	0.00996581327246133	0.0859898929264525	0.0375374552119595	0.0742419669490123	0	0.189458673892533	0.000546828941951433	0.0465988200068636	0.0470585915772929	0	0	0.0362002298674226	0.0109171404242677	0.0596735890792844	0.110984443837584	0.101728936337305	0.0841340887285165	0.00845030107068122	0.0912818073125588	0	0	0.00523142056385369	0	0.220682942733569	0.991245401665689
TCGA.44.8117.01A.11R.2241.07	0.0848678666895053	0	0.0623107507269273	0.0613692487282335	0	0.105217773680926	0.0485354810722238	0.0323035449882394	0.0247568838405399	0	0.0082737807786772	0	0	0.291781819162505	0.0686446253717894	0.153017799908716	0	0	0.0578547453059434	0	0	0.00106567974577316	0	0.360059044732985	0.93557183855637
TCGA.71.6725.01A.11R.1858.07	0	0.0612380797863409	0.0702203408774332	0	0	0.0288455802353985	0	0.0282909819361167	0	0.00429934367712499	0	0.00937733295791669	0.106288626581015	0.0514510655411676	0.0180625664442679	0.314554085123807	0.0775743398427003	0.11794670076407	0.0359113436547876	0	0.0604684123027784	0.0154712002750748	0	0.248456472367792	0.983296420108725
TCGA.78.7542.01A.21R.2066.07	0.0822080147606203	0	0.047787711112376	0.0996421856323364	0	0.0736799413562554	0.0688747387314011	0.0440592919461533	0.0448585156182368	0	0.0255498251021008	0.0078119592535135	0.00284466807178368	0.0860361936886595	0.157553475173199	0.0677003333226965	0.0584998471387366	0.0920554738491687	0.0408378252427629	0	0	0	0	0.208539629438397	1.00524670257831
TCGA.55.8203.01A.11R.2241.07	0.0292373461180172	0.0445930574534623	0.287734619797217	0.106371556870626	0	0.0279998757459885	0.0683488420960442	0.0368828378543126	0.0486229539179974	0	0	0	0	0.139149512627831	0.0759816245773822	0.0653365007855938	0.0254893255052107	0.00106466708124326	0.0350275499781488	0	0	0.00815972959092516	0	0.497077565613484	0.86782036956652
