B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.85.A4JB.01A.51R.A262.07	0.177296236065522	0	0.101452493827724	0.00853369661890572	0	0.221748614428004	0	0.0489213426763217	0	0	0	0.0481941353773224	0	0.199621234389183	0.116020766119749	0.0235290476365804	0	0	0	0.042921635828167	0	0.0117607970325203	0	0.369353997086138	0.93433440506181
TCGA.NC.A5HP.01A.11R.A26W.07	0.00470338417144178	0.0073313853584186	0.00439582164594088	0.0303241290355976	0	0.0832292804225992	0	0.0722490631969517	0.00241300652296552	0	0	0.0175236356584436	0	0.556261976994397	0.0366798096146264	0.118864740189855	0	0.0111074244817687	0.0549163427069937	0	0	0	0	0.21153984954977	1.04789785860609
TCGA.56.7582.01A.11R.2045.07	0.0413292072703112	0	0.00252928235199597	0.0959704585438357	0	0.0351695821150477	0.038644124251103	0.0545278381184127	0.0211495132454203	0	0.018229953747501	0	0	0.266261488959699	0.114920278039414	0.175718842757483	0.0613953862537247	0	0.0731100271007608	0	0	0.00104401724529155	0	0.381955128981056	0.925774034905914
TCGA.98.A53D.01A.32R.A262.07	0.11133321765159	0.0433365753330714	0.053446948352851	0.0683424981582957	0	0.16184777162732	0.0212793352374878	0	0.0193555617160911	0	0	0	0.00806585559418278	0.25121777717073	0.0249841812661415	0.13909785151523	0	0.0131197178845352	0.0596212349089852	0.00780993007397457	0	0.0171415435095136	0	0.376098503641484	0.92758071745769
TCGA.63.A5MN.01A.22R.A27Q.07	0.0180220470311833	0	0.128519546959749	0.143645084986811	0	0.197400062259744	0.0759489200117425	0.0253675433137014	0.0320214900932262	0	0.00740821010997952	0	0.0045332234358095	0.051873391267925	0.118013937691023	0.0640558564570796	0.0761542357760063	0.00924408395316394	0.0370985361288276	0	0	0.0106938305240287	0	0.274839353369716	0.973860350083969
TCGA.58.8386.01A.11R.2296.07	0.0267612046717449	0	0.0017914932404597	0.0695277372128542	0	0.114060322153027	0.0045286038061849	0.0179523507808051	0	0	0	0.0171387014351888	0.00259988304918601	0.168677521000968	0.0804739658248389	0.322515283274463	0.0221201564798676	0	0.0816365713594039	0	0	0.0702162057110081	0	0.226143995936991	0.997696371736026
TCGA.66.2773.01A.01R.1201.07	0.0258467237539149	0	0.00576708386503219	0.106161922821937	0	0.183186743203528	0.0403297310495042	0.0443991637347279	0.0136273555937137	0	0	0	0.0501256259891966	0.0890154837924673	0.116736279449211	0.135335254365055	0.0710304839109842	0.00777865002389185	0.0706926863135765	0	0.0171241882438049	0.0228426238894555	0.08	0.0977120669795347	1.03993605621417
TCGA.63.5131.01A.01R.1443.07	0.0804114502807836	0	0.0181203602544877	0.0842231916338677	0	0.135098076274643	0.00627754456262987	0.0639442777358884	0	0	0	0.0388595558896855	0.0102373783392864	0.039395800070336	0.00495449566914665	0.0828454803752633	0.00762088529523634	0.233277350936184	0.0633248582775435	0	0	0.131409294405018	0	0.179219810373596	1.01306940932208
TCGA.18.3408.01A.01R.0980.07	0.0576275120095428	0	0.0122076025660584	0.0591750743731645	0	0.187225432527487	0.0939203330905599	0	0	0.0207971146739608	0.0224519438285321	0	0	0.00282486779434886	0.059015801342366	0.23775407745329	0.132462220278239	0.0312200887742756	0.0587717540442601	0	0.0141999553120462	0.0103462219318678	0.08	0.110366696038011	1.0272141640797
TCGA.39.5029.01A.01R.1443.07	0.175373254325329	0	0.179795142891303	0.0600968874024578	0	0.0434531011967389	0.032419173535258	0.0179216774652958	0.023407896537267	0	0	0.0409573888172851	0	0.170459269359161	0.11578820354928	0.0687205853118177	0.00173278664078944	0	0.0698746329680168	0	0	0	0	0.458804917719519	0.888630724256935
TCGA.37.4135.01A.01R.1100.07	0.0476976307582253	0	0.0563277291980767	0.140603222467616	0	0	0.112984145607559	0.0281826838477429	0	0.0186757420737452	0	0	0	0.0405775219754251	0.153296086525935	0.244421416689551	0.113631026282862	0	0.0370475135370649	0	0	0.00655528103619676	0	0.195012584111139	1.00468709334794
TCGA.85.8052.01A.11R.2247.07	0.00704486759696669	0.0188599534197279	0.0126052252784962	0.057864302755695	0	0.0785093445603088	0.0438566602380685	0.028436225169009	0.0144471118379194	0	0	0.00777102740945856	0	0.43138110423662	0.0182848171016924	0.206169400667161	0.0223511140850167	0.00443952137978987	0.0452102418568382	0	0.002769082407232	0	0	0.180110405162968	1.04302193072815
TCGA.56.6546.01A.11R.1820.07	0.0639697093104557	0	0.0853604860529708	0.138507177205052	0	0.0849148949163879	0.0823800745152491	0.0447000994837121	0.0104412648431451	0	0.0235838075709376	0.00294262421103319	0	0.243378619425344	0.0953608930217625	0.0752628058437615	0.0122851970076282	0	0.033769048320558	0	0	0.00314329827200259	0	0.236458037390967	0.989823438384037
TCGA.77.6844.01A.11R.1949.07	0.133681300292723	0	0.0778662229137527	0.153288504012109	0	0.104809248349601	0.0406298449562354	0.0330233511521577	0.0296318891755857	0	0.0220785857862495	0	0.0142937219885322	0.0267581295638302	0.104893214445554	0.074657349118095	0.0866699023241171	0.00317577044701976	0.0808701119725114	0	0	0.0136728535019265	0	0.363450066214905	0.932027400900632
TCGA.39.5021.01A.01R.1443.07	0.0416047976951099	0	0.0989697466053454	0.151397132694443	0	0.162599597933509	0.0880441188940868	0	0.0013717686526496	0	0	0	0.000136120276190684	0.201363288091591	0.0879071196137736	0.0992277093408871	0.028252946500338	0.00774638240965308	0.0313792712924235	0	0	0	0	0.275027870457603	0.972119960678065
TCGA.77.8130.01A.11R.2247.07	0	0.00313076072405358	0.0708720122660707	0.023761541691581	0	0.106328816250821	0.0151288237874025	0.0190100430219735	0.0127295206869965	0	0.00705494831532515	0.00824581907404153	0	0.440812382671452	0.0647039884223068	0.14854773266242	0.0543558392808021	0.00852546434518172	0.0122649941026675	0.00439339154167436	0	0.000133921155230025	0	0.215861284433867	1.02569910517246
TCGA.43.7657.01A.31R.2125.07	0.0667758690208098	0	0.122955150243038	0.03479354722582	0	0.0234050930383093	0.0348259282537092	0.0342058134663876	0	0	0	0.0124863521941767	0	0.38228131376036	0.0445501780774051	0.129595936893921	0.0586672204204914	0	0.0554575974055721	0	0	0	0	0.323912831412231	0.961456976524835
TCGA.98.8020.01A.11R.2247.07	0	0	0.0361941093630428	0.0991231515134069	0	0.157133910501638	0.0988989913845455	0	0	0	0.0407221668747237	0	0	0.271630320774004	0.132990457613339	0.119383569460403	0.0113787349722236	0.00617506883494308	0.0199342199824293	0	0	0.00643529872530105	0	0.195120559116333	1.01488220689013
