B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.3U.A98D.01A.12R.A40A.07	0	0.00643633945995863	0	0.0874073018136852	0	0.156124639097795	0	0.0304953012904429	0.0131334654226239	0	0	0.0348706409177746	0	0.269712467352846	0.0906434187697975	0.234249048867249	0	0	0	0.0722860628928529	0	0.00464131411497487	0.02	0.284575555630225	0.978613349609555
TCGA.UD.AAC5.01A.11R.A40A.07	0.0283924406094296	0	0.00277765757324168	0.123364402280055	0	0.154793852424442	0	0.0495550698043958	0.0154922380102436	0	0	0.0612723246086017	0.13161001692647	0	0.0700470758079724	0.212896748171505	0.0251727780600541	0	0	0.0277791573742978	0.0968462383492905	0	0.08	0.143812523904094	1.02470843668542
TCGA.ZN.A9VU.01A.11R.A40A.07	0.0163196220598913	0	0.0108413462005004	0.096835983789606	0	0.219688351167082	0	0.0242756580981823	0.0153432535898374	0.00786790061958587	0	0.0815802006836295	0.14173292746058	0	0.0191061330626265	0.193641189892146	0	0.100475755242731	0	0.0601625266294875	0.012129151504115	0	0.12	0.109291678162952	1.04168386225886
TCGA.UT.A97Y.01A.21R.A40A.07	0.0453807030028611	0	0.00106532069310589	0.0927032479669038	0	0.198105166085077	0	0.0437787208834299	0.0125868550789588	0	0	0.0761717550112211	0.0920902788362412	0.0462251040275735	0.0699966941370953	0.282380874898455	0.0110942920419701	0	0	0.00843550241044467	0.0199854849266626	0	0.1	0.134768782068086	1.03260978569264
TCGA.UD.AAC4.01A.11R.A40A.07	0.0284486487594534	0	0.000961545270613846	0.0766296394425568	0	0.173947016593848	0.00186412665725472	0.0241435787815582	0.0127620013737147	0	0	0.0343561378219723	0.156195922903315	0.0896478389576309	0.0480909345315585	0.302130504859	0	0	0.0410230855775139	0	0	0.0097990184700099	0.14	0.0921583375266424	1.0477343473278
TCGA.UD.AAC6.01A.11R.A40A.07	0.0587334699431657	0	0.0311441328735476	0.0812943151484667	0	0.10533061978665	0	0.0390044145028767	0	0.0101596352632897	0	0.0348655887871232	0.170688940522855	0.105857189937568	0.0338436579818539	0.273053653446544	0.0120904175339645	0	0.000724236917884017	0	0.0432097273542111	0	0.02	0.249465369196559	0.981647036084628
TCGA.LK.A4O2.01A.11R.A34F.07	0.00336102476912728	0.0198875892644608	0	0.034814330882807	0	0.140484212127968	0	0	0.0112198899103916	0	0	0.0717051983816466	0.233350543827842	0	0.0142397086531816	0.369754206227565	0.00328631068934062	0	0.0934030431269541	0	0	0.00449394213871571	0.04	0.222288486517479	0.996991213630828
TCGA.UT.A88C.01B.11R.A40A.07	0.0561451916327648	0.027824727819325	0	0.0860564989278188	0	0.192259145726479	0	0.0302673787461131	0.0763180278754384	0.0122197933929759	0.0180783114361237	0.0491272550043258	0.0944059485905742	0	0.0699421750680558	0.198514904743627	0.00568760884879093	0	0.0831530321875877	0	0	0	0.1	0.136909754247822	1.02730993789824
TCGA.ZN.A9VW.01A.11R.A40A.07	0.000163834904345974	0	0.000783894700457742	0.215331640431618	0	0.142841323008842	0.0145561018433609	0.0335378618128772	0.0419705720967076	0	0	0.00381058915869849	0.0547267839494039	0.0659374231579875	0.114729899944754	0.291812443692023	0	0	0.0197976312989243	0	0	0	0	0.366180560594314	0.934027964136746
TCGA.SH.A9CU.01A.11R.A40A.07	0.0371742662893062	0	0	0.0629983220111622	0	0.132083899450054	0	0.0483820133299825	0	0	0	0.0902919544181891	0.132215779503115	0.00136264772151549	0.0208801889449897	0.39119469507097	0	0	0.0630441126489338	0	0.0203721206117813	0	0.32	0.0325221691158902	1.07258548398173
TCGA.TS.A8AS.01A.21R.A40A.07	0.183038264563841	0	0.0341015106157175	0.139594028502629	0	0.0278352631706119	0.102054777234418	0.00735653920380138	0	0.00734311691812246	0	0.0537076081372514	0.0210019615701572	0	0.129134383720852	0.144448489752453	0	0.0922680899727493	0.0341748517423364	0	0	0.0239411148950586	0.02	0.271814918380662	0.977809473979793
TCGA.MQ.A6BN.01A.12R.A34F.07	0.00201982788701027	0.01143739159797	0	0.101487139737012	0	0.181687275882979	0.00291125142465739	0.0192330413324614	0.0195635710230378	0	0	0.0669572246412409	0.0921866650700468	0.0882250470866246	0.0277788234028115	0.294038897781596	0	0.0496625294359954	0.0428113136965573	0	0	0	0.04	0.197389122180755	1.00500644812713
TCGA.SH.A9CT.01A.11R.A40A.07	0.0498832631377719	0	0	0.0635783392989314	0	0.143132265263955	0.00306330598829069	0	0.00335866814503195	0	0	0.0768942759609936	0.0380503405375141	0.15981214452228	0.0446199822800394	0.352550140595333	0	0	0.0217236974560608	0	0	0.0433335768137984	0.08	0.140203707992656	1.03752508392488
