B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.13.1501.01A.01R.1565.13	0.11451498091567	0	0.0368869073891136	0.0541431431099179	0	0.252778543099655	0	0.0255346047703523	0.051737074816629	0	0	0.0269161897739363	0.0210994382638162	0.201547133874795	0.0533452341857564	0.117441075334475	0.00531299554135624	0.0200785940580124	0.0186640848665151	0	0	0	0.04	0.195087242139751	1.0083723738896
TCGA.04.1350.01A.01R.1565.13	0	0.00924986535075694	0	0.210853457251621	0	0.0503624720858056	0.00124515277601153	0.0573933865498225	0.0087577569472696	0.0164971698887301	0	0.0359360281247615	0	0.306632771650928	0.0287183243995903	0	0.00119575217612261	0	0.2601065280076	0	0	0.0130513347909805	0.36	0.0178700936433088	1.09710169794148
TCGA.13.0726.01A.01R.1564.13	0	0.0329788688260321	0	0.0306363833319811	0	0.374647504392217	0	0	0.0401970166539285	0	0	0.112137660422776	0	0.041463897083436	0.0593000474017283	0.167676793736296	0	0.0749921937097894	0.0631394651833904	0	0	0.00283016925842502	0.1	0.0830252836253926	1.06448734315188
TCGA.24.0970.01B.01R.1565.13	0.116742556181621	0	0	0.0202339892888562	0	0.176406325379243	0	0.0141493144019145	0.0516516528309638	0	0	0.0448016585120311	0	0.310721555442629	0.00697985626406258	0.21227543757876	0	0.0460376541199195	0	0	0	0	0.08	0.114607341662988	1.05585284330638
TCGA.09.1668.01B.01R.1566.13	0.0955369054467901	0	0.00750207345181652	0.0172920010546739	0	0.217319239182845	0.0689325721830863	0.0737029968894426	0.014606731205835	0	0	0.0369563077953037	0.000979107871997198	0.16435323770214	0.0587905084797229	0.0798508836427041	0	0.122897275938795	0	0.0382697968579834	0.000716654428245398	0.0022937078686197	0.08	0.121444467102292	1.03829910187029
TCGA.13.1477.01A.01R.1565.13	0	0.106484193104147	0	0.0308993466533418	0	0.187165139884502	0	0	0.019729304843107	0	0	0.100906833290718	0.000761424932890537	0.22577091398084	0.145266678504093	0.149352488020324	0.0252944566429376	0	0.00836922014310039	0	0	0	0.3	0.0331428593863683	1.09041719488973
TCGA.24.2026.01A.01R.1567.13	0.0291696405311272	0.0281630028890784	0.0451673049489585	0.0907412194276529	0	0.126821465475141	0.0221069351154832	0.0551152724971742	0.0468685660563032	0	0.0235928296969539	0.0363977524898831	0.0128348103726125	0.186129228295135	0.114747519465686	0.173467813911022	0	0	0	0	0	0.00867663882778959	0.0600000000000001	0.162657576168148	1.02426099579277
TCGA.13.0920.01A.01R.1564.13	0	0.110485497715849	0.0656895433192096	0.149668238660556	0	0.205766733258195	0.0797516077094737	0.0520018204899395	0	0	0	0.0297763087812849	0.00867413916498653	0.0280956808863002	0.0949613086415094	0.0762597142053057	0	0.0763856688679891	0.0148989461114464	0	0.00758479218795472	0	0.02	0.233289875438643	0.99615478228288
TCGA.30.1714.01A.02R.1567.13	0.080945798216465	0	0	0.00342606217908582	0	0.231674586150731	0	0.0619797112890024	0	0	0	0.113607057544726	0.0577914291450377	0.094272457366666	0.0163416719325666	0.283643293592566	0	0.0537623029090574	0	0.00224770259226917	0.000307927081826382	0	0.08	0.114856256877652	1.04170908874195
TCGA.24.1425.01A.02R.1566.13	0.0903441908244815	0	0	0.021625528782669	0	0.188201333179943	0.0131274118203955	0.0208609549182773	0.0442866099973911	0	0.0283117881659863	0	0	0.299285991360812	0.0721364381656023	0.181249557888767	0	0.012950089800386	0.0171816959896443	0	0	0.0104384091056442	0.0600000000000001	0.164178188660663	1.02918368159786
