B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.2J.AABR.01A.11R.A41B.07	0.0623772120301855	0	0.00335260260254806	0.209439759767547	0	0.262247931373212	0.0607922122665792	0	0.0154412997662021	0	0	0.0287336408837174	0.036109498485011	0.0855697696139284	0.0406705580337003	0.0982098206705369	0.0139347830582613	0.0223672841758454	0.0475568508931666	0	0	0.0131967763795582	0.08	0.192192151541951	1.01265289358514
TCGA.IB.7645.01A.22R.2204.07	0.0566452270976889	0	0	0.125981637950518	0	0.228620500209605	0.0555931134643372	0	0.0160509836885717	0	0	0	0.0246245687297172	0.139775015919928	0.0537874377675134	0.179365445069164	0.0783016825164928	0	0.0289984206611922	0	0	0.0122559669252713	0.08	0.167085170984738	1.0151403103354
TCGA.IB.7649.01A.11R.2156.07	0.0242547838667632	0	0.059912774454838	0.0829937390205264	0	0.154380451586044	0.0188842457292278	0	0.0274880087472037	0	0	0.0232158781727021	0.148125613784594	0.0879783697441998	0.0266077185072934	0.0336914832740883	0.142619048061789	0.00704818896193705	0.162799696088794	0	0	0	0.08	0.178051386437692	1.00108014671184
TCGA.FB.AAQ1.01A.12R.A41B.07	0.0028055681596776	0.0140164058156591	0	0.0639737469395628	0	0.143342521126399	0.000927965108824741	0	0.026916916966492	0	0	0.0132016971488529	0.0497982994717939	0.32917845670395	0.0152580541175432	0.186375925963174	0.0691426344319565	0.0119365661784659	0.0731252418676489	0	0	0	0.0600000000000001	0.27015509869923	0.983777042195817
TCGA.US.A77G.01A.11R.A32O.07	0.007214862612035	0.0455395214444159	0	0.0568762026724331	0	0.304182718100026	0	0	0.0251126954821104	0	0	0.0248452122252972	0.0251512358601319	0.0961897427843305	0.0485838046134311	0.17000159635399	0.0712585555107603	0.0369895041915595	0.0880543481494792	0	0	0	0.16	0.0879777798326183	1.04362056101935
TCGA.HZ.7289.01A.11R.2156.07	0	0.00882198295777334	0	0.00933684508374229	0	0.27780946946737	0	0	0.0508037725793581	0.00780586858441561	0	0.177250910028348	0	0.215533699916684	0.00519764074769361	0.0982941769871828	0	0.0116472913051418	0.135728116450286	0	0	0.0017702258920046	0.38	0.0281873296645452	1.09608856554801
TCGA.HZ.7919.01A.11R.2156.07	0.0527671967605351	0	0.0239317470758319	0.0785328382419194	0	0.305542507736994	0.0299206419223421	0	0.0124034164512917	0	0	0.0162515932418746	0.00973214935543082	0.0334834907509433	0.0988450353071806	0.151782281686023	0.083884387908185	0	0.102922713561448	0	0	0	0.1	0.12433790841193	1.03011108429893
TCGA.IB.7889.01A.11R.2156.07	0.0477812590179169	0.0482514822146267	0.0316238749835511	0.139492992238497	0	0.139147869132195	0.0185941160605615	0	0.0144947628308366	0	0	0.0104336966340095	0.0412851921818593	0.221644700078522	0.0410963306575625	0.105336040746644	0.0662105839383094	0.00142556816510958	0.0680358835868566	0	0	0.00514564753294294	0.02	0.370749873011965	0.928799506379136
TCGA.XD.AAUI.01A.42R.A41B.07	0.3096831537714	0	0.0165767821875939	0.0682324519226425	0	0.101570751613413	0	0.00292945793518032	0.0501616359791719	0.0146712991066504	0	0	0	0.254984635218433	0.00196548280735935	0.127613442442612	0.0020124912880581	0.029235306510467	0.0203631092170189	0	0	0	0.02	0.368490813938676	0.936533727878088
TCGA.3A.A9I9.01A.11R.A38C.07	0.0398715293577789	0	0.00675858191243851	0.120934270098183	0	0.111766992823327	0	0	0.0161204182111101	0	0	0.0440923465650089	0.0232950065884235	0.217229099823211	0.0395571291797557	0.209912248547237	0.0780150802472323	0	0.0692462922731924	0	0	0.0232010043731015	0.08	0.210275913821517	1.00063810197973
