B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.WB.A80K.01A.11R.A35L.07	0.143462556126747	0	0	0.118948935887651	0	0.284862001244679	0	0.0280356511033006	0	0.0101399454791676	0	0.0602409635702632	0.0355720123051086	0	0.10149709007413	0.167276538727939	0.042540043069914	0	0.00742426241110012	0	0	0	0.08	0.0810602159275429	1.0642845962618
TCGA.QR.A70N.01A.12R.A35K.07	0.0517506015164544	0	0.0197026620508995	0.201872200115283	0	0.0896202287068764	0	0.013531350192432	0.0168631515279486	0	0	0.0865962460206373	0.0257887545445464	0	0.041050337781245	0.360984285615265	0	0	0.08829510949977	0	0	0.00394507242864202	0.0600000000000001	0.0864207086612566	1.05205610705424
TCGA.QR.A6GW.01A.11R.A35K.07	0.0234395077972055	0	0	0.0655532124592273	0	0.145143557708133	0	0	0.0107679792014188	0	0	0.0707710507560991	0.171503769091307	0	0.0341515503861862	0.285541643435541	0	0.0288208385914964	0.0556852123809655	0	0.10862167819242	0	0.42	0.021500851305311	1.0696649386927
TCGA.W2.A7H5.01B.11R.A35L.07	0.0253076253578069	0	0.000991871447434599	0.0646266751564778	0	0.267784548772452	0	0	0.0378492215048118	0	0	0.15225130004084	0.0166943642192564	0.0263704861705656	0.0274846009377628	0.234875482283392	0.00189140270045887	0	0.143872421408742	0	0	0	0.6	-0.000589504296514536	1.09711828322679
TCGA.WB.A818.01A.11R.A35L.07	0.0342712691621989	0	0	0.144227999698249	0	0.143212042668036	0	0.0209922241354827	0	0	0	0.0554120143083566	0.191122817349032	0	0.0684574322844953	0.280127159923442	0.0289226541720257	0.00117632667234761	0.0248603686432224	0.00721769098311142	0	0	0.3	0.0372761417931679	1.06966842946151
TCGA.QR.A7IP.01A.11R.A35K.07	0	0	0	0.0114532585443381	0	0.30618864513417	0	0.0637209872299465	0	0	0	0.123452362749855	0.034251291126578	0	0	0.362448030268427	0	0	0.0981380721395301	0	0.0003473528071558	0	0.7	-0.0186741535755334	1.10439233405425
TCGA.QR.A70G.01B.11R.A35K.07	0.0985828684537626	0	0.0182011279535887	0.192188671796998	0	0.165032698386742	0	0.038316888284595	0.000578690718708464	0	0	0.0446420201608152	0.0830768396512995	0.0145821380833715	0.0696912183613358	0.269199861691635	0	0	0	0.00210524399891496	0.00380173245823272	0	0.0600000000000001	0.093370669208677	1.05148007894842
TCGA.RX.A8JQ.01A.11R.A35L.07	0.150379417804574	0	0.0178853682842627	0.13221134938512	0	0.209083390586292	0	0	0.00518554435294293	0	0	0.0421745383802188	0.0211338328620716	0	0.0507185348140912	0.3327131534307	0	0.00556978190190843	0.0297563474146636	0	0	0.00318874078315546	0.44	0.0194383924875121	1.07941300818294
TCGA.QR.A707.01A.11R.A35K.07	0	0.00194665501719082	0.00739224999404359	0.057155891045414	0	0.381341182308427	0	0	0.0126158387441856	0	0	0.0773242063810732	0.0713698391823361	0	0.0211900398142353	0.263785004450853	0	0.0034878309430714	0.101770823837549	0	0.000620438281620692	0	0.42	0.0219750836849273	1.08258325649031
TCGA.SP.A6QJ.01A.11R.A35L.07	0.0237317782962938	0	0.00408143090146216	0.024384478670867	0	0.318267951987876	0	0	0.035800381188625	0	0	0.0816812399028828	0.0124215040419264	0	0.0516037503533909	0.348649276592089	0.00748315995904256	0.0122089537830053	0.0764598913990494	0	0	0.00322620292348937	0.22	0.0565630292109543	1.06545508692041
TCGA.QT.A5XO.01A.11R.A35K.07	0.0269420780401034	0	0	0.050490061787063	0	0.213356636758061	0	0.0145543265117473	0	0	0	0.0888706078289546	0.0400576596900894	0	0	0.49086746884921	0	0.068873814317085	0	0.00598734621768647	0	0	0.38	0.0260794984717489	1.08920897425657
TCGA.QR.A6H1.01A.11R.A35K.07	0.0132714669848279	0.00540954368826397	0.0112347920758995	0.13007249207365	0	0.331703893436361	0	0.0376336924611558	0	0	0	0.053395127749745	0.0549371337021678	0.0499162422841273	0.0461981591283024	0.125276195985813	0	0.0171959145838771	0.104137308551694	0	0.0163927026958901	0.00322533459822473	0.26	0.0460925231889831	1.07352340609115
TCGA.S7.A7WR.01A.11R.A35L.07	0.0983497774924391	0	0.0617860008875328	0.117292263479189	0	0.143516678271815	0	0	0.0151280379869614	0	0	0.109269007452035	0.0864983738550304	0	0.0239652134335487	0.157679236869132	0.0403435912278235	0	0	0.138167785917168	0.00800403312732536	0	0.02	0.133131101052822	1.03637420658586
TCGA.SP.A6QC.01A.11R.A35L.07	0.0617608342862204	0.0104122508831104	0.0902873819555077	0.182625926595424	0	0.138051485680236	0	0.00603016010735817	0.0338303966403706	0	0	0.049661134732395	0.0844509650444225	0	0.0337446970123362	0.277931360502733	0	0.00143006642592924	0.0232928554938776	0	0	0.00649048464007926	0	0.33668103019561	0.944769754911756
TCGA.S7.A7WU.01A.11R.A35L.07	0.104416885188492	0	0.0193288427547763	0.0827748501271265	0	0.128952733055078	0	0.00778991152577721	0	0	0	0.0596743244360193	0.125570479581592	0	0.014579585612214	0.351884592701628	0	0	0.0745046933502182	0	0.0299464816808939	0.000576619986184409	0.64	-0.00811014468089281	1.08036664621328
TCGA.RW.A686.06A.11R.A35K.07	0.0963320078323548	0	0.0143826209655221	0.186444279244604	0	0.157638551899256	0.0374433021724841	0.0080409496207805	0	0	0.183045198856537	0.081290027486882	0.0345654525820271	0	0.00577685870946967	0.111689726098813	0	0.0109191087142589	0.0724319158170113	0	0	0	0.58	0.00247560948807348	1.12672845919973
TCGA.WB.A80Q.01A.11R.A35L.07	0.0979935322023873	0	0.0208138175373333	0.147733085673084	0	0.0390289039738808	0.0263682076802554	0	0	0	0.0843649496605297	0.0243505651243831	0.0746419402391606	0	0.00118465829453024	0.388674792765855	0	0	0.0948455468486005	0	0	0	0.56	0.00655487175479586	1.07891330851362
TCGA.SR.A6MX.06A.11R.A35L.07	0.0127037581377132	0	0	0.0523400959655062	0	0.19558061393651	0	0.0433215359062373	0.00661685021447132	0	0	0.116614942293082	0.0839667834239097	0	0.025459663356117	0.365347357584661	0	0	0.09735699669438	0	0	0.000691402487412592	0.5	0.010899565060347	1.08363302116273
TCGA.WB.A81A.01A.11R.A35L.07	0	0	0.0126352573793635	0.0852174845000911	0	0.330621883725178	0	0.00133144312118215	0.0171057694790896	0	0	0.0512753269897864	0.126806562384254	0.144812031978058	0.0224810556592485	0.0085617541322828	0	0	0.199151430651465	0	0	0	0.44	0.0197099128834222	1.08177599688537
TCGA.WB.A821.01A.11R.A35L.07	0	0	0	0.0652862329384159	0	0.0998761036178162	0	0	0.0136536407071144	0	0	0.0841198875263145	0.156636749217255	0.00595797395002852	0.0093046158463166	0.333837421041795	0	0.0525564223866266	0.0265288415202907	0.0853139248113213	0.00571254992249319	0.0612156365142123	0.44	0.0163945201511218	1.08622819382238
TCGA.QR.A6GS.01A.11R.A35K.07	0.0397655202376214	0	0.00209746853256299	0.084988230624992	0	0.194564282369904	0.045598986045611	0	0.0338399974746971	0	0	0.039989285310574	0.0229784158386627	0.011010047485152	0.08827537595796	0.315899730417511	0.0174567389957327	0	0.103535920709019	0	0	0	0.24	0.0481460442673989	1.06030936687742
TCGA.QR.A6H6.01A.11R.A35K.07	0	0	0.00214255437963448	0.0797470666185027	0	0.226716496572582	0	0	0.0124877089294115	0	0.0246090704759215	0.146520376912573	0.0259997031465315	0	0.0163412636007858	0.268585513324118	0	0.00636666356967964	0.190483582470261	0	0	0	0.32	0.0332909151577924	1.08486783416621
TCGA.SQ.A6I6.01A.11R.A35L.07	0.0325903601773191	0	0	0.0249072865819172	0	0.248115444050606	0	0.0176645764909258	0	0	0	0.101567801298315	0.0839238247881604	0	0.00260656195594045	0.483408600223105	0	0	0	0	0	0.00521554443371038	0.58	0.00253536684023112	1.10202051743599
TCGA.WB.A81V.01A.11R.A35L.07	0.00852340124647431	0	0	0.230599648617925	0	0.0713129104271394	0	0	0	0	0.108790130977741	0.107799087618537	0.270167638393277	0	0.0116758930214509	0.190207050939264	0	0.000924238758191374	0	0	0	0	0.44	0.0200942184313093	1.11231901968354
TCGA.W2.A7HB.01A.11R.A35L.07	0.00165165850773303	0	0	0.00560083016432719	0	0.330420292036114	0	0.0389588903306706	0	0	0	0.0661869761493862	0.0558177548415199	0	0.0258536772477493	0.445094997430705	0	0.00555557890450054	0.0189837858235161	0	0.00587555856377799	0	0.5	0.0117563823239862	1.09356244639728
TCGA.S7.A7WQ.01A.12R.A35L.07	0.118799319223983	0	0.0147527425449412	0.084767274866273	0	0.12004418934089	0.00414787304680032	0	0.0308652484844272	0.0167128374311222	0	0.0566530593108451	0.0248442575574211	0.0527387930448643	0.0482878290161428	0.415874607029852	0	0	0.00532464094067821	0	0.0061873281617589	0	0	0.390118836226984	0.921237929477517
TCGA.WB.A817.01A.11R.A35L.07	0.0858853443208102	0	0.0151446616133301	0.0829267303099286	0	0.235943526287618	0	0	0	0	0	0.0933755319809171	0.0778492430252999	0	0.0233003778342293	0.302064152064754	0	0.00562592250633926	0.0442618953546212	0	0.0059287539631197	0.0276938607390334	0.32	0.0318535096088107	1.07042209312699
TCGA.RW.A681.01A.11R.A35K.07	0.0394054198038841	0	0.0209155026276085	0.102802118068182	0	0.288857736783244	0	0.0295050622963515	0	0	0.0400225941440579	0.0243195512303125	0.0275269877785297	0.0190650982973168	0	0.298551139988229	0	0.0550389295363984	0.0539898594458849	0	0	0	0.44	0.0160168933236734	1.07926942324946
