B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.HC.7740.01B.04R.2302.07	0.107343393059547	0	0.0107925894206656	0.0654325448615879	0	0.471592467247001	0	0	0	0	0	0.0529280305902248	0.0891017332119698	0	0.0470202200011941	0.117774464943059	0	0	0	0.0283428455290576	0.0040661864259465	0.00560552470974631	0.26	0.0696140316273906	1.07647609604176
TCGA.EJ.A46I.01A.12R.A26U.07	0.0941901346073058	0	0.10119763936403	0.128252991832301	0	0.313584824373102	0.0156374049154783	0.0120296542554818	0.0278823855786437	0	0.0175966557807269	0	0.0102357238224389	0	0.0665219599689354	0.0564755902611485	0.0734526470152316	0	0.0829423882251753	0	0	0	0.12	0.103167099434012	1.05304518789433
TCGA.G9.6363.01A.21R.1789.07	0.0795924606378967	0	0.0194255720672852	0.0813665847368164	0	0.36079690352849	0.0156315210074954	0.0424867602728324	0	0.0128165128670889	0	0.023275416318935	0	0.0311393533323205	0.120080432130667	0.087725674982184	0.0309059210303875	0	0.0947568870876007	0	0	0	0.7	-0.000726403546957732	1.09799312048062
TCGA.CH.5740.01A.11R.1580.07	0.144298987477572	0	0.0498532161186374	0.12180526932875	0	0.198761698171993	0.00629873311387522	0.0634652323073977	0.00906767727914673	0	0	0.0253246197842914	0.00656178573500399	0.0121431305995453	0.146408514188427	0.0661118066629761	0.0438308716661306	0	0.106068457566253	0	0	0	0.14	0.0899722561731722	1.05878260474969
TCGA.EJ.A46F.01A.31R.A250.07	0.0624571709744437	0	0.0348738270274024	0.0757892280020743	0	0.193520613367381	0	0.057970282589647	0.00947102875175233	0.00646286284446174	0	0.0807026385086571	0.00488129221960612	0.113216191132583	0.0668063145706068	0.12189311401968	0	0	0.171955435991705	0	0	0	0.86	-0.0239706922240918	1.08964417064793
TCGA.HC.7817.01B.11R.A29R.07	0.0144640822874422	0	0.0303785226673289	0.110840606624447	0	0.253644307692842	0.028786516096254	0.0144606960378005	0.00089697028943788	0	0	0.0329667537638867	0.0269307818659201	0.0958758174500794	0.0501019841038689	0.127033795578917	0.0888759207852384	0.00724292948529331	0.110875991237038	0	0	0.00662432403420525	0.0600000000000001	0.171367633685707	1.00926023388176
TCGA.YL.A8HK.01A.11R.A36G.07	0.140086027906714	0	0.0590274602480547	0.0918368889846862	0	0.198364900403748	0.0042186112316771	0.0462698101057837	0	0	0	0.0331422335864347	0.00492824262029241	0.129303131214457	0.0543208677851468	0.0821677519023532	0.0391058357701969	0	0.117228238240455	0	0	0	0.04	0.236964246161615	0.98567872624047
TCGA.EJ.7793.01A.31R.2263.07	0	0.00386012113250419	0	0.0617363331980006	0	0.301140314718757	0	0	0	0	0	0.0511733541038639	0.00722721875329778	0.20983531920783	0.0711736952893699	0.055528207150921	0.00835264439971825	0	0.229972792045737	0	0	0	0.56	0.0176761493164005	1.08617916697783
TCGA.CH.5750.01A.11R.1580.07	0.185578176227962	0	0.0585859285985285	0.165562917029254	0	0.21105049019682	0.021001873851846	0.074895638528302	0.0359749989950188	0	0	0	0.000595558836551453	0.128988129985965	0.0644093524835498	0.044905354566017	0	0	0	0.00845158070018572	0	0	0	0.326218873256726	0.957701404586356
TCGA.V1.A9OF.01A.11R.A41O.07	0.0739931270923638	0	0.0155139495464234	0.132847564424507	0	0.210614019514518	0.00638317243412521	0.00809926441858299	0	0	0	0.013267760196528	0.0149270830301786	0	0.0717472298884601	0.208544187977822	0.0239498577804313	0	0.220112783696058	0	0	0	0.72	-0.00449298605187745	1.07999372413506
TCGA.V1.A9OY.01A.11R.A41O.07	0.0763023504295425	0	0.159992100121998	0.180702265984164	0	0.234526269082939	0	0.00509716431314338	0	0	0	0.0213675651324129	0.00216097182751325	0.0707829184632685	0.063251815028721	0.0931150618834774	0.0321152170551734	0	0.0605863006776476	0	0	0	0.0600000000000001	0.203331722710929	1.01178909542148
TCGA.YL.A8HJ.01A.11R.A36G.07	0.143252959819743	0	0.0178366022582666	0.0952664470292518	0	0.22015002402373	0	0.00580996911240053	0.0129441800728482	0	0	0.0422256589762134	0.0127097671359693	0.202353764028689	0.0444022833395846	0.0504461271264662	0	0	0.152602217076838	0	0	0	0.18	0.0858866279983293	1.05003869635129
TCGA.TP.A8TV.01A.11R.A41O.07	0.0241367662656382	0	0.0231648989907925	0.155717997996407	0	0.191329302753315	0.0147010816221164	0.0423258973137511	0	0	0	0.0812262909699676	0.00899959125135308	0.0835228235895681	0.0552377573994651	0.183894518322636	0.0196559079457601	0	0.116087165579231	0	0	0	0.94	-0.0464270409870539	1.1024954991758
TCGA.G9.6364.01A.21R.1789.07	0.0963656122355567	0	0.0630962323896503	0.0710075013404304	0	0.204329980595561	0	0.00487313441099784	0.00315276760791134	0	0	0.0349447226524266	0	0.195139299535997	0.0977826238722153	0.0627671974722683	0.04088626933981	0	0.125654658547175	0	0	0	0.1	0.116365142778253	1.0356206696554
TCGA.VN.A88N.01A.11R.A36G.07	0.0347536003118204	0	0.0195324976739355	0.0820922266287116	0	0.228419238998552	0	0.0195847734743552	0	0.0152904500447306	0	0.0752436836695932	0.00999237575650964	0.0887602132116532	0.0970858893831075	0.0849517967349976	0	0	0.244293254112033	0	0	0	0.68	0.00165202881984366	1.08859657539023
TCGA.KK.A8IL.01A.11R.A36G.07	0.157028112622977	0	0.0670391830974022	0.120731430297225	0	0.17862621462079	0.0168143517267799	0.0171741110720297	0.00743010369489999	0	0	0.0556069378927176	0.0234427239396577	0.0408611947462677	0.123341624078491	0.0817866324781136	0.0150187341235682	0	0.0909123350225037	0	0.00418631058657682	0	0.02	0.300217939453015	0.963361610522391
TCGA.KK.A8IM.01A.11R.A36G.07	0.0385081054374731	0	0.00554863538868213	0.171175159935138	0	0.300590337918425	0.00765887929388889	0.0462326980787112	0.0326287258653934	0	0	0.0289347437502461	0.0131627831424373	0.0216459325042863	0.102209548943033	0.0988557823079169	0.0480900967297416	0.0195090011462057	0.0652495695584214	0	0	0	0.32	0.0599068503456942	1.0788497249387
TCGA.G9.6498.01A.12R.A311.07	0.0714730770639466	0.0671495284077769	0.0247160592149329	0.172468791241041	0	0.193880011842066	0.0189292989237267	0.0114637364122812	0.109262129556916	0	0	0.0446216835667652	0	0.0337034585917338	0.0324283873372868	0.0954452283163969	0	0.037068835650696	0.0873897738744338	0	0	0	0.02	0.276067275981498	0.976594244061276
TCGA.QU.A6IN.01A.11R.A31N.07	0.137712228849124	0	0.187119826478305	0.166484564390992	0	0.199161378631584	0	0.027029495506849	0.00247964807763602	0	0	0.0288390978018817	0.00446988037588649	0.142504714369953	0.00398746980786745	0.0482766824146292	0	0	0.0519350132952933	0	0	0	0.38	0.0511021922502307	1.09758455118081
TCGA.KC.A7F6.01A.11R.A33R.07	0.114015894517449	0	0.04143994936272	0.174556057694038	0	0.173996580417466	0	0.0419022799820234	0.0255539318348739	0	0	0.0424912001238041	0.0105051025324405	0.0847879481502101	0.0454095102408037	0.0726535354946609	0.0232091513419617	0	0.149478858307548	0	0	0	0.34	0.0577807573748906	1.0624261140691
TCGA.YL.A8SH.01B.11R.A37L.07	0.0139099039960058	0	0	0.123792053117588	0	0.300542291402573	0	0	0	0	0	0.057701178447609	0.030635013283151	0.0714302568569192	0.113888645549493	0.128166795925634	0.0145527356766162	0	0.139866828592496	0	0.00551429715191513	0	0.76	-0.00983945518737869	1.09612992980994
TCGA.HC.7745.01A.11R.2118.07	0.0598913234106365	0	0.00696280738707221	0.103358517913897	0	0.27125821099343	0.00199580983148644	0.0159393524168214	0	0	0	0.0712687943892976	0.0303457480520878	0.0580426615628579	0.13203172408457	0.039145290271017	0.0421887912120438	0	0.153688894695524	0	0.0138820737792587	0	0.08	0.149776472310333	1.02950179689242
TCGA.EJ.8472.01A.11R.2403.07	0.0191828888826137	0	0.00353231089811129	0.0108556114002162	0	0.181568077799928	0	0.0510387912861423	0.00164013754687837	0.0193007591430611	0	0.0833699344162588	0.00517946152789394	0.122005505896713	0.0865545518990066	0.258750605435414	0.0446620405481966	0.00840143003258087	0.0990864217239787	0	0.00487147156300609	0	0.48	0.0264725599601913	1.07319773150917
TCGA.VP.A875.01A.31R.A352.07	0	0.0354066651231801	0.018550620831922	0.0875488648189834	0	0.232947815480664	0	0.0850297980994229	0	0	0	0.0848920755555121	0.036575363480516	0.113343560877926	0.0800330831504624	0.0258999949702168	0.0634105555361887	0	0.133534124727534	0	0.00282747734747204	0	0.9	-0.036450363187598	1.09865522965879
TCGA.VP.AA1N.01A.31R.A41O.07	0.0510868318363821	0	0.0014197350394369	0.11333604463347	0	0.301541112542563	0.0144017052712128	0.0263077907447165	0.00434986852456915	0	0	0.025213809115562	0.0062362085182429	0.101908469326091	0.0658582589699693	0.170288837857393	0.0217093093052981	0	0	0.0835939155028816	0.0127481028122113	0	0.44	0.033802980739192	1.07814621496444
TCGA.EJ.5502.01A.01R.1580.07	0.0711975404474237	0	0.0841351865511983	0.0821408728262246	0	0.24987670347256	0.0148026943935789	0.0180339034367914	0.0815596417382482	0	0	0.0340635446992894	0.0765445448037582	0.0699252783923709	0.0432695035801707	0.0499025255471606	0.0242544262573705	0.00795608717049776	0.0874070578189302	0	0	0.00493048886442627	0.14	0.0947000248589806	1.04508893325905
TCGA.CH.5738.01A.11R.1580.07	0.0962715600393159	0	0.0327886617884511	0.0661818452197606	0	0.122283122127499	0.0171839888766856	0.0297759529171867	0.0226537145795761	0	0	0.0277248525703536	0.0799015754783846	0.128380442381481	0.0345377904824066	0.175373131449368	0.0507283800717222	0	0.0637756465669405	0.00638977273906016	0.0308680683550711	0.0151814943567366	0.1	0.116641061182174	1.02668248405105
