B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.AG.3887.01A.01R.1119.07	0.0780700823701873	0	0.00557421094063024	0.237144719255269	0	0.135871346139826	0.126800745354254	0.0082702331980888	0.0230959919980769	0	0.00549524254128716	0.0490923328427345	0.0160437928531417	0.146871327010718	0.0953292910234731	0.0498605485892417	0.0219938455986712	0	0.000486290284401428	0	0	0	0.02	0.167808758994396	1.02815004861774
TCGA.EI.6509.01A.11R.1736.07	0.0010015014884654	0.0149446108019929	0.00076883197459623	0.0203087386591615	0.0154915475731567	0.0119450470443459	0	0	0.00364643936630978	0	0.0207156634367867	0	0	0.796158937455312	0.0100177624786747	0.0511028859675257	0.0057417635770837	0	0	0.0481562701765892	0	0	0	0.697472369853759	0.721260240896639
TCGA.DY.A1DE.01A.11R.A155.07	0.040436132684344	0	0.00197665804142031	0.0735048852065732	0	0.0786839006916725	0.0437034954354083	0.0485819995468264	0.0454510393955051	0	0	0.0304175032430981	0	0.429377386363674	0.0535905119673906	0.130568407003852	0.00139368629012724	0	0.0223143941301089	0	0	0	0.02	0.151261127533831	1.05147533785232
TCGA.DY.A1H8.01A.21R.A155.07	0	0	0.00856193831001245	0.0645056227639342	0	0.280240590983869	0.102343072278389	0.0655425958419489	0.0166128222211647	0	0.0243042233188134	0.0368964826465567	0	0.258426974985427	0.0611777681689883	0.0602901300097494	0	0	0.021097778471147	0	0	0	0.38	0.0337891647477661	1.08974509330062
TCGA.DC.6683.01A.11R.1830.07	0.0478878579572463	0	0	0.0198060686394266	0	0.235397026236766	0.0187436378769669	0.021271346107943	0.0188490362583675	0	0.00610987687519905	0	0	0.401709587234378	0.0900691228533287	0.0981267127808215	0.00497907865018909	0	0.0370506485293668	0	0	0	0.0600000000000001	0.122788262779655	1.06129537541805
TCGA.DC.4745.01A.01R.A32Z.07	0.0264291016993633	0	0.00472922133955201	0.053101269744065	0	0.25128371380349	0.140803602553203	0.006820170782057	0	0	0.0423842467706637	0	0	0.235692380498928	0.0287364266977167	0.131725046858109	0.0080417944025848	0.026633414966213	0.0385448801994744	0	0.001018057659437	0.00405667202514429	0.12	0.0829285335391495	1.05309280163919
TCGA.AG.3578.01A.01R.0821.07	0.0290485994451389	0	0.0110130923170699	0.0401284598765931	0	0.297181126758493	0.0470423912458392	0	0	0	0.0129014553632207	0	0	0.253531922525389	0.0302932144172733	0.128013048115581	0.00328159265824668	0	0.0294394553208388	0.00838919441913182	0.0183997322223882	0.0913367153147972	0.0600000000000001	0.120063756198763	1.04423423275218
TCGA.AG.3581.01A.01R.0821.07	0.0354743872083484	0	0.0145028546279237	0.0304761551665261	0	0.232103573530758	0.0188025575667403	0	0.0103251679524225	0	0.0301393793308414	0	0	0.265899670712461	0.0515838993810744	0.227661530359032	0.0161215107524836	0	0	0.0437415078040697	0	0.0231678056073185	0.1	0.0950292371375534	1.05894326833869
TCGA.F5.6812.01A.11R.1830.07	0.0843546199102403	0	0	0.0873090956281568	0	0.124338459772976	0.0151367700075018	0.0538422142282216	0.0534188982609677	0	0	0.0361987614060861	0	0.260764728501603	0.174372870297581	0.0685920333763817	0.00677676485177412	0	0.0348947837585097	0	0	0	0	0.192884833137317	1.021738094495
TCGA.AG.A01L.01A.01R.A002.07	0.0296725213323693	0.0187928396750283	0	0.165670529559921	0	0.25669720392456	0	0	0.00779819687133607	0	0	0.0727912539256328	0.0346397753592472	0.237314519591022	0.0588640735380675	0.0414053408454268	0.0294745107042832	0	0.0410167331974187	0	0.00586250147568783	0	0.24	0.0575997913444913	1.07617855388485
TCGA.AG.A020.01A.21R.A083.07	0.0192875354169575	0	0.00757698640590085	0.190005972622636	0	0.147192240226962	0.111071524431625	0.035197239793577	0.00761408141823927	0	0.0429858653624613	0.0155881595092035	0.0249485675467839	0.285729656844901	0.0452128629151136	0.0656293177049049	0	0.00195998980073499	0	0	0	0	0.3	0.0456783181613486	1.08395220344017
TCGA.AG.3611.01A.01R.0826.07	0	0.00432163264168865	0.0759624292543859	0.0402867193594586	0	0.266770675117785	0	0.0214211557000533	0.0365407007977074	0	0	0.0358811653851078	0.0013493274631252	0.232946504521609	0.0450006572034027	0.149515117895528	0.0342234922174061	0	0.0168108640193876	0	0.0333838148541389	0.00558574356921593	0.04	0.141793697320727	1.0318050164011
TCGA.AF.2690.01A.02R.1736.07	0.0333116827062	0	0.0208547852908713	0.0816922869075703	0	0.15308362258675	0.0704971287103647	0.0309064032246435	0.0286599325122123	0	0	0	0	0.218026664626485	0.0616976983607958	0.202019137425174	0.0433581248931064	0	0.0363208945881853	0.00336144164610345	0.000386390672685977	0.0158238058488517	0.04	0.140498989123447	1.02870160499605
TCGA.AG.3890.01A.01R.1119.07	0.00769758178781847	0.0205322241985326	0.0456317325300411	0.164857125462855	0	0.168915763919786	0	0.0874286244024828	0.0638710540002256	0	0	0.0843240444320981	0	0.165318665846539	0.0428297374571622	0.104170459697468	0.032728274574129	0	0	0.0116947116908634	0	0	0.0600000000000001	0.122609094547245	1.05047508839743
TCGA.EI.6511.01A.11R.1736.07	0	0.00695834497682625	0.0412678282715232	0.159972803925723	0	0.0739280863620733	0.118725952303538	0.017538051275724	0.0307364353093114	0	0.00107264028513493	0	0	0.359882902462997	0.079621991921859	0.097623094673795	0	0	0.00509935473822575	0	0	0.00757251349326897	0.08	0.10299036340239	1.06149790452151
TCGA.DC.4749.01A.01R.1736.07	0.0234059096061194	0	0.0220914590500188	0.0594295995532645	0	0.171744743412934	0.176090896519558	0.0598144840606508	0	0	0	0	0	0.276557594753512	0.0404772935834737	0.103031859614282	0.0301244129178784	0.0255606203295547	0	0.00449084316176099	0.00718028343699138	0	0.2	0.0635670430951575	1.06409877520193
TCGA.AG.A008.01A.01R.A002.07	0	0.00420839754999151	0.00268772785267333	0.0596830904616093	0	0.474828962876061	0	0	0.0333006751717255	0	0.00450544771238625	0.0485491741796981	0.0260935281104623	0.181529463637141	0.0034358974993962	0.0155764162906351	0	0.00651065313009262	0	0.139090565528127	0	0	0.2	0.0654689902047382	1.09385110639389
TCGA.AG.3902.01A.01R.A32Z.07	0.0500113548872617	0	0.00535774266229844	0.231554615117901	0	0.110781248202088	0.0371822522207341	0.0279400170736348	0.0335161507619891	0	0	0.0672541926783021	0	0.0502675254779243	0.0701629982740329	0.16331351664816	0.0339469867551428	0.0113413629142244	0.0548732928180304	0	0.0524967435082753	0	0.02	0.180610984481322	1.01383075771442
TCGA.AG.3594.01A.02R.0821.07	0.023552284476593	0	0.00229530090931063	0.237446322135118	0	0.203487865357224	0.0638767389074604	0.0620462878163281	0.013655810942007	0.0295284419789116	0	0	0	0.0337235865496595	0.100599525156855	0.0727962130957209	0.012758614602275	0.00758477030032556	0.00511210600799797	0	0.0278337692468849	0.103702362517328	0	0.215651510893193	1.01224405755307
TCGA.DY.A1DC.01A.31R.A155.07	0.0480954819338457	0.0017041024538982	0	0.126446317808379	0	0.21724837441614	0.159374649987957	0.00502760818092619	0	0	0	0	0	0.152022920920658	0.0989940126590565	0.135026669637842	0.0198218235365774	0	0	0.0227611021194432	0.0134769363452766	0	0.1	0.0945381134235483	1.04918300452723
