B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.3B.A9HU.01A.11R.A39D.07	0.0674921850086724	0	0.00647354324767308	0.210632714599112	0	0.202373545414938	0.00257140196892648	0	0.0236784597272597	0.00393576595143341	0	0.0414155803862509	0.0533872414500527	0.0411090438922223	0.125592263083567	0.153900325165391	0	0	0.0596618729632483	0	0.00777605714125344	0	0.02	0.260593644699469	0.982986396141649
TCGA.SI.AA8C.01A.11R.A38C.07	0.0418228729042353	0	0	0.0624858026955786	0	0.134913740472356	0	0.017344322000584	0.0100965575639028	0.0394325452431951	0	0.0233743855279666	0.0133135026708249	0.263653961246517	0.0451170512203639	0.298652613194821	0	0.00343650953559399	0.0463561357240608	0	0	0	0	0.384447026016817	0.926317345629586
TCGA.X6.A7WC.01A.12R.A355.07	0.00318704654894894	0	0	0.176229731140998	0	0	0.209236838866813	0.00950289831177913	0	0	0	0.084349605586718	0	0.152765673975792	0.0794526700483103	0.247433685335688	0.000654649859694719	0	0	0.0371872003252566	0	0	0	0.481739153662762	0.875984034126415
TCGA.X6.A7WB.01A.11R.A355.07	0.00735012356489277	0	0	0.00721614832051989	0	0.426588406700979	0	0.0266491708463535	0.0315358137375821	0	0	0.0213265930269977	0.0356108733003704	0.132387074558541	0.0345405494760338	0.261106285029901	0	0	0.0083831290863861	0	0.00730583235144298	0	0.38	0.0474229866372164	1.08264002691923
TCGA.DX.AB2E.01A.11R.A39D.07	0.00586922364073814	0	0.00204786707176584	0.185655815850282	0	0.0197129034488579	0.055993924539512	0.0135055638366411	0.0213146188085726	0	0.00668986181280917	0	0	0.190275727454189	0.0671095184704825	0.337989972867732	0	0	0	0.093835002198418	0	0	0	0.546297371981477	0.840533275731205
TCGA.X6.A8C6.01A.11R.A36F.07	0.00714499303767102	0	0.00121522261950159	0.0826075203552141	0	0.0905034366783903	0	0	0.00182170501103162	0	0	0.0339999603185848	0.0746410219604837	0	0.0769377223299209	0.509749630854825	0	0	0.121378786834377	0	0	0	0.02	0.258250508283161	0.985434448502781
TCGA.DX.A8BM.01A.11R.A41I.07	4.33478456091291e-05	0.000943561281880636	0	0	0	0.27485043956817	0	0.0036780069171301	0.00311715013879858	0	0	0.0427485601830872	0.0588287499747803	0	0.146193765952155	0.431707196451728	0	0	0	0.0374076027161816	0	0.000481618970479958	0.0600000000000001	0.17276495575946	1.02982986346739
TCGA.MB.A5Y8.01A.11R.A29R.07	0.0162800298135987	0	0	0	0	0.0905751852607034	0.0163443569584449	0.0238223788291754	0.0143304918363677	0.0439454818396635	0	0.00783199067365126	0	0.433423185397131	0.00672809471668562	0.305657851340148	0.00732815621637786	0	0.0334769566806545	0	0	0.000255840437398032	0	0.731937052190881	0.701403308362127
TCGA.HB.A3L4.01A.11R.A21T.07	0.00267491128564314	0	0.00178900200973187	0	0	0.126667778918561	0	0.00299374635604555	0.0228927916598281	0	0.123465278839519	0	0	0.520912143601394	0.0126374641020521	0.115968379364777	0	0	0.0699985038624476	0	0	0	0	0.59014220380561	0.807830043027998
TCGA.3B.A9HV.01A.11R.A39D.07	0	0.00314153273386716	0.00616826217014706	0.0220148242991504	0	0.286216255764477	0	0.00859969308576693	0	0	0.0308277234326994	0.00232040073537686	0.0187741329816396	0.168062314957134	0.000995958724229397	0.211277554404428	0	0.0281788663026339	0.213422480408451	0	0	0	0.46	0.0175960143848282	1.07888867335388
TCGA.X6.A7W8.01A.21R.A355.07	0.0112015563453248	0	0.00582740547427852	0.0297042992517353	0	0.0396186505759273	0.0128717195602694	0	0.0243810477307347	0	0.00616103232810989	0	0.0187380433081913	0.182179202751483	0.0436792980638977	0.523645454657923	0	0	0.0813478001776343	0.0163661047348544	0	0.00427838503963613	0	0.476382981770908	0.880324755785394
TCGA.DX.A8BP.01A.11R.A37L.07	0	0.000107246423787689	0.00516680755943586	0.302558987621219	0	0	0.149135816010411	0.0239878962538593	0.00693564502920893	0.0414167536209224	0	0	0	0.0785076431905363	0.121554977409766	0.237093005617281	0.011061219358374	0	0.0204355564513467	0	0	0.00203844545385221	0	0.489242106828658	0.872001875381862
TCGA.DX.A3LS.01A.11R.A21T.07	0.0226849248498977	0	0.00168420221503952	0.124023167432043	0	0.221061654505488	0.0204909531202184	0.00907033489167653	0.0237428724237851	0.000139066870285524	0	0	0.0183263963735027	0.041501666158104	0.110020198369985	0.377335260758851	0	0	0.0259515609928947	0	0	0.00396774103822885	0	0.420976377816101	0.90672707177056
TCGA.IE.A4EK.01A.11R.A24X.07	0.0274019735505855	0	0	0.0752887002570924	0	0.247078387202123	0	0	0	0	0.0263717222948016	0	0.075155201137825	0.155028302823427	0.115018213680527	0.079103631197705	0	0	0.199553867855914	0	0	0	0.46	0.0199968458204993	1.07600644300422
TCGA.SG.A6Z7.01A.12R.A32Q.07	0	0	0	0	0	0.298599892487588	0	0	0.0357397923874537	0	0	0.0476108872270288	0	0.412511385953495	0	0.160177924215566	0	0	0.0453601177288686	0	0	0	0.08	0.162870619611276	1.05098130289339
