B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.FP.7998.01A.11R.2203.13	0.0645810325035834	0	0.04255469352206	0.252716407012183	0	0.0911910527361111	0.149186107682284	0.0104770282460966	0.0247132456061625	0	0.0165808743145688	0	0	0.0966229842398925	0.0914331278614916	0.0946013949962135	0.00728812045209784	0.00236960963900417	0.0556843211882515	0	0	0	0.04	0.23357886290264	0.990504197559527
TCGA.BR.4256.01A.01R.1131.13	0.0323870545769113	0	0.00228396478332563	0.0704959108704237	0	0.132443810184482	0.0946669745949393	0.0186558084526443	0.000690473285392639	0	0.050231362115835	0	0.0620064513789202	0.100432450007802	0.0544989087909399	0.127838960353941	0	0.0457258002967124	0.107998845792905	0.0222481154830316	0	0.077395109031794	0.1	0.113754926830044	1.02824282766862
TCGA.VQ.AA6K.01A.11R.A414.31	0.150317464625415	0	0.145637909184212	0.157508103201732	0	0.25241582872912	0.0697570585851943	0.0264266247533413	0.0133160430678302	0	0	0.0210870025635796	0.0131823111538414	0.0185280695683401	0.0464470018788817	0.0489904733537341	0	0.0137419681970814	0.0217281155644819	0	0	0.00091602557321517	0.02	0.402048141839408	0.920547427467901
TCGA.BR.7722.01A.31R.2203.13	0.0402282546937828	0	0.00792702296688202	0.0557889324315561	0	0.225987587069352	0	0	0.0930641270629358	0	0	0.0397097212325218	0	0.100234302517985	0.0279796376681363	0.200616815286372	0.0629114024845691	0	0.145552196585907	0	0	0	0.08	0.15331321242866	1.01862345740201
TCGA.BR.8380.01A.11R.2343.13	0.0792097024968648	0	0.0370082541649946	0.122467596108245	0	0.183776884950235	0.0140182589301689	0.0358901864922305	0.043069857241369	0	0	0.00226279091587495	0.0224881439590248	0.0944723373063182	0.0653852054648636	0.136090396547935	0.039675980683699	0	0.118333603809927	0	0.00585080092824962	0	0.0600000000000001	0.19627577060327	0.999507331997423
TCGA.BR.4367.01A.01R.1157.13	0.0271701598439691	0	0.0100154243752482	0.0984024928537601	0	0.223699921454068	0.106934270557528	0.00174731244921611	0.0319283359636996	0	0	0.00435567729314318	0	0.0988385193021616	0.0939261924601605	0.197331762995838	0	0.00236098533703672	0.0438782294166883	0	0.0263777323183708	0.0330329833791108	0.22	0.0651866688415703	1.05536210966454
TCGA.VQ.A8P8.01A.11R.A39E.31	0.0881770882454933	0.175077791885882	0.0661950130914882	0.0552012351738433	0	0.312280775476745	0	0.0156258581990792	0.0444871857442799	0	0	0.021434601256746	0	0.0370648299723627	0.0116175602470269	0.00766214154119507	0.0103480804424185	0.0488545366467567	0.105973302076683	0	0	0	0.02	0.423405675832096	0.907250394002374
TCGA.BR.8679.01A.11R.2402.13	0.00311936584250128	0.0087922806289894	0	0.0624345431502853	0	0.187749653323529	0	0.00387024942821954	0.0230544120307304	0	0	0.0549691009017312	0.0470376906931504	0.153857218968187	0.0738272676390204	0.275986675500449	0.00763674283682125	0	0.074833045563865	0	0.0228317534925218	0	0.3	0.0506415307625277	1.06634683703119
TCGA.VQ.A8PC.01A.11R.A39E.31	0.034933556706717	0.108739264804634	0.0102673219640043	0.0710712391312573	0	0.307074480064062	0.00771439058282788	0	0.0043306521823136	0	0.0222470078487295	0	0.0101652550261719	0	0.0439711136798746	0.224498499527591	0.0258855246955876	0.033764604489049	0.0616512610709238	0	0.0162656769991158	0.01742015122714	0.04	0.237780286315909	0.984448626219393
TCGA.SW.A7EB.01A.11R.A354.31	0.201742270994858	0	0.0570351980239737	0.108083275598788	0	0.223882815033757	0.016169128773734	0.0897554645877749	0.0415276495097458	0	0	0.0612496746080145	0.00779963342826823	0.0550841721918831	0.0482438405360787	0.0334654273502315	0.00155016237243769	0.00574840051595906	0.0382541254978248	0	0.0104087609766701	0	0.04	0.339135308071996	0.951640373405005
TCGA.BR.4253.01A.01R.1131.13	0.016584044247258	0	0.00244837477469545	0.21245409557049	0	0	0.323541182034052	0	0	0.0317763934614743	0.0462315214288297	0	0	0.0475664498449228	0.105054896012872	0.134912026532002	0.00500995741467084	0.0126010025997521	0.0414850092470155	0	0.0055196942721098	0.0148153525598552	0.04	0.276041514902753	0.973555552939221
TCGA.BR.6457.01A.21R.1802.13	0.0964677274944585	0.037572331600025	0.115601707802164	0.147309079722329	0	0.174503867992083	0.0577777711722539	0.0164503622533504	0.0299650970359794	0	0	0.0207720299562406	0.0095400155089015	0.0312116768530277	0.0659960877555571	0.0580380445006453	0.0385381480537691	0	0.100256052299215	0	0	0	0.04	0.367210988394481	0.932007183567324
TCGA.3M.AB47.01A.22R.A414.31	0.163987265297434	0	0.176009393027308	0.0529944367104691	0	0.348577674754384	0.0189864714345473	0	0.0194425036932901	0	0.00544379195148379	0	0	0.0772168367768062	0.0179719483900534	0.0898479633280374	0.0127614163027611	0.00859598787580138	0	0.00816431045762488	0	0	0.02	0.490452319151605	0.871019993847297
TCGA.RD.A8N0.01A.12R.A36D.31	0.0464705371897959	0.188729374258517	0.0927000066623432	0.183276129534868	0	0.159207214331845	0.0203962772932646	0.092665306503979	0.0499413998961999	0.0010677656138442	0	0.0137382354072506	0	0.00905330902800835	0.0224658060390888	0.0496333444622746	0.00524455231859791	0.0163358728836372	0.0439449093427391	0	0.00512995923374714	0	0.02	0.459758534746763	0.888746124947486
TCGA.ZA.A8F6.01A.23R.A36D.31	0.0173931910018718	0.0197502981596223	0	0.0334108752935303	0	0.0691073600574591	0.0224458370488464	0	0.0580025835140309	0	0.0195570647236525	0	0	0.527658780505412	0.00324097294773602	0.131705763704383	0.00377140967844394	0	0.0913465110203523	0	0.00260935234465943	0	0.04	0.343123696128226	0.965895705793144
TCGA.BR.8381.01A.11R.2402.13	0.0343266585206307	0	0.046259659062647	0.292915975215689	0	0.103280935455799	0.104461480589047	0.0675417846968534	0.0784910060959152	0	0.00050253673702056	0	0.00248876479567749	0.0619932773446575	0.0688906447580282	0.114753939457674	0.0131258468777844	0.00929856688725699	0.00166892350531789	0	0	0	0.08	0.145857074255143	1.0424856702603
TCGA.RD.A7BT.01A.11R.A33Y.31	0.0320259496697339	0	0.00402297846851897	0.0849984885847322	0	0.319236035238144	0.0902457432103018	0.061351259611317	0.0280639951193611	0	0	0.0608405750201702	0	0.0269561431781486	0.0542446835813708	0.0898084769914959	0.0602479880651761	0	0.0691289336115833	0	6.03701223383555e-06	0.0188227126377125	0.26	0.0558274816952651	1.07348116899206
TCGA.D7.6519.01A.11R.1802.13	0.0241482269831936	0	0	0.216842942778562	0	0.101624529817904	0.00588727676040477	0.0351612279988172	0.121853413476458	0	0	0.061730292815519	0.0257868843509381	0.0136527027773903	0.0350623365212154	0.217077554636074	0.0264137250289563	0.0144410169582325	0.100317869096334	0	0	0	0.08	0.142891620917842	1.03303379806758
TCGA.RD.A8N6.01A.11R.A36D.31	0.0338165935663615	0	0	0.0455087214440743	0	0.212408834714065	0	0	0.0499903614383337	0	0	0.0445135769596683	0	0.17717370079783	0.15465061192891	0.204824740006274	0.000630982850678743	0	0.0715022566027093	0	0.00497961969109548	0	0.5	0.0199691543661323	1.09026461808787
TCGA.BR.8286.01A.12R.2343.13	0.0143345551769771	0	0	0.151691631649141	0	0.105630663272197	0.0474664523164545	0.00262356446009419	0.11831684324244	0	0	0.0187077166925823	0	0.12711077116978	0.0582121312833622	0.192604200489076	0.0478273668792485	0.0130984723485231	0.0754758201559408	0.0268998108641843	0	0	0.04	0.210459706887044	0.998402367093316
TCGA.IN.A6RJ.01A.21R.A33Y.31	0.068673865160873	0	0.0287625470098638	0.0926291890756238	0	0.233760480275948	0	0.011218941036195	0.0612995211809356	0	0	0.0984458549177944	0.022035782619273	0.00691811631510661	0.0419151713013642	0.0947408498788367	0.0598905200960929	0.0604247906317237	0.113136355542334	0	0	0.00614801495803495	0.1	0.10496998283543	1.04267930783694
TCGA.CG.5734.01A.11R.1602.13	0.0641197860400713	0	0.0900505423900939	0.0738362068185977	0	0.153988950027227	0.0806438928267456	0.0258570250666043	0.0561764912855453	0	0.0315567693321324	0	0	0.241697492726803	0.0604731950422556	0.0626626755550058	0.00718624558104383	0.00151553204142959	0.00276451758160933	0.00175466202246228	0.0222907687918107	0.0234252468705625	0.04	0.260737247853302	0.978976602696183
TCGA.CG.4305.01A.01R.1157.13	0.0795288939069878	0	0.00201598422999304	0.121174936148904	0	0.134268918355309	0.160743577770307	0.000163297476292694	0.0115136840876659	0.0312436555537592	0.0233146084198418	0	0.0108313098228868	0.0341364908018881	0.104840016341653	0.220046472886212	0.00898342853521255	0	0.0358891935169173	0	0.0213055321461704	0	0.04	0.252902262761059	0.978438113837198
TCGA.D7.5578.01A.01R.1602.13	0.044509059369098	0.00602089576854131	0.0651436245213568	0.133066800631341	0	0.178074271802895	0.0591760261729723	0.043155029448939	0.0584150990688718	0	0.0127490767388786	0.00103100969974277	0.0302280899591752	0.127326169251349	0.0714619881208325	0.0834593889160169	0.0442396749675562	0	0.0332872192257934	0	0	0.00865657633664055	0.0600000000000001	0.188406090874532	1.00665632523792
TCGA.BR.7723.01A.11R.2055.13	0.0280318040326447	0	0.0347001306098733	0.140920266793777	0	0.135248597937069	0.0521755156352638	0.0477256707005268	0.0665625626222481	0	0	0.00432143541783233	0	0.275683378499616	0.0745408326755124	0.122662560550587	0	0	0.0154545224142548	0	0.00197272211079459	0	0.1	0.0966744027114648	1.05718597604632
TCGA.CD.5803.01A.11R.1602.13	0.0942991975157211	0	0	0.242606180444762	0	0.20450577197538	0.0579823399823185	0.019270839838194	0.10517337885037	0	0	0.0156999267313427	0.00257495681658641	0.0274354293102242	0.068574344505656	0.0876280367119392	0.0368399796911862	0.00893328801262024	0.0284763296136995	0	0	0	0.02	0.488850165826504	0.871534933943569
TCGA.HU.A4GD.01A.11R.A36D.31	0.180164218986168	0	0.00382671135438661	0.144886379943565	0.000143886095712073	0.0723462096423187	0.0216398607690401	0	0.169211926154324	0	0	0	0.0116194680871199	0.177463295736538	0	0	0.00740036644007989	0.0900216984987039	0	0.115772743421762	0.00550323487028161	0	0.1	0.0998769634287528	1.05381040292878
TCGA.CD.A487.01A.21R.A24K.31	0.0194641070671515	0	0	0.0801268665124068	0	0.170747413939643	0.102300811209224	0	0.0131913431264381	0	0	0.0651681558469131	0	0.0232599642017427	0.00263822098863128	0.0661547608151673	0	0.0969894570270445	0.175472692218529	0	0	0.184486207047107	0.26	0.0561513950968588	1.06401938871187
TCGA.RD.A8N2.01A.12R.A36D.31	0.0932579023227677	0	0	0.172565916100738	0	0.234367428987485	0.026578005883359	0	0.0383975554807269	0	0	0.0146733107351797	0.0214320288571919	0	0.0277992786380739	0.212367637047532	0.0569671135771606	0.0299735704858854	0.0716202518839001	0	0	0	0.04	0.223895058029482	0.992666998716774
TCGA.BR.7716.01A.21R.2055.13	0.079941675680749	0	0.00144364600339609	0.220836178559387	0	0.154767278077075	0.0674101873313139	0.024777089888219	0.075395352775857	0	0	0.0105256528207794	0.0226841129267761	0.0627288309682101	0.117087909631175	0.0748821946974546	0.0314026263735791	0	0.0561172642660287	0	0	0	0.08	0.137055947162577	1.03866796199373
TCGA.CG.5716.01A.21R.1802.13	0.0275742691575153	0.112421111820407	0.229515987319816	0.0793685668941271	0	0.212195288904282	0.00855740243384545	0.0447241561759761	0.0689963974243458	0	0	0	0	0.0316310253121385	0.0107718723624386	0.0462233088020986	0.0277641684909189	0.0194056217279528	0.0549791905595064	0	0.00247898570285026	0.0233926469117817	0.02	0.539088683142018	0.841592626983601
TCGA.CD.8529.01A.11R.2343.13	0.107847707389753	0	0.147453185868324	0.0795338487469274	0	0.160840009453303	0.056448185483097	0.0155475832066102	0.0538425037509624	0	0	0	0.00092770813950656	0.143968885214098	0.0604004809708918	0.127826583076237	0.0114062614440524	0.000305286547020064	0.0327789335793733	0	0	0.000872837129843913	0.02	0.433518057481265	0.900448973785996
TCGA.B7.A5TK.01A.12R.A36D.31	0.0128371916924307	0	0.0104871447360156	0.388083539191402	0	0	0.238051794377409	0.0106475330003695	0	0	0	0.00154950537269856	0.00389587789088987	0.0267848964868694	0.140409969903203	0.0954376526872032	0.00847392772282832	0.0324208627455565	0.0277152510718802	0	0	0.00320485312124521	0.04	0.300189204809138	0.971662106577088
TCGA.BR.7901.01A.11R.2203.13	0.0442872159033196	0	0.00573261404445041	0.0983717074773508	0	0.170887513595987	0.00965928617741067	0.0133253744058361	0.0656023102767883	0	0	0.0146998263959556	0	0.330269207514376	0.100732466649542	0.118217470747059	0.0036632770900623	0.00199649236361702	0.00358653298972096	0.0130721629230962	0	0.00589654144542716	0.08	0.16306857767106	1.03678538027618
TCGA.IN.AB1X.01A.11R.A39E.31	0.155338149759179	0	0.0197942712873777	0.288574674498455	0	0.134583618528554	0.0680459445193013	0.0231712083051596	0.0628653875973842	0	0.0306437603299652	0	0.0141503624225209	0.0463928110674246	0.0139662524524255	0.0303374302170635	0	0.0912619509348371	0	0.0142142786181813	0	0.0066598994621713	0.04	0.24824030777771	0.997527278734727
