B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.2G.AAG7.01A.11R.A430.07	0.105037602043995	0	0.0308591755514059	0.160856237864485	0	0	0.0452371738365582	0.0898022838849113	0	0	0	0.0125647361392964	0.000749812653623515	0.255138459430418	0.0662790677390248	0.202950637991167	0	0	0.0246572811426852	0	0.00586753172242983	0	0.08	0.181446703925056	1.01610432595034
TCGA.2G.AAGK.01A.11R.A430.07	0.0695808627957553	0	0.0105672460264958	0.150374812439754	0	0.100252740155695	0.0769734687048906	0.0469140410526551	0.00171571467543069	0.00196565410262205	0.00726991369128161	0.0461132321758574	0	0.230072180727871	0.129692553899691	0.0846452928809783	2.94762149611452e-05	0	0.0438328104560604	0	0	0	0.0600000000000001	0.192949153374792	1.01320257716977
TCGA.S6.A8JY.01A.11R.A431.07	0.206905686625337	0	0.0255535217355039	0.0678165410814206	0	0.108985254864282	0.0345413781011037	0.0608570641195829	0.0186054203602812	0	0	0.0133023974332269	0.0301908161790413	0.210090854931534	0.115909012878098	0.0798200763080082	0.00612911102418411	0	0.0212928643583959	0	0	0	0	0.390505773642903	0.921361418500021
TCGA.XE.AAOF.01A.11R.A431.07	0.235640816308501	0	0.0207747258676187	0.173445580971539	0	0.0217638882401262	0.0993716151783148	0.120778551122044	0.0614346711763209	0.0271872905990864	0.00214981792061357	0	0	0.133559936819427	0.0755033628313109	0.00429498523320055	0.00749552983789381	0	0.0165992278940029	0	0	0	0	0.345986569806795	0.946010913612581
TCGA.2G.AAKO.01A.11R.A430.07	0.247517414491596	0	0.00417672794018216	0.135389157838906	0	0.0938921525049442	0.0361719291075428	0.0722278928115566	0.0698693665728105	0.0407123998805614	0	0.005112659491195	0	0.151314920201593	0.09188330650549	0.0172163087662772	0.00224046690680587	0	0.0322752969805391	0	0	0	0	0.382230746696263	0.927513247957953
TCGA.2G.AAHN.01A.11R.A430.07	0.0924270866663126	0	0.00843955194949194	0.0479447775486816	0	0.128203703730149	0.0192026274108325	0.0243938992486617	0.0700179177083456	0.0198621948029285	0	0.0355385841220636	0	0.367779566823385	0.0990633095038544	0.0361812147860763	0.0235707842178275	0	0.0273747814813898	0	0	0	0	0.462070141617481	0.886192455383779
TCGA.2G.AAGY.01A.11R.A430.07	0.07105970816201	0	0.00949368013559278	0.111049932492635	0	0.107909934397138	0.00434023220873356	0.0291309804565398	0.0438741553748925	0.0199304702785691	0	0.052235643732398	0	0.21542069739212	0.0851101219868418	0.160352822308609	0.0135433482447622	0	0.0765482728291582	0	0	0	0.1	0.133978561519899	1.03285504673288
TCGA.2G.AAG0.01A.11R.A430.07	0.0695368354964346	0	0.00495940841938794	0.0842025186526971	0	0.0354836046996557	0.100269676657882	0.0139533446078124	0	0	0	0.09051290807297	0.0259509253817509	0.189293977303125	0.150876307497124	0.120874433070157	0.0337362115166929	0	0.0803498486243102	0	0	0	0	0.289987341718235	0.96813112403477
TCGA.4K.AA1I.01A.11R.A430.07	0.085837155050712	0	0.00988918439512898	0.11290715799685	0	0.101518658245149	0.0764838244334881	0.0162282627160416	0.0791171865973808	0.0348804163656579	0	0.0126750618527457	0.00514227512050649	0.250523446335925	0.110301948287452	0.0438625555149527	0.0189265324299928	0	0.0417063346580165	0	0	0	0	0.277715091094534	0.973068040486395
TCGA.2G.AAHP.01A.12R.A430.07	0.234299990442947	0	0.0280596630300307	0.335596355314383	0	0	0.0369184196512553	0.0417620809867631	0.0230820343228334	0.0333479957677958	0	0.0568515417156828	0.0141922686020751	0.0938845223102395	0.0657630555562923	0.0309019386774832	0	0	0.00534013362221905	0	0	0	0	0.27892290311972	0.988172273402052
TCGA.2G.AALO.01A.12R.A430.07	0.11577840910846	0	0.00260985425891054	0.0693235564198483	0	0.186068405793543	0.00239679367930986	0	0.0356129953681979	0	0	0.0045939619855143	0.0476858887883215	0.15030894685129	0.0247668962536425	0.266115292043819	0.0216931368872343	0	0.0730458625619096	0	0	0	0	0.206471156590488	0.999114439460071
TCGA.ZM.AA0D.01A.11R.A431.07	0.0782423202624346	0	0	0.111769269346663	0	0.130063723765705	0.0897218599139502	0.0291275871793361	0.0406932087937624	0.0333203528257448	0	0	0	0.339446333694259	0.0951113042049586	0.0115344577876106	0.013962571214214	0	0.0270070110113616	0	0	0	0	0.309205377564926	0.962712045075955
TCGA.2G.AAG5.01A.11R.A430.07	0.028678581475415	0	0	0.0588329640628531	0	0.127600213943927	0	0.0182543018549579	0.0472451020673679	0	0	0.0277624197289479	0	0.292668456390029	0.0276223409739053	0.323525132566128	0	0.00921570464139933	0.0385947822950695	0	0	0	0	0.218007783094704	1.01267933142225
TCGA.ZM.AA06.01A.12R.A431.07	0.197239614729949	0	0.0403234140154079	0.183286490357797	0	0.0465569587067465	0.0880674691996643	0.0304609412719308	0.0193585747275944	0	0	0.0416906620960993	0	0.202164815575344	0.0560704725936818	0.0310999524726098	0.00242911445458672	0	0.0591262050902645	0	0	0.00212531470832449	0	0.339112892171214	0.945164392849206
TCGA.2G.AAFV.01A.11R.A430.07	0.0249611169402899	0.00876707700873507	0	0.0569545504155565	0	0.150191664425101	0	0.0802331412358485	0.0391640865132798	0	0	0.0326436918206096	0	0.295125190673509	0.067133070608387	0.195160898901179	0	0	0.0496655114575053	0	0	0	0.08	0.161253814616469	1.03169749254994
TCGA.XE.A8H1.01A.11R.A431.07	0.0833316513830385	0	0.0052175324400332	0.0879705110122861	0	0.107304369517858	0.0200039960348664	0.0726187690441534	0	0.00800549532288068	0.00377606857720698	0.0277373987493005	0	0.240438688944573	0.0787253017242761	0.177474842409198	0.0255584514769928	0	0.0618369233633357	0	0	0	0.08	0.164813594131722	1.02020010239453
TCGA.2G.AAFM.01A.11R.A430.07	0.0411307027408381	0	0.0207517667230616	0.216623528337644	0	0	0.0660952207312981	0.0786723721162636	0.0768248867180286	0	0	0.0522357547176393	0.025474562192255	0.13675275117217	0.111932719370084	0.0960206645939797	0.0140139097691801	0.0141638715609375	0.0493072892566197	0	0	0	0.08	0.190050488339093	1.01154486974447
TCGA.YU.A90W.01A.11R.A431.07	0.281793824630937	0	0.0192534551136082	0.165453613524251	0	0.113362924837453	0.0323963008083442	0.0447146944247212	0.0111557313639347	0.00245788696213296	0	0.016197724762372	0	0.148233737201841	0.0784529011043029	0.0719994685293585	0	0	0.0145277367367432	0	0	0	0	0.434533947765835	0.900774822180064
