B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.MK.A84Z.01A.11R.A39I.07	0.0308276580457724	0	0.0427054646355427	0.289761893597823	0	0.0920051911606439	0	0.0793880411935814	0	0	0	0.0644373881534774	0.0418518464021099	0	0.0265798697801018	0.286490467596246	0	0.0119044373923103	0.0340477420423913	0	0	0	0.64	0.00192736714340327	1.09612401702894
TCGA.ET.A39P.01A.21R.A19O.07	0.00297303253948904	0.00298538798823064	0.00388150966657523	0.0863504682531137	0	0.111933061715772	0	0.0157669506282641	0.0222499704886563	0	0	0.00466881154170696	0.0460897713993582	0.095287561140619	0	0.311112362455244	0.0529722540078477	0.0542113505283584	0.189517507646765	0	0	0	0.4	0.0530781217807133	1.06058553280116
TCGA.DE.A7U5.01A.11R.A39I.07	0.174938738062501	0	0.120445050673	0.0716905018149032	0	0.13833001654396	0.0168134726635902	0.0425253683086208	0.0138000636826657	0	0	0	0	0.233343599924551	0.0346814202665206	0.102123926937401	0	0.0373759546045974	0	0.013931886517689	0	0	0	0.379132365991724	0.928980048031842
TCGA.ET.A40T.01A.11R.A23N.07	0.0667045722142222	0	0.0697448647108136	0.155350772111553	0	0.194802347549203	0	0.100937521937273	0.0148318326713393	0.0100555317529008	0	0.0217858971362771	0	0.137498703537247	0.0835769245984566	0.109115322253794	0.0230114085218933	0	0.0125843010050274	0	0	0	0	0.249076042266857	0.988591743752393
TCGA.DO.A1K0.01A.11R.A13Y.07	0.00781754912300256	0	0	0.0978354922938174	0	0.217226309244679	0.00865276238761487	0.0258861811497492	0.0213925047621251	0	0.00393231053485147	0	0.000187899816563145	0.33624622498411	0.00210123196427012	0.222064332289626	0.00156600091671377	0.0484896794309591	0	0	0.00246737225937212	0.00413414884254582	0.0600000000000001	0.125631815365583	1.06167470508049
TCGA.FE.A3PB.01A.11R.A220.07	0.0646576509973368	0	0.00512731119283102	0.0976446240587191	0	0.253640621191649	0.00341476122251582	0.0615120366877448	0.0271629731687713	0	0	0.0439413946974119	0.000998670380465636	0.0836919595417374	0.0685315981587934	0.145681719509512	0.106356712544384	0.0152146246615434	0.0159760619572593	0	0	0.00644728002932526	0	0.174574892461446	1.01605676801569
TCGA.EM.A2CP.01A.11R.A180.07	0.0363714378850365	0	0.0995044083834522	0.261803429314074	0	0.11322100820551	0.0177393387823636	0.092436366005338	0.0358655655092061	0.0181365952407012	0	0.0686715481928711	0.0349897197703535	0.0103110545607999	0.097612675616982	0.0985028605300089	0	0.000382804542488458	0.0144511874608148	0	0	0	0	0.217614503541698	1.01497392276045
TCGA.ET.A3DR.01A.11R.A19O.07	0	0.00823977971436608	0	0.0542990304250825	0	0.265951890217025	0	0.0848098439620514	0.0194214329970792	0	0	0	0.0674927763066138	0.297931574037134	0.0160349293971817	0.110003994607069	0.0140696165254392	0	0.0196112800873619	0	0.0421338517235964	0	0.44	0.0476013120297684	1.08384936651899
TCGA.BJ.A0ZH.01A.11R.A10U.07	0.0751888720211569	0	0.00505108461255211	0.0262079454695701	0	0.104323173772988	0.000639799025426255	0.00711621839024901	0.0404640637318837	0	0	0.0069623022445475	0	0.505194502069858	0	0.14403031789362	0	0.0194350462458891	0.0653866745222594	0	0	0	0	0.225928647703655	1.02880063388639
TCGA.DJ.A1QM.01A.11R.A14Y.07	0.066985049201129	0	0	0.0694210889117025	0	0.138838290938131	0	0.0716841254241383	0.0388948705157418	0	0	0.0246858579415358	0.0115064801878554	0.275714968334509	0.049414875469408	0.0976674312625437	0.0936524564971326	0.0268216803678673	0.0347128249483058	0	0	0	0.26	0.0925481426440308	1.05280745460606
TCGA.E3.A3E3.01A.11R.A20F.07	0.0326190877731804	0	0.0135006395889142	0.03764796912262	0	0.118420256828761	0	0.0174985429599807	0.0322881041331288	0.00311880789277392	0	0	0	0.315677412684883	0.00411177619256936	0.134180092276443	0.130100752793362	0.020338934269866	0.137646409419178	0	0.00285121406434082	0	0.0600000000000001	0.126368904056498	1.04467872716552
TCGA.ET.A40S.01A.11R.A23N.07	0.0511665542208199	0	0.0700591096566865	0.146722857696	0	0.199330140271391	0	0.047020143920343	0.043256187565719	0	0	0.0580388616446013	0.0190899943649931	0	0.0379699902410194	0.0635346792282818	0.20672531630232	0	0.0565396498230792	0	0	0.000546515064745443	0	0.224636882562947	0.993336903877743
TCGA.BJ.A45E.01A.11R.A32Y.07	0	0.0184541565545639	0.10695044605282	0.247956546358289	0	0.0859734066067021	0.0573711415337955	0.0487010663917543	0.068371391125756	0.0102062149343366	0.00491163746888714	0.0140533766828773	0.00727555541764122	0.134325222417074	0.110351242126166	0.0555988164359698	0	0	0.0294997798933674	0	0	0	0	0.236150331077016	0.997405683781361
TCGA.EL.A3ZM.01A.12R.A23N.07	0.0200260916786075	0.00388298309089346	0	0.0175701124467382	0	0.223476956916358	0	0.0345428121876469	0.0258924620965942	0	0	0.0193154682255698	0.0942516262252416	0.112241842565837	0.0434574670843425	0.157862330421014	0.129582830650496	0.0466834818742194	0.0712135345364416	0	0	0	0.04	0.132818716035702	1.02356365023542
TCGA.DJ.A2Q0.01A.11R.A206.07	0.00356349859654524	0	0	0.116739868822317	0	0.248411312295999	0.00931126502060633	0	0.0195699848955477	0	0	0.0246455187020144	0.144341896023996	0.0611327986265662	0.0333905550713079	0.237927170343387	0.00164805900422415	0	0.0993180725974881	0	0	0	0.52	0.0225608163985995	1.07248134613404
TCGA.DJ.A13T.01A.11R.A10U.07	0.0274896779512045	0	0	0.173526271852857	0	0.103139731350627	0	0.0812087583226313	0	0	0	0.0670428416598449	0.00665818932934425	0.176720115189948	0.0721345759343093	0.18122877111212	0.0334505045192936	0.0154520994272831	0.0566937158811607	0	0.00525474746937672	0	0.5	0.0280410658670695	1.07897761135491
TCGA.E8.A438.01A.11R.A23W.07	0.00192644515962623	0	0.00257468265248384	0	0	0.128558956853706	0	0.0154043066055656	0	0.113324759787634	0.0149484534421095	0	0	0.21647777525985	0.0178214621010057	0.257174368045087	0.0111755563072002	0	0.220613233785732	0	0	0	0.4	0.0530343814728616	1.07334142651231
TCGA.DJ.A3US.01A.11R.A22L.07	0.0912196093153642	0	0.0790835622528398	0.20633719960765	0	0.110675890134944	0.00967778139970654	0.0996567860047361	0.0213061925460848	0	0	0.0278675228695002	0	0.19794449262837	0.0720191910117568	0.0362604216669834	0.0164740995656643	0	0.0314772509964003	0	0	0	0	0.310190528496841	0.960958337075139
TCGA.BJ.A2N9.01A.11R.A18C.07	0	0.0161161197068895	0.0595654397266804	0.263117057864634	0	0.0529456134127132	0	0.0826375271275273	0.0216533992929665	0	0	0.0478690204569265	0.0258511824314025	0.152830475340853	0.158378660444538	0.0903718609256837	0.00267950365695504	0	0.0259841396122304	0	0	0	0.04	0.134507233208513	1.04807262645615
