B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.4V.A9QT.01A.11R.A42C.07	0	0	0.0127268158800185	0.411067318305188	0.0586252389620041	0.105956403037675	0.0306400061447886	0.0717443217883394	0.171371392651447	0	0	0	0.00232042817179415	0	0.0143965835686744	0.0200050119181309	0.0901114037677648	0	0	0.0029614330468974	0	0.0080736427572783	0	0.468848930058952	0.893861444895758
TCGA.XU.AAXW.01A.11R.A42C.07	0.0176174495841277	0.00366719464737546	0.0105599703004796	0.277812727078254	0.064570767838785	0.193169586460227	0.0154374482878738	0.0996511409595951	0.130019973125306	0	0	0.0234295581040999	0.00259155525720502	0	0.0308054880867296	0.00417999483084595	0.119688383952465	0	0	0	0	0.00679876148663043	0	0.374481723431414	0.94865157308097
TCGA.ZT.A8OM.01A.11R.A42S.07	0	0.0457652905305047	0.0145824242708692	0.384884958936286	0.101004486552866	0	0	0.0825725447313257	0.102695676723015	0	0	0.00650331918113264	0.0312931363341448	0.0432630194881709	0.0149223548971159	0	0.167732417840831	0	0.00425189841696354	0.000528472096773768	0	0	0	0.458344694722303	0.890473686395001
TCGA.ZC.AAA7.01A.11R.A42S.07	0.00507879344356687	0	0.0033086857027196	0.4820008882652	0	0	0.0631631049994209	0.0805855660433652	0.0781033676101471	0.0212167491908043	0	0.0288088978246078	0.0171125893133266	0.0102542850981213	0.0998750080269483	0.0693798785999281	0	0.0276149406867992	0	0.00101258622997781	0	0.0124846589650673	0	0.317640187355838	0.981691292699269
TCGA.XU.A932.01A.11R.A42C.07	0.0147712830266349	0.0197409974831323	0.00293989188223338	0.405661061127407	0.0862563828127308	0	0.0147799441550422	0.0757247964189331	0.118957926357245	0	0	0.0215422812268106	0	0.0355236938467956	0.0183360476211167	0.0337273727606871	0.143176832364501	0	0	0.00190808993701473	0	0.00695339897971595	0	0.500695640211734	0.865841794056026
TCGA.XM.A8R8.01A.11R.A42C.07	0.0507623235762692	0.107064472166279	0.116605931027521	0.317572856140375	0	0.0653189142918072	0.0766914990563844	0.025958892398878	0.0613804512661005	0.0128876063914668	0	0	0	0.0364211462794668	0.0340775115323333	0.071404009179709	0	0.00249150535273976	0	0.0202908559390555	0.00107202540161446	0	0	0.500833945810976	0.864723416517214
TCGA.XU.A930.01A.11R.A42C.07	0.0571944848148651	0	0.0130221794307509	0.497617650686295	0	0.0679418323112856	0.0122335876930134	0.0613484451809918	0.0326544756989594	0.00706440050457986	0	0.0207364164794245	0	0.0239005072779391	0.0390959376542443	0.0204653550837247	0.137345916770801	0	0	0.00937881041312607	0	0	0	0.368133930172659	0.94667657544036
TCGA.X7.A8DD.01A.11R.A42C.07	0	0.0147648411735948	0.00974569018552996	0.408673631898979	0.0732100739519139	0.0907816662693634	0.0112269706060887	0.0406237023442946	0.160527047407391	0	0	0.0181770574288188	0.0241449137323874	0.00923886381459318	0.0125480711990144	0	0.121297834044822	0	0.00503963594320889	0	0	0	0	0.502845449410634	0.867800325199803
TCGA.3G.AB19.01A.21R.A42C.07	0.011069428112293	0	0	0.378779862290957	0	0.131753981658652	0.00299566256808043	0.0285762114077248	0.0697464070347403	0	0	0.053552932732006	0.00693787846992106	0.0417587763377421	0.0649540258319785	0.0726447675480606	0.075502976254267	0	0.0617270897535771	0	0	0	0.02	0.222069882043158	1.01697895423506
TCGA.YT.A95F.01A.11R.A42C.07	0	0.0265210796302397	0	0.234116794764547	0.387660618993006	0.106538617947638	0.00408180744767809	0.0556355123748514	0.0196120681265142	0	0	0.0113745166060648	0.0218953474392131	0	0.00562621259157332	0	0.125180605410825	0	0.00175681866784843	0	0	0	0	0.378329160855843	0.95175655322687
