B cells naive	B cells memory	Plasma cells	T cells CD8	T cells CD4 naive	T cells CD4 memory resting	T cells CD4 memory activated	T cells follicular helper	T cells regulatory (Tregs)	T cells gamma delta	NK cells resting	NK cells activated	Monocytes	Macrophages M0	Macrophages M1	Macrophages M2	Dendritic cells resting	Dendritic cells activated	Mast cells resting	Mast cells activated	Eosinophils	Neutrophils	P-value	Correlation	RMSE
TCGA.V4.A9EC.01A.11R.A405.07	0	0.00755531228185475	0.0301294922728258	0.0432695094879708	0	0.0921468339450428	0	0	0	0	0.0035271626187635	0.0602948434680893	0.0101200946032856	0.166258243550777	0.0433928866861383	0.394738949394519	0	0	0.148566671690733	0	0	0	0	0.15576479925435	1.03128728976315
TCGA.V4.A9EA.01A.11R.A405.07	0.0338297029487342	0	0.0325157640328762	0.177896361292525	0	0	0	0	0.0281457617973859	0	0	0.0457028086769063	0.0191614788711861	0.175305605210389	0.00990460841508843	0.434532631507709	0	0	0.0412410343168797	0	0	0.00176424293032005	0.04	0.0981749877118761	1.06270242295653
TCGA.V3.A9ZX.01A.11R.A405.07	0.00650697927362548	0	0.00552511813446994	0.41073995985514	0	0	0.0327844893186336	0.0323653974630586	0.0432728961461177	0.0807682829434298	0	0.0503708857318111	0	0.0215768099911679	0.113390639945142	0.114719438997508	0.0157471082048868	0	0.07223199399501	0	0	0	0.14	0.0686595700745072	1.098775115975
TCGA.YZ.A984.01A.11R.A405.07	0	0.0583448613578865	0.0521957046611327	0	0	0.0949762900495726	0	0.00193130600238552	0.00450208695776773	0.0291299425238519	0	0.044484062873534	0	0.247783819406721	0.0055227982887161	0.194643635293036	0.00176345055670027	0	0.264722042028696	0	0	0	0	0.158594829086123	1.0287705193616
TCGA.V4.A9EJ.01A.11R.A405.07	0	0	0.013681137563264	0	0	0.106137380365126	0	0	0	0.0765647572772605	0	0.0208504633331826	0.0197361327983516	0.0512606348051419	0.0358658188260532	0.404406771805628	0.00503549293654588	0	0.262679655768437	0	0.00378175452100918	0	0.4	0.0175853843807693	1.08705777748364
TCGA.VD.A8KD.01A.11R.A405.07	0.0515823306869961	0	0.0558927824287908	0.28639653609861	0	0.0379865162208338	0.0135939550701141	0.0504046819692714	0.043971901288747	0	0	0.0676907112403909	0.00848031093949863	0.153607386128433	0.0764897607824847	0.0823195627865502	0.00499643243662352	0	0.0665871319226555	0	0	0	0	0.227227793147823	0.998413278433501
TCGA.WC.A87Y.01A.11R.A405.07	0.00143126652694047	0	0.0117385930141799	0.647368687519656	0	0	0	0.0267766207171894	0.0533818222148717	0	0	0.0631668505854697	0.00540081041049399	0.00300429474242504	0.00812085686184577	0.14478227480718	0.00229985012473379	0	0.0325280724750143	0	0	0	0.28	0.0441831064378185	1.15277622435858
TCGA.YZ.A980.01A.11R.A405.07	0	0.0253748545915766	0.0161033507638895	0.042048214637695	0	0.00949345184030101	0.00485242146214743	0.0129014485372801	0.0358383470194514	0	0	0.0125781331612102	0	0.263869210671681	0.0250707532658641	0.289496711415225	0.00430251384375013	0	0.258070588789929	0	0	0	0.02	0.124810566969555	1.05467928608494
TCGA.V4.A9ES.01A.11R.A405.07	0	0.0145228299371526	0.013824733071745	0	0	0.26330446662482	0	0.00561027110923647	0.0190393690825464	0	0.0227295904778299	0.0621593638714493	0.0474889656318472	0.223645893131903	0.0126416597250673	0.124793664907977	0.00959242783566068	0	0.180303830994142	0	0.000342933598622931	0	0.24	0.0572323731783675	1.06207789155046
TCGA.V4.A9EW.01A.11R.A405.07	0	0.000509054707575226	0.0069129898294748	0.0231915260840264	0	0.178050561426309	0	0.0064744177690375	0.0146533520847265	0	0	0.0540708808031567	0.013942992282061	0.112158630066442	0.0180499783457137	0.464824116769251	0	0	0.107105454031589	0	0	5.60458006360317e-05	0.26	0.0484027054570132	1.07956558314225
TCGA.V4.A9EY.01A.11R.A405.07	0.000630800300098025	0	0.0452948836209178	0.00575799533233947	0	0.0332440773510639	0	0	0.00207123760444209	0.0148547524837295	0	0.00789665689124604	0	0.167177111319611	0.00871409807554351	0.458460042684558	0.00462565400086452	0	0.250952742669269	0	0	0.000319947666317464	0	0.14932321906441	1.05110215427552
TCGA.V4.A9E5.01A.11R.A405.07	0	0.013220095377156	0.0146977931105964	0	0	0.0639329454262222	0	0.00507740344876317	0.0284794920690898	0	0.0157057103651654	0.0223945061535278	0	0.219948941407523	0	0.353804184674398	0.00278213335562547	0	0.259956794611933	0	0	0	0	0.135430191401719	1.05094640172378
TCGA.V4.A9EK.01A.11R.A405.07	0	0.0196785786383872	0.135370342788498	0.118964737381946	0	0.0691570982080873	0	0	0.023718682564863	0	0	0.0710998494103531	0.0168751135344472	0.0478887020345057	0.0119382443736932	0.361578252396545	0.012885508709341	0	0.110844889959333	0	0	0	0.04	0.0974682080970182	1.04652855935265
TCGA.VD.A8KE.01A.11R.A405.07	0.00755777099065009	0	0.00552068723034055	0	0	0.103074437317909	0	0.00411761796063695	0.00375636379867473	0.0132696038251721	0	0.0080012230313877	0.0409550278400612	0.069907757186595	0.0298255019500248	0.375026748856602	0.00641944344092418	0	0.320105112061792	0	0.01246270450923	0	0.3	0.0337053390024554	1.08840148588935
TCGA.V4.A9EH.01A.11R.A405.07	0	0.00354306175568874	0.0855473137935286	0.234318907759676	0	0.162830389353753	0	0.00324198708018695	0.0258092186343803	0	0	0.0969620373686757	0.0293621469841469	0.0408546253949391	0.0786775622122887	0.152717065039184	0.00156236810855895	0	0.0845733165149931	0	0	0	0.28	0.0418110377302491	1.0795313358267
TCGA.VD.A8KO.01A.11R.A405.07	0.0244267951242079	0	0.0224609932327016	0	0	0.211864914495005	0	0.0577858251471855	0.0258256167400721	0	0.02327808423072	0.00386241417875142	0.0153841898181081	0.362115254841729	0.00130725562507775	0.119482992395156	0.00881934148807686	0	0.0971982658858913	0	0.0261880567973176	0	0.4	0.0169176745951628	1.09630939489377
TCGA.WC.A882.01A.11R.A405.07	0	0.0413491009980816	0.105212909326281	0.0464339781377234	0	0.0870901037182221	0	0.0111225435952692	0.0323778667334149	0	0	0.0831821798620605	0.046899155449809	0.177625873531887	0.0103739635831085	0.22799962536403	0.00447512863560807	0	0.125857571064505	0	0	0	0	0.146783025189155	1.02430428327147
TCGA.V4.A9EX.01A.11R.A405.07	0	0	0.0193730856585543	0.0548684412182694	0	0.0659620362808449	0	0	0	0	0.00101364052424336	0.0250537597722884	0	0.421366688051128	0.0327459760592074	0.338930042524669	0	0	0.0406863299107949	0	0	0	0.02	0.121710037386211	1.09129927444381
TCGA.VD.A8K7.01B.11R.A405.07	0	0.0122329468721567	0.0569359377942563	0.0936714801462414	0	0.0882709047154932	0	0	0.0132010486480904	0	0	0.0836855235277329	0.0577189217182654	0.068538851302046	0	0.422792311672537	0	0.00380601346576453	0.067338456628204	0	0.0187584114725177	0.0130491920366944	0.4	0.0177743396050952	1.0822790406655
TCGA.V4.A9EE.01A.11R.A405.07	0.0229524004308669	0	0.015630864302293	0.23740257496658	0	0.0697425612846245	0.00718773478797906	0.0182264884382171	0.0273833896779043	0	0	0.0330405966578296	0	0.294253286373921	0.0418673250177823	0.205389333641079	0.0100337840956815	0	0.0168896603252414	0	0	0	0.24	0.0533813428488914	1.08460967716686
TCGA.YZ.A982.01A.11R.A405.07	0.00199994637421975	0.00180928290770767	0.00203491408706479	0	0	0.103123386418554	0	0.0210832173172457	0.0345680383711175	0	0.0280835427104541	0	0.0489824302849963	0.284753466395315	0	0.35092958880712	0.00526667511533113	0	0.117365511210874	0	0	0	0.1	0.0754302862389744	1.08246455345868
TCGA.WC.A888.01A.11R.A405.07	0	0.0111798398262003	0.0590086868195722	0.425100735652875	0	0.0520109767382312	0	0.0347321289640754	0.0631024706231016	0	0	0.0471012022331826	0.000136900468885132	0.0539891932022548	0.0813290754236877	0.145702382838494	0.000419469979869034	0	0.0261869372295714	0	0	0	0	0.146055025909028	1.05393839577454
TCGA.V4.A9ET.01A.11R.A405.07	0.000385805510039853	0	0.0211744989675706	0.00746620958306479	0	0.0629211641721758	0	0.0136360978467744	0.0133052141200783	0	0	0.00773034399779815	0.086825007193069	0.102029667663636	0	0.441789184558129	0.00031127598163293	0	0.222755630368358	0	0.0196699000376738	0	0.02	0.103807054697976	1.06036666213155
